    FDMNES
    energy     <xanes>
   7097.00  4.9044013E-03
   7097.33  5.0178069E-03
   7097.67  5.1362901E-03
   7098.00  5.2601904E-03
   7098.33  5.3906759E-03
   7098.67  5.5275006E-03
   7099.00  5.6711251E-03
   7099.33  5.8230711E-03
   7099.67  5.9830839E-03
   7100.00  6.1518050E-03
   7100.33  6.3312666E-03
   7100.67  6.5212269E-03
   7101.00  6.7226063E-03
   7101.33  6.9382012E-03
   7101.67  7.1678301E-03
   7102.00  7.4128617E-03
   7102.33  7.6772849E-03
   7102.67  7.9610843E-03
   7103.00  8.2663859E-03
   7103.33  8.5991357E-03
   7103.67  8.9597251E-03
   7104.00  9.3516389E-03
   7104.33  9.7842437E-03
   7104.67  1.0258915E-02
   7105.00  1.0781766E-02
   7105.33  1.1368647E-02
   7105.67  1.2023406E-02
   7106.00  1.2757784E-02
   7106.33  1.3601292E-02
   7106.67  1.4564595E-02
   7107.00  1.5673205E-02
   7107.33  1.6990063E-02
   7107.67  1.8547617E-02
   7108.00  2.0412381E-02
   7108.33  2.2749295E-02
   7108.67  2.5679596E-02
   7109.00  2.9434853E-02
   7109.33  3.4622301E-02
   7109.67  4.1901453E-02
   7110.00  5.2565061E-02
   7110.33  7.0318336E-02
   7110.67  9.9145626E-02
   7111.00  1.4042885E-01
   7111.33  1.8269270E-01
   7111.67  2.1340812E-01
   7112.00  2.3626642E-01
   7112.33  2.5569834E-01
   7112.67  2.7017137E-01
   7113.00  2.9018164E-01
   7113.33  3.3200224E-01
   7113.67  3.9230800E-01
   7114.00  4.3423631E-01
   7114.33  3.8770359E-01
   7114.67  3.0085237E-01
   7115.00  2.3067337E-01
   7115.33  1.9554800E-01
   7115.67  1.8535295E-01
   7116.00  1.9566681E-01
   7116.33  2.2445667E-01
   7116.67  2.6109086E-01
   7117.00  2.9253263E-01
   7117.33  3.0336264E-01
   7117.67  2.9545228E-01
   7118.00  2.7615709E-01
   7118.33  2.5337194E-01
   7118.67  2.3190259E-01
   7119.00  2.1311827E-01
   7119.33  1.9747580E-01
   7119.67  1.8382364E-01
   7120.00  1.7137568E-01
   7120.33  1.6002789E-01
   7120.67  1.5009147E-01
   7121.00  1.4200416E-01
   7121.33  1.3627441E-01
   7121.67  1.3264739E-01
   7122.00  1.3106520E-01
   7122.33  1.3163881E-01
   7122.67  1.3386716E-01
   7123.00  1.3745667E-01
   7123.33  1.4225519E-01
   7123.67  1.4802640E-01
   7124.00  1.5485315E-01
   7124.33  1.6316316E-01
   7124.67  1.7321026E-01
   7125.00  1.8548774E-01
   7125.33  2.0111895E-01
   7125.67  2.2057404E-01
   7126.00  2.4441990E-01
   7126.33  2.7332001E-01
   7126.67  3.0582310E-01
   7127.00  3.3995697E-01
   7127.33  3.7148299E-01
   7127.67  3.9626173E-01
   7128.00  4.1221815E-01
   7128.33  4.1953565E-01
   7128.67  4.2306261E-01
   7129.00  4.2652243E-01
   7129.33  4.3363008E-01
   7129.67  4.4592415E-01
   7130.00  4.6423080E-01
   7130.33  4.8963756E-01
   7130.67  5.2102595E-01
   7131.00  5.5764066E-01
   7131.33  5.9856247E-01
   7131.67  6.4140585E-01
   7132.00  6.8421755E-01
   7132.33  7.2422955E-01
   7132.67  7.5939878E-01
   7133.00  7.8809468E-01
   7133.33  8.0834020E-01
   7133.67  8.2128263E-01
   7134.00  8.2813585E-01
   7134.33  8.3071787E-01
   7134.67  8.3214639E-01
   7135.00  8.3452416E-01
   7135.33  8.4010084E-01
   7135.67  8.4948414E-01
   7136.00  8.6236683E-01
   7136.33  8.7650196E-01
   7136.67  8.8662183E-01
   7137.00  8.8659839E-01
   7137.33  8.6796010E-01
   7137.67  8.3113767E-01
   7138.00  7.7983561E-01
   7138.33  7.2089361E-01
   7138.67  6.6240872E-01
   7139.00  6.0845989E-01
   7139.33  5.6220862E-01
   7139.67  5.2339849E-01
   7140.00  4.9183561E-01
   7140.33  4.6773825E-01
   7140.67  4.4945271E-01
   7141.00  4.3618232E-01
   7141.33  4.2747494E-01
   7141.67  4.2191935E-01
   7142.00  4.1884628E-01
   7142.33  4.1787498E-01
   7142.67  4.1834204E-01
   7143.00  4.2000898E-01
   7143.33  4.2284177E-01
   7143.67  4.2662601E-01
   7144.00  4.3131658E-01
   7144.33  4.3695815E-01
   7144.67  4.4333535E-01
   7145.00  4.5029019E-01
   7145.33  4.5758892E-01
   7145.67  4.6483995E-01
   7146.00  4.7171519E-01
   7146.33  4.7781040E-01
   7146.67  4.8309897E-01
   7147.00  4.8770314E-01
   7147.33  4.9186264E-01
   7147.67  4.9594546E-01
   7148.00  5.0018078E-01
   7148.33  5.0474571E-01
   7148.67  5.0958265E-01
   7149.00  5.1457228E-01
   7149.33  5.1952561E-01
   7149.67  5.2429071E-01
   7150.00  5.2880252E-01
   7150.33  5.3305446E-01
   7150.67  5.3717636E-01
   7151.00  5.4128684E-01
   7151.33  5.4554256E-01
   7151.67  5.5003835E-01
   7152.00  5.5482941E-01
   7152.33  5.5996722E-01
   7152.67  5.6538231E-01
   7153.00  5.7102599E-01
   7153.33  5.7683825E-01
   7153.67  5.8270259E-01
   7154.00  5.8852789E-01
   7154.33  5.9419149E-01
   7154.67  5.9961587E-01
   7155.00  6.0473034E-01
   7155.33  6.0942176E-01
   7155.67  6.1368888E-01
   7156.00  6.1750360E-01
   7156.33  6.2078845E-01
   7156.67  6.2359702E-01
   7157.00  6.2593317E-01
   7157.33  6.2775076E-01
   7157.67  6.2912340E-01
   7158.00  6.3006652E-01
   7158.33  6.3054729E-01
   7158.67  6.3063493E-01
   7159.00  6.3034332E-01
   7159.33  6.2964119E-01
   7159.67  6.2858651E-01
   7160.00  6.2718823E-01
   7160.33  6.2541388E-01
   7160.67  6.2331521E-01
   7161.00  6.2089883E-01
   7161.33  6.1812990E-01
   7161.67  6.1505294E-01
   7162.00  6.1167461E-01
   7162.33  6.0796677E-01
   7162.67  6.0397530E-01
   7163.00  5.9970941E-01
   7163.33  5.9514883E-01
   7163.67  5.9034143E-01
   7164.00  5.8530285E-01
   7164.33  5.8002780E-01
   7164.67  5.7456728E-01
   7165.00  5.6894605E-01
   7165.33  5.6318045E-01
   7165.67  5.5732229E-01
   7166.00  5.5140355E-01
   7166.33  5.4545542E-01
   7166.67  5.3951072E-01
   7167.00  5.3359105E-01
   7167.33  5.2772076E-01
   7167.67  5.2190417E-01
   7168.00  5.1614284E-01
   7168.33  5.1043759E-01
   7168.67  5.0477431E-01
   7169.00  4.9914801E-01
   7169.33  4.9355520E-01
   7169.67  4.8798860E-01
