    FDMNES
    energy     <xanes>
   7097.00  5.0908680E-03
   7097.33  5.2103005E-03
   7097.67  5.3351809E-03
   7098.00  5.4658814E-03
   7098.33  5.6036686E-03
   7098.67  5.7482894E-03
   7099.00  5.9002519E-03
   7099.33  6.0612160E-03
   7099.67  6.2309237E-03
   7100.00  6.4100871E-03
   7100.33  6.6009386E-03
   7100.67  6.8032412E-03
   7101.00  7.0180244E-03
   7101.33  7.2483837E-03
   7101.67  7.4941607E-03
   7102.00  7.7568988E-03
   7102.33  8.0410519E-03
   7102.67  8.3466667E-03
   7103.00  8.6761618E-03
   7103.33  9.0362391E-03
   7103.67  9.4274395E-03
   7104.00  9.8537628E-03
   7104.33  1.0325876E-02
   7104.67  1.0845503E-02
   7105.00  1.1419727E-02
   7105.33  1.2066794E-02
   7105.67  1.2791393E-02
   7106.00  1.3607251E-02
   7106.33  1.4548711E-02
   7106.67  1.5628624E-02
   7107.00  1.6877072E-02
   7107.33  1.8368051E-02
   7107.67  2.0140479E-02
   7108.00  2.2273320E-02
   7108.33  2.4962115E-02
   7108.67  2.8351970E-02
   7109.00  3.2718988E-02
   7109.33  3.8786837E-02
   7109.67  4.7343827E-02
   7110.00  5.9933104E-02
   7110.33  8.0967796E-02
   7110.67  1.1511595E-01
   7111.00  1.6380673E-01
   7111.33  2.1430672E-01
   7111.67  2.5228756E-01
   7112.00  2.7988208E-01
   7112.33  3.0454940E-01
   7112.67  3.3182243E-01
   7113.00  3.6781571E-01
   7113.33  4.1535563E-01
   7113.67  4.5688590E-01
   7114.00  4.6276735E-01
   7114.33  4.1509396E-01
   7114.67  3.4727976E-01
   7115.00  2.8379820E-01
   7115.33  2.3776458E-01
   7115.67  2.0633497E-01
   7116.00  1.8567584E-01
   7116.33  1.7151706E-01
   7116.67  1.5810294E-01
   7117.00  1.4316264E-01
   7117.33  1.2861312E-01
   7117.67  1.1720168E-01
   7118.00  1.0940231E-01
   7118.33  1.0467545E-01
   7118.67  1.0183678E-01
   7119.00  1.0102297E-01
   7119.33  1.0273737E-01
   7119.67  1.0576222E-01
   7120.00  1.0911989E-01
   7120.33  1.1275947E-01
   7120.67  1.1696488E-01
   7121.00  1.2186626E-01
   7121.33  1.2724851E-01
   7121.67  1.3321233E-01
   7122.00  1.4070523E-01
   7122.33  1.5105107E-01
   7122.67  1.6442161E-01
   7123.00  1.8095811E-01
   7123.33  2.0062122E-01
   7123.67  2.2169264E-01
   7124.00  2.4246531E-01
   7124.33  2.6107782E-01
   7124.67  2.7684595E-01
   7125.00  2.8932423E-01
   7125.33  2.9837487E-01
   7125.67  3.0585080E-01
   7126.00  3.1351994E-01
   7126.33  3.2364037E-01
   7126.67  3.3769050E-01
   7127.00  3.5661234E-01
   7127.33  3.8072610E-01
   7127.67  4.0747959E-01
   7128.00  4.3445150E-01
   7128.33  4.5934836E-01
   7128.67  4.8203983E-01
   7129.00  5.0326920E-01
   7129.33  5.2444752E-01
   7129.67  5.4687681E-01
   7130.00  5.7081750E-01
   7130.33  5.9526082E-01
   7130.67  6.1834109E-01
   7131.00  6.3901882E-01
   7131.33  6.5788674E-01
   7131.67  6.7856913E-01
   7132.00  7.0516763E-01
   7132.33  7.4268259E-01
   7132.67  7.9042499E-01
   7133.00  8.4540969E-01
   7133.33  9.0056637E-01
   7133.67  9.4685451E-01
   7134.00  9.7769053E-01
   7134.33  9.8769422E-01
   7134.67  9.8157664E-01
   7135.00  9.6373198E-01
   7135.33  9.3819528E-01
   7135.67  9.0919677E-01
   7136.00  8.7860169E-01
   7136.33  8.4798264E-01
   7136.67  8.1856687E-01
   7137.00  7.9113002E-01
   7137.33  7.6651652E-01
   7137.67  7.4458613E-01
   7138.00  7.2529854E-01
   7138.33  7.0881248E-01
   7138.67  6.9462109E-01
   7139.00  6.8254379E-01
   7139.33  6.7259675E-01
   7139.67  6.6431571E-01
   7140.00  6.5751429E-01
   7140.33  6.5217789E-01
   7140.67  6.4801702E-01
   7141.00  6.4495254E-01
   7141.33  6.4302648E-01
   7141.67  6.4199820E-01
   7142.00  6.4171133E-01
   7142.33  6.4193536E-01
   7142.67  6.4219899E-01
   7143.00  6.4206161E-01
   7143.33  6.4085318E-01
   7143.67  6.3819908E-01
   7144.00  6.3380352E-01
   7144.33  6.2730523E-01
   7144.67  6.1905705E-01
   7145.00  6.0932446E-01
   7145.33  5.9839531E-01
   7145.67  5.8685773E-01
   7146.00  5.7507789E-01
   7146.33  5.6343139E-01
   7146.67  5.5215799E-01
   7147.00  5.4137726E-01
   7147.33  5.3122914E-01
   7147.67  5.2168009E-01
   7148.00  5.1274489E-01
   7148.33  5.0450278E-01
   7148.67  4.9686969E-01
   7149.00  4.8983713E-01
   7149.33  4.8347105E-01
   7149.67  4.7769599E-01
   7150.00  4.7251771E-01
   7150.33  4.6802577E-01
   7150.67  4.6416213E-01
   7151.00  4.6093854E-01
   7151.33  4.5843605E-01
   7151.67  4.5656106E-01
   7152.00  4.5529097E-01
   7152.33  4.5465899E-01
   7152.67  4.5454665E-01
   7153.00  4.5490672E-01
   7153.33  4.5572650E-01
   7153.67  4.5687664E-01
   7154.00  4.5827259E-01
   7154.33  4.5980320E-01
   7154.67  4.6129382E-01
   7155.00  4.6258673E-01
   7155.33  4.6345006E-01
   7155.67  4.6378193E-01
   7156.00  4.6351003E-01
   7156.33  4.6256267E-01
   7156.67  4.6111126E-01
   7157.00  4.5929367E-01
   7157.33  4.5727569E-01
   7157.67  4.5525969E-01
   7158.00  4.5337279E-01
   7158.33  4.5175056E-01
   7158.67  4.5042694E-01
   7159.00  4.4942862E-01
   7159.33  4.4880533E-01
   7159.67  4.4850681E-01
   7160.00  4.4851671E-01
   7160.33  4.4884312E-01
   7160.67  4.4941819E-01
   7161.00  4.5020958E-01
   7161.33  4.5119382E-01
   7161.67  4.5229601E-01
   7162.00  4.5346430E-01
   7162.33  4.5463100E-01
   7162.67  4.5571811E-01
   7163.00  4.5665069E-01
   7163.33  4.5732029E-01
   7163.67  4.5769929E-01
   7164.00  4.5776026E-01
   7164.33  4.5745827E-01
   7164.67  4.5685801E-01
   7165.00  4.5600128E-01
   7165.33  4.5493147E-01
   7165.67  4.5375110E-01
   7166.00  4.5253214E-01
   7166.33  4.5136425E-01
   7166.67  4.5032055E-01
   7167.00  4.4946086E-01
   7167.33  4.4887412E-01
   7167.67  4.4857438E-01
   7168.00  4.4858622E-01
   7168.33  4.4896744E-01
   7168.67  4.4968050E-01
   7169.00  4.5071225E-01
   7169.33  4.5206962E-01
   7169.67  4.5367517E-01
   7170.00  4.5548465E-01
   7170.33  4.5745554E-01
   7170.67  4.5950084E-01
   7171.00  4.6155341E-01
   7171.33  4.6350963E-01
