    FDMNES
    energy     <xanes>
   7097.00  3.8516024E-03
   7097.33  3.9215780E-03
   7097.67  3.9939865E-03
   7098.00  4.0689655E-03
   7098.33  4.1470342E-03
   7098.67  4.2280438E-03
   7099.00  4.3121777E-03
   7099.33  4.4000933E-03
   7099.67  4.4916353E-03
   7100.00  4.5870565E-03
   7100.33  4.6872130E-03
   7100.67  4.7919526E-03
   7101.00  4.9016363E-03
   7101.33  5.0174197E-03
   7101.67  5.1391747E-03
   7102.00  5.2674405E-03
   7102.33  5.4038465E-03
   7102.67  5.5483380E-03
   7103.00  5.7017639E-03
   7103.33  5.8665514E-03
   7103.67  6.0428344E-03
   7104.00  6.2320402E-03
   7104.33  6.4380424E-03
   7104.67  6.6614507E-03
   7105.00  6.9048690E-03
   7105.33  7.1750508E-03
   7105.67  7.4738586E-03
   7106.00  7.8065702E-03
   7106.33  8.1864087E-03
   7106.67  8.6188716E-03
   7107.00  9.1162741E-03
   7107.33  9.7089513E-03
   7107.67  1.0414772E-02
   7108.00  1.1268834E-02
   7108.33  1.2358711E-02
   7108.67  1.3756574E-02
   7109.00  1.5598261E-02
   7109.33  1.8246364E-02
   7109.67  2.2129936E-02
   7110.00  2.8093939E-02
   7110.33  3.8574594E-02
   7110.67  5.5968363E-02
   7111.00  7.9656431E-02
   7111.33  9.9618228E-02
   7111.67  1.1230675E-01
   7112.00  1.1995743E-01
   7112.33  1.1050040E-01
   7112.67  8.8870654E-02
   7113.00  6.9756822E-02
   7113.33  5.9107971E-02
   7113.67  5.5246038E-02
   7114.00  5.6675942E-02
   7114.33  5.7600404E-02
   7114.67  5.1632753E-02
   7115.00  4.2480366E-02
   7115.33  3.6194179E-02
   7115.67  3.2692973E-02
   7116.00  3.1004811E-02
   7116.33  3.0466037E-02
   7116.67  3.0559695E-02
   7117.00  3.1187142E-02
   7117.33  3.2457875E-02
   7117.67  3.4390589E-02
   7118.00  3.7053088E-02
   7118.33  4.0551652E-02
   7118.67  4.4688439E-02
   7119.00  4.9274193E-02
   7119.33  5.3901351E-02
   7119.67  5.7931812E-02
   7120.00  6.0911003E-02
   7120.33  6.2685455E-02
   7120.67  6.3907674E-02
   7121.00  6.5182437E-02
   7121.33  6.7201979E-02
   7121.67  7.0312225E-02
   7122.00  7.4788015E-02
   7122.33  8.1172012E-02
   7122.67  8.9694175E-02
   7123.00  1.0086349E-01
   7123.33  1.1586651E-01
   7123.67  1.3505875E-01
   7124.00  1.5873969E-01
   7124.33  1.8670174E-01
   7124.67  2.1585406E-01
   7125.00  2.4194826E-01
   7125.33  2.6122637E-01
   7125.67  2.7842739E-01
   7126.00  2.9795586E-01
   7126.33  3.2122481E-01
   7126.67  3.4635000E-01
   7127.00  3.7203427E-01
   7127.33  3.9838724E-01
   7127.67  4.2786178E-01
   7128.00  4.6391396E-01
   7128.33  5.1063667E-01
   7128.67  5.6628254E-01
   7129.00  6.2706671E-01
   7129.33  6.8658478E-01
   7129.67  7.4146063E-01
   7130.00  7.9314436E-01
   7130.33  8.4601425E-01
   7130.67  9.0257389E-01
   7131.00  9.6238084E-01
   7131.33  1.0218893E+00
   7131.67  1.0744671E+00
   7132.00  1.1129833E+00
   7132.33  1.1290212E+00
   7132.67  1.1249110E+00
   7133.00  1.1044369E+00
   7133.33  1.0724942E+00
   7133.67  1.0366796E+00
   7134.00  1.0019465E+00
   7134.33  9.7246227E-01
   7134.67  9.4656406E-01
   7135.00  9.2021044E-01
