  7112.000   26  1  1  2.2162991E-02 -2.8173513E+00 -8.9336066E-01  1  1  7.2656164E+03  0.0000000E+00  0.0000000E+00  2.3553858E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.1286279E-04
   7097.20  7.4757409E-05
   7097.40  5.8143951E-05
   7097.60  4.9856837E-05
   7097.80  4.5874401E-05
   7098.00  4.4849387E-05
   7098.20  4.6746135E-05
   7098.40  5.2993530E-05
   7098.60  6.8707302E-05
   7098.80  1.1537841E-04
   7099.00  3.8137651E-04
   7099.20  1.0320444E-02
   7099.40  4.5174390E-03
   7099.60  2.0421444E-04
   7099.80  8.8103717E-05
   7100.00  5.8734624E-05
   7100.20  4.7242977E-05
   7100.40  4.2070399E-05
   7100.60  4.0008388E-05
   7100.80  4.0119640E-05
   7101.00  4.2626633E-05
   7101.20  4.9485551E-05
   7101.40  6.9458339E-05
   7101.60  1.8245598E-04
   7101.80  3.4513923E-03
   7102.00  8.9010626E-04
   7102.20  1.9774677E-04
   7102.40  2.0025536E-03
   7102.60  6.0058186E-04
   7102.80  1.1633312E-04
   7103.00  6.6455383E-05
   7103.20  5.6517992E-05
   7103.40  5.6711966E-05
   7103.60  6.9167141E-05
   7103.80  4.5741311E-04
   7104.00  4.7925045E-04
   7104.20  1.2910889E-04
   7104.40  3.4612134E-04
   7104.60  1.6526366E-02
   7104.80  2.6881517E-04
   7105.00  3.4831446E-04
   7105.20  9.9685617E-03
   7105.40  2.4190033E-04
   7105.60  6.5832571E-04
   7105.80  2.7706472E-02
   7106.00  1.5326687E-03
   7106.20  2.9657980E-04
   7106.40  1.9095382E-04
   7106.60  2.3348418E-04
   7106.80  4.2332300E-04
   7107.00  3.4068556E-04
   7107.20  5.1650936E-04
   7107.40  1.6101117E-03
   7107.60  8.3519586E-03
   7107.80  5.1819976E-03
   7108.00  2.6369232E-02
   7108.20  3.0369652E-03
   7108.40  1.5594275E-02
   7108.60  4.5089994E-02
   7108.80  6.2126285E-03
   7109.00  7.0822305E-03
   7109.20  1.0269397E-02
   7109.40  2.7080693E-02
   7109.60  1.7849330E-02
   7109.80  1.3287159E-02
   7110.00  5.6484464E-02
   7110.20  2.7054486E-02
   7110.40  2.6601166E-02
   7110.60  1.6300321E-02
   7110.80  2.0524287E-02
   7111.00  2.8847272E-02
   7111.20  1.7846994E-02
   7111.40  9.7862912E-03
   7111.60  1.0153351E-02
   7111.80  1.3126725E-02
   7112.00  1.7692545E-02
   7112.20  1.6532580E-02
   7112.40  2.0391392E-02
   7112.60  2.8594581E-02
   7112.80  1.1730867E-02
   7113.00  6.8374195E-03
   7113.20  4.8413391E-03
   7113.40  3.3313819E-03
   7113.60  2.3748238E-03
   7113.80  1.8872206E-03
   7114.00  1.7660115E-03
   7114.20  2.5047808E-03
   7114.40  3.2522783E-03
   7114.60  1.5273551E-03
   7114.80  2.7206165E-03
   7115.00  1.4579861E-03
   7115.20  7.4382520E-04
   7115.40  6.5125323E-04
   7115.60  6.3264392E-04
   7115.80  6.3819439E-04
   7116.00  6.5714971E-04
   7116.20  6.8532029E-04
   7116.40  7.1984251E-04
   7116.60  7.5956677E-04
   7116.80  8.0009294E-04
   7117.00  8.4158869E-04
   7117.20  8.8479311E-04
   7117.40  9.3116150E-04
   7117.60  9.8261659E-04
   7117.80  1.0436828E-03
   7118.00  1.1222446E-03
   7118.20  1.2266397E-03
   7118.40  1.3628877E-03
