  7112.000   26  1  1  8.6663384E-03 -2.3710938E+00 -1.9958688E+00  1  1  7.2658704E+03  0.0000000E+00  0.0000000E+00  2.1916385E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9288795E-05
   7097.20  1.9313018E-05
   7097.40  1.9348490E-05
   7097.60  1.9395809E-05
   7097.80  1.9456075E-05
   7098.00  1.9531053E-05
   7098.20  1.9623394E-05
   7098.40  1.9737159E-05
   7098.60  1.9879000E-05
   7098.80  2.0060558E-05
   7099.00  2.0304671E-05
   7099.20  2.0663606E-05
   7099.40  2.1285859E-05
   7099.60  2.2770576E-05
   7099.80  3.0133416E-05
   7100.00  2.2763623E-03
   7100.20  2.9572871E-05
   7100.40  2.4039424E-05
   7100.60  2.3488628E-05
   7100.80  2.3885619E-05
   7101.00  2.4824108E-05
   7101.20  2.6409668E-05
   7101.40  2.9124468E-05
   7101.60  3.4338277E-05
   7101.80  4.6809413E-05
   7102.00  9.3350527E-05
   7102.20  8.5941802E-04
   7102.40  4.0390684E-04
   7102.60  8.4973846E-05
   7102.80  6.5042924E-05
   7103.00  3.6825923E-04
   7103.20  1.5212458E-04
   7103.40  1.4521523E-03
   7103.60  1.6611427E-04
   7103.80  5.8585315E-05
   7104.00  5.3242170E-05
   7104.20  3.4881575E-04
   7104.40  7.1736064E-05
   7104.60  4.4400839E-05
   7104.80  4.5602973E-05
   7105.00  6.0123517E-05
   7105.20  1.7297050E-04
   7105.40  9.4649074E-04
   7105.60  9.6175783E-05
   7105.80  2.1143592E-04
   7106.00  2.5295406E-04
   7106.20  5.1450223E-04
   7106.40  1.0227641E-04
   7106.60  9.8569193E-05
   7106.80  1.5443773E-04
   7107.00  6.1614655E-04
   7107.20  3.7260795E-02
   7107.40  4.2133186E-02
   7107.60  5.9954072E-04
   7107.80  1.8388040E-04
   7108.00  1.3919666E-04
   7108.20  1.6416811E-04
   7108.40  1.0689990E-02
   7108.60  6.4347364E-04
   7108.80  1.0762818E-03
   7109.00  8.4334118E-02
   7109.20  9.7887981E-03
   7109.40  3.5822397E-02
   7109.60  1.5699238E-02
   7109.80  6.8027697E-03
   7110.00  1.3395425E-03
   7110.20  1.0762173E-02
   7110.40  1.1197372E-02
   7110.60  1.3015134E-02
   7110.80  8.4613120E-03
   7111.00  7.4562729E-03
   7111.20  4.8131903E-03
   7111.40  2.1519378E-03
   7111.60  3.2331272E-03
   7111.80  9.2876136E-03
   7112.00  6.2283119E-03
   7112.20  6.9727784E-03
   7112.40  1.1577540E-02
   7112.60  1.1619399E-02
   7112.80  1.5657594E-02
   7113.00  3.0332199E-02
   7113.20  4.3056013E-02
   7113.40  4.3688567E-02
   7113.60  6.3126558E-02
   7113.80  8.5219247E-02
   7114.00  9.8323211E-02
   7114.20  8.8181678E-02
   7114.40  4.7824926E-02
   7114.60  2.9444045E-02
   7114.80  2.0999317E-02
   7115.00  1.6438153E-02
   7115.20  1.3701476E-02
   7115.40  1.1946394E-02
   7115.60  1.0729957E-02
   7115.80  9.8361617E-03
   7116.00  9.2029827E-03
   7116.20  8.8481872E-03
   7116.40  8.8244829E-03
   7116.60  9.4926476E-03
   7116.80  1.1170248E-02
   7117.00  1.3472537E-02
   7117.20  1.4122737E-02
   7117.40  1.2930363E-02
   7117.60  1.1710839E-02
   7117.80  1.0930360E-02
   7118.00  1.0304626E-02
   7118.20  9.5760959E-03
   7118.40  8.8032016E-03
   7118.60  8.2045604E-03
   7118.80  7.8740193E-03
   7119.00  7.7156349E-03
   7119.20  7.6103405E-03
   7119.40  7.5210657E-03
   7119.60  7.4389482E-03
   7119.80  7.3534309E-03
   7120.00  7.2523804E-03
   7120.20  7.1275664E-03
   7120.40  6.9837327E-03
   7120.60  6.8419597E-03
   7120.80  6.7352969E-03
   7121.00  6.6970897E-03
   7121.20  6.6759647E-03
   7121.40  6.5659927E-03
   7121.60  6.3533560E-03
   7121.80  6.1535901E-03
   7122.00  6.0642360E-03
   7122.20  6.0902097E-03
   7122.40  6.1942354E-03
   7122.60  6.3443826E-03
   7122.80  6.5192635E-03
   7123.00  6.7098503E-03
   7123.20  6.9137593E-03
   7123.40  7.1327852E-03
   7123.60  7.3719986E-03
   7123.80  7.6397727E-03
   7124.00  7.9481748E-03
   7124.20  8.3126915E-03
   7124.40  8.7498866E-03
   7124.60  9.2720651E-03
   7124.80  9.8830167E-03
   7125.00  1.0585778E-02
   7125.20  1.1401345E-02
   7125.40  1.2374814E-02
   7125.60  1.3561790E-02
   7125.80  1.5013353E-02
   7126.00  1.6762426E-02
   7126.20  1.8793354E-02
   7126.40  2.1049352E-02
