  7112.000   26  1  1  9.0088055E-02 -3.2105191E+00 -3.5032337E-01  1  1  7.2649685E+03  0.0000000E+00  0.0000000E+00  7.1203890E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.0870595E-05
   7097.20  3.0772855E-05
   7097.40  3.9587842E-05
   7097.60  1.1543841E-03
   7097.80  3.4130322E-05
   7098.00  3.2469753E-05
   7098.20  3.0528223E-05
   7098.40  2.9683383E-05
   7098.60  3.2324349E-05
   7098.80  3.9690506E-05
   7099.00  6.8871728E-05
   7099.20  6.6089116E-04
   7099.40  2.5015855E-04
   7099.60  4.6858433E-03
   7099.80  2.0184940E-04
   7100.00  6.7287074E-05
   7100.20  4.3600909E-05
   7100.40  3.6853303E-05
   7100.60  1.1942043E-04
   7100.80  3.1715139E-05
   7101.00  3.0951203E-05
   7101.20  3.2028928E-05
   7101.40  3.4797893E-05
   7101.60  4.2658230E-05
   7101.80  9.1044965E-05
   7102.00  6.7762928E-04
   7102.20  8.1257252E-05
   7102.40  7.3740935E-05
   7102.60  1.2595238E-04
   7102.80  5.7578446E-04
   7103.00  3.0493499E-03
   7103.20  4.2048900E-04
   7103.40  1.4145330E-04
   7103.60  1.7469047E-03
   7103.80  9.8706761E-05
   7104.00  3.4203933E-04
   7104.20  8.8520945E-05
   7104.40  5.5915518E-05
   7104.60  5.0415086E-05
   7104.80  5.2291807E-05
   7105.00  5.8533187E-05
   7105.20  7.6796664E-05
   7105.40  1.9808385E-04
   7105.60  5.3880391E-03
   7105.80  1.7925349E-04
   7106.00  4.3137322E-04
   7106.20  9.2120992E-03
   7106.40  3.7670673E-04
   7106.60  6.7532098E-04
   7106.80  1.3258843E-01
   7107.00  8.8487812E-04
   7107.20  2.2746676E-02
   7107.40  6.5118019E-04
   7107.60  4.3418826E-03
   7107.80  1.9189003E-03
   7108.00  7.4019683E-02
   7108.20  2.4046212E-02
   7108.40  4.0839876E-03
   7108.60  1.5716434E-03
   7108.80  5.7815243E-03
   7109.00  2.9021313E-02
   7109.20  7.3878674E-03
   7109.40  3.2512187E-03
   7109.60  4.4994350E-03
   7109.80  1.3905046E-02
   7110.00  2.1566306E-02
   7110.20  8.9351992E-02
   7110.40  2.8691271E-02
   7110.60  2.4706776E-02
   7110.80  2.0112390E-02
   7111.00  8.3363693E-03
   7111.20  4.7995535E-03
   7111.40  5.3641817E-03
   7111.60  5.5935441E-03
   7111.80  1.7007702E-02
   7112.00  6.7557760E-03
   7112.20  2.8138160E-03
   7112.40  1.4734203E-03
   7112.60  9.5540454E-04
   7112.80  1.0484997E-03
   7113.00  1.8132213E-03
   7113.20  3.8141075E-03
   7113.40  2.7466600E-03
