  7112.000   26  1  1  9.8913135E-03 -2.8805223E+00 -1.7801921E-01  1  1  7.2649737E+03  0.0000000E+00  0.0000000E+00  2.5476758E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.4987723E-04
   7097.20  1.0579671E-04
   7097.40  6.4766993E-05
   7097.60  4.8592232E-05
   7097.80  4.0330134E-05
   7098.00  3.5515682E-05
   7098.20  3.2482696E-05
   7098.40  3.0485277E-05
   7098.60  2.9151015E-05
   7098.80  2.8285317E-05
   7099.00  2.7793285E-05
   7099.20  2.7659698E-05
   7099.40  2.7982950E-05
   7099.60  2.9182751E-05
   7099.80  3.3421386E-05
   7100.00  8.2196341E-05
   7100.20  1.8279208E-04
   7100.40  5.4771759E-05
   7100.60  5.1811237E-05
   7100.80  7.1304500E-04
   7101.00  4.4647651E-05
   7101.20  4.0862078E-05
   7101.40  4.8273399E-05
   7101.60  7.8143755E-05
   7101.80  5.4968616E-04
   7102.00  2.6856736E-04
   7102.20  1.3133249E-04
   7102.40  3.6973228E-04
   7102.60  1.6807473E-02
   7102.80  5.8808536E-04
   7103.00  1.0856341E-04
   7103.20  7.2119098E-05
   7103.40  1.0333011E-03
   7103.60  3.3485421E-04
   7103.80  6.9899964E-05
   7104.00  5.8041932E-05
   7104.20  6.4723681E-05
   7104.40  8.7250815E-05
   7104.60  1.3713518E-03
   7104.80  4.5432764E-04
   7105.00  1.5440222E-03
   7105.20  1.5817215E-03
   7105.40  2.1113830E-03
   7105.60  3.7780037E-04
   7105.80  7.7493903E-04
   7106.00  5.6308334E-03
   7106.20  1.3761708E-03
   7106.40  3.6353234E-04
   7106.60  2.4747502E-03
   7106.80  2.0258690E-03
   7107.00  6.7533271E-04
   7107.20  2.5795745E-03
   7107.40  2.1438315E-03
   7107.60  3.1526251E-03
   7107.80  1.5442611E-02
   7108.00  2.2344816E-02
   7108.20  3.0680285E-03
   7108.40  5.7293073E-02
   7108.60  6.0377881E-04
   7108.80  1.1624992E-02
   7109.00  2.1292238E-03
   7109.20  2.9343830E-03
   7109.40  6.7874154E-03
   7109.60  7.2348861E-03
   7109.80  1.0706968E-02
   7110.00  1.2774566E-02
   7110.20  2.5084517E-02
   7110.40  2.6560700E-02
   7110.60  2.6422204E-02
   7110.80  1.7061287E-02
   7111.00  2.6853894E-02
   7111.20  1.4097179E-02
   7111.40  1.6485985E-02
   7111.60  1.4076300E-02
   7111.80  1.6727404E-02
   7112.00  1.1031680E-02
   7112.20  7.4110758E-03
   7112.40  7.7685519E-03
   7112.60  3.0720628E-02
   7112.80  2.2882676E-02
   7113.00  5.4365169E-03
   7113.20  2.7159709E-03
   7113.40  2.0356601E-03
   7113.60  2.3621616E-03
   7113.80  5.9841003E-03
   7114.00  3.0443042E-02
   7114.20  6.4352652E-03
   7114.40  2.6661083E-03
   7114.60  1.7895191E-03
   7114.80  1.6244973E-03
   7115.00  2.3040020E-03
   7115.20  1.4367101E-02
   7115.40  5.0229594E-03
   7115.60  1.3396116E-03
   7115.80  1.1049937E-03
   7116.00  1.1278695E-03
   7116.20  1.1999396E-03
   7116.40  1.2256965E-03
   7116.60  1.1665294E-03
   7116.80  1.0497262E-03
   7117.00  9.2466033E-04
   7117.20  8.2267387E-04
   7117.40  7.5386097E-04
   7117.60  7.1735510E-04
   7117.80  7.0868427E-04
   7118.00  7.2240928E-04
   7118.20  7.5253762E-04
   7118.40  7.9366254E-04
   7118.60  8.4364642E-04
   7118.80  9.0397278E-04
   7119.00  9.7625683E-04
   7119.20  1.0596652E-03
   7119.40  1.1515734E-03
   7119.60  1.2490434E-03
   7119.80  1.3509833E-03
   7120.00  1.4582935E-03
   7120.20  1.5727675E-03
   7120.40  1.6976784E-03
   7120.60  1.8413724E-03
   7120.80  2.0109894E-03
   7121.00  2.2128338E-03
