  7112.000   26  1  1  1.4190765E-02 -1.5713357E+00 -1.4884098E+00  1  1  7.2653558E+03  0.0000000E+00  0.0000000E+00  1.7416159E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9504117E-05
   7097.20  1.9506947E-05
   7097.40  1.9526727E-05
   7097.60  1.9561642E-05
   7097.80  1.9611266E-05
   7098.00  1.9676050E-05
   7098.20  1.9757128E-05
   7098.40  1.9856321E-05
   7098.60  1.9976170E-05
   7098.80  2.0120095E-05
   7099.00  2.0292764E-05
   7099.20  2.0500499E-05
   7099.40  2.0751998E-05
   7099.60  2.1059656E-05
   7099.80  2.1441487E-05
   7100.00  2.1924493E-05
   7100.20  2.2551265E-05
   7100.40  2.3392039E-05
   7100.60  2.4569961E-05
   7100.80  2.6318578E-05
   7101.00  2.9128287E-05
   7101.20  3.4184515E-05
   7101.40  4.5011876E-05
   7101.60  7.6435183E-05
   7101.80  2.6146491E-04
   7102.00  1.9574979E-02
   7102.20  1.9228814E-04
   7102.40  7.0530345E-05
   7102.60  4.6996109E-05
   7102.80  3.9934947E-05
   7103.00  3.8751717E-05
   7103.20  4.1880336E-05
   7103.40  5.2442663E-05
   7103.60  9.2267380E-05
   7103.80  1.1132589E-03
   7104.00  4.6602087E-04
   7104.20  2.2988980E-03
   7104.40  1.4459867E-04
   7104.60  8.1629311E-05
   7104.80  1.6536981E-04
   7105.00  4.7590668E-05
   7105.20  4.7282201E-05
   7105.40  5.0683504E-05
   7105.60  4.7285816E-05
   7105.80  8.8606750E-05
   7106.00  1.8070550E-04
   7106.20  7.9190954E-05
   7106.40  2.2836529E-04
   7106.60  7.3689084E-04
   7106.80  5.0157393E-04
   7107.00  1.1232296E-04
   7107.20  9.1016884E-05
   7107.40  1.2032896E-04
   7107.60  2.7274709E-04
   7107.80  2.8482273E-03
   7108.00  3.4599910E-03
   7108.20  8.7977145E-03
   7108.40  4.4048473E-03
   7108.60  6.6712531E-04
   7108.80  2.7847616E-04
   7109.00  2.6208295E-04
   7109.20  1.1786929E-03
   7109.40  6.3479495E-02
   7109.60  7.6662519E-03
   7109.80  1.6093372E-03
   7110.00  3.5096190E-03
   7110.20  3.1640499E-02
   7110.40  3.0166407E-03
   7110.60  9.4619692E-04
   7110.80  3.5327802E-02
   7111.00  3.5195529E-02
   7111.20  1.4845822E-02
   7111.40  9.2671476E-03
   7111.60  6.8247120E-03
   7111.80  1.3318652E-02
   7112.00  3.5723412E-03
   7112.20  2.1766992E-03
   7112.40  2.3002877E-03
   7112.60  6.3329145E-03
   7112.80  3.8037174E-03
   7113.00  6.1750577E-03
   7113.20  1.5414133E-02
   7113.40  3.4805235E-02
   7113.60  2.8260802E-02
   7113.80  4.4301534E-02
   7114.00  4.0546154E-02
   7114.20  4.3153076E-02
   7114.40  7.1929076E-02
   7114.60  1.2097239E-01
   7114.80  9.3311399E-02
   7115.00  5.4147545E-02
   7115.20  3.4865233E-02
   7115.40  2.5009703E-02
   7115.60  1.9380448E-02
   7115.80  1.5861759E-02
   7116.00  1.3513576E-02
   7116.20  1.1876466E-02
   7116.40  1.0703492E-02
   7116.60  9.8623159E-03
   7116.80  9.3018099E-03
   7117.00  9.0517854E-03
   7117.20  9.2132278E-03
   7117.40  1.0484434E-02
   7117.60  1.3468338E-02
   7117.80  1.6069873E-02
   7118.00  1.4917738E-02
   7118.20  1.2899621E-02
   7118.40  1.1481588E-02
   7118.60  1.0377413E-02
   7118.80  9.3070365E-03
   7119.00  8.3129406E-03
   7119.20  7.5213698E-03
   7119.40  6.9478075E-03
   7119.60  6.5333085E-03
   7119.80  6.2258272E-03
   7120.00  6.0088416E-03
   7120.20  5.8717092E-03
   7120.40  5.7835474E-03
   7120.60  5.7048042E-03
   7120.80  5.6037680E-03
   7121.00  5.4685195E-03
   7121.20  5.3241814E-03
   7121.40  5.2289689E-03
   7121.60  5.2219631E-03
   7121.80  5.3321780E-03
   7122.00  5.5234737E-03
   7122.20  5.7030432E-03
   7122.40  5.8516972E-03
   7122.60  5.9859802E-03
   7122.80  6.1055685E-03
   7123.00  6.2105958E-03
   7123.20  6.3397187E-03
   7123.40  6.4598314E-03
   7123.60  6.5899514E-03
   7123.80  6.6887856E-03
   7124.00  6.6971629E-03
   7124.20  6.6207275E-03
   7124.40  6.5416617E-03
   7124.60  6.5221735E-03
   7124.80  6.5748111E-03
   7125.00  6.6932360E-03
   7125.20  6.8708677E-03
   7125.40  7.1034999E-03
   7125.60  7.3881537E-03
   7125.80  7.7221601E-03
   7126.00  8.1025832E-03
   7126.20  8.5265798E-03
   7126.40  8.9926670E-03
   7126.60  9.5020032E-03
   7126.80  1.0058807E-02
   7127.00  1.0668448E-02
   7127.20  1.1342710E-02
   7127.40  1.2065590E-02
   7127.60  1.2882486E-02
   7127.80  1.3701098E-02
   7128.00  1.4550486E-02
   7128.20  1.5417711E-02
   7128.40  1.6297131E-02
   7128.60  1.7191409E-02
   7128.80  1.8113377E-02
   7129.00  1.9082368E-02
   7129.20  2.0115627E-02
   7129.40  2.1217295E-02
   7129.60  2.2420796E-02
   7129.80  2.3643695E-02
   7130.00  2.4880219E-02
   7130.20  2.6126809E-02
   7130.40  2.7352997E-02
   7130.60  2.8419199E-02
   7130.80  2.9408582E-02
   7131.00  3.0474205E-02
   7131.20  3.1833567E-02
   7131.40  3.3634243E-02
   7131.60  3.5949113E-02
   7131.80  3.8811883E-02
   7132.00  4.2236567E-02
   7132.20  4.6217410E-02
   7132.40  5.0717922E-02
   7132.60  5.5661403E-02
   7132.80  6.0926055E-02
   7133.00  6.6352879E-02
