  7112.000   26  1  1  4.1421004E-02 -1.6447369E+00 -1.2178285E+00  1  1  7.2658472E+03  0.0000000E+00  0.0000000E+00  2.5271213E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  9.0996930E-05
   7097.20  7.1169670E-05
   7097.40  6.9532887E-05
   7097.60  8.2837992E-05
   7097.80  1.2923534E-04
   7098.00  3.5259983E-04
   7098.20  2.7665088E-02
   7098.40  8.6809243E-04
   7098.60  7.3391309E-03
   7098.80  2.5832099E-04
   7099.00  1.0537339E-04
   7099.20  7.0201475E-05
   7099.40  1.0486829E-04
   7099.60  7.3424672E-05
   7099.80  4.0684881E-05
   7100.00  3.5135487E-05
   7100.20  3.2570585E-05
   7100.40  3.1168801E-05
   7100.60  3.0466643E-05
   7100.80  3.0314153E-05
   7101.00  3.0714884E-05
   7101.20  3.1848558E-05
   7101.40  3.4310232E-05
   7101.60  4.1519912E-05
   7101.80  5.9615745E-05
   7102.00  5.1417239E-03
   7102.20  6.4650404E-03
   7102.40  2.2286157E-04
   7102.60  1.3726883E-03
   7102.80  1.4808428E-03
   7103.00  1.3139613E-04
   7103.20  6.0886211E-05
   7103.40  5.0099255E-05
   7103.60  5.7149902E-05
   7103.80  1.3681682E-04
   7104.00  1.1059925E-04
   7104.20  8.7017537E-05
   7104.40  1.0720750E-04
   7104.60  1.0789551E-03
   7104.80  3.0519657E-04
   7105.00  8.6575285E-03
   7105.20  2.9540004E-03
   7105.40  2.4821025E-04
   7105.60  2.3200545E-04
   7105.80  4.6270899E-04
   7106.00  4.0465556E-03
   7106.20  1.5181449E-03
   7106.40  5.4236940E-04
   7106.60  2.1003881E-04
   7106.80  1.1129956E-02
   7107.00  2.5519598E-04
   7107.20  1.6831072E-03
   7107.40  5.7115922E-03
   7107.60  7.4638326E-04
   7107.80  1.6977851E-03
   7108.00  5.6589208E-02
   7108.20  9.3704692E-03
   7108.40  5.7339181E-03
   7108.60  3.9543107E-03
   7108.80  3.3620676E-03
   7109.00  2.4715046E-02
   7109.20  1.1352430E-02
   7109.40  5.8115699E-03
   7109.60  9.1853829E-02
   7109.80  2.1159890E-03
   7110.00  2.9958024E-02
   7110.20  8.7981130E-02
   7110.40  3.2130024E-03
   7110.60  2.0116211E-04
   7110.80  2.6482398E-02
   7111.00  1.4292189E-02
   7111.20  1.3302788E-02
   7111.40  8.2388824E-03
   7111.60  1.3268617E-02
   7111.80  8.5588604E-03
   7112.00  6.0641985E-03
   7112.20  1.3824423E-02
   7112.40  1.1317948E-02
   7112.60  2.0410011E-02
   7112.80  4.6099718E-03
   7113.00  3.2581162E-03
   7113.20  3.1660637E-03
   7113.40  3.7100232E-03
   7113.60  4.0253255E-03
   7113.80  6.5215745E-03
   7114.00  8.2485751E-03
