  7112.000   26  1  1  3.3904690E-02 -3.7072541E+00 -1.9219264E+00  1  1  7.2663164E+03  0.0000000E+00  0.0000000E+00  5.7147651E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.6259497E-05
   7097.20  2.8487137E-05
   7097.40  2.5392232E-05
   7097.60  2.3831723E-05
   7097.80  2.2967097E-05
   7098.00  2.2485179E-05
   7098.20  2.2247671E-05
   7098.40  2.2189875E-05
   7098.60  2.2285861E-05
   7098.80  2.2536424E-05
   7099.00  2.2969171E-05
   7099.20  2.3650504E-05
   7099.40  2.4719783E-05
   7099.60  2.6482808E-05
   7099.80  2.9700610E-05
   7100.00  3.6728349E-05
   7100.20  5.8313664E-05
   7100.40  2.1894686E-04
   7100.60  1.5970540E-03
   7100.80  9.7085053E-05
   7101.00  6.8097363E-05
   7101.20  5.6353773E-04
   7101.40  1.0168124E-04
   7101.60  6.0450536E-05
   7101.80  6.3302742E-04
   7102.00  1.1078327E-04
   7102.20  1.8429407E-04
   7102.40  8.2092570E-05
   7102.60  8.9941020E-04
   7102.80  8.6199249E-04
   7103.00  5.5532992E-04
   7103.20  2.2862864E-04
   7103.40  4.0992810E-04
   7103.60  1.0287327E-04
   7103.80  3.1535494E-04
   7104.00  4.8961332E-04
   7104.20  2.0978105E-02
   7104.40  3.2480366E-04
   7104.60  3.3405284E-03
   7104.80  1.1801433E-03
   7105.00  2.9811538E-04
   7105.20  5.2755399E-03
   7105.40  2.4489305E-02
   7105.60  6.8545866E-04
   7105.80  2.3449642E-03
   7106.00  1.8649050E-03
   7106.20  7.2977309E-02
   7106.40  3.5773876E-03
   7106.60  1.5460506E-03
   7106.80  5.5817337E-03
   7107.00  5.5520798E-04
   7107.20  1.3238762E-03
   7107.40  2.7513090E-04
   7107.60  9.8361526E-04
   7107.80  9.1779878E-04
   7108.00  9.1989928E-04
   7108.20  3.5618824E-03
   7108.40  3.5196109E-03
   7108.60  1.6105633E-02
   7108.80  1.6442322E-02
   7109.00  6.9852152E-03
   7109.20  1.5204676E-02
   7109.40  8.5828124E-03
   7109.60  6.4109188E-03
   7109.80  1.3075215E-02
   7110.00  2.2682876E-02
   7110.20  1.6866303E-02
   7110.40  1.3340273E-02
   7110.60  2.0608159E-02
   7110.80  2.4885548E-02
   7111.00  2.9610288E-02
   7111.20  4.6841743E-02
   7111.40  5.3036990E-02
   7111.60  4.3816164E-02
   7111.80  3.1739160E-02
   7112.00  1.7322778E-02
   7112.20  1.2300040E-02
   7112.40  1.5699011E-02
   7112.60  1.9232313E-02
   7112.80  2.5353862E-02
   7113.00  3.4490294E-02
   7113.20  2.4016475E-02
   7113.40  1.3887791E-02
   7113.60  9.1977305E-03
   7113.80  7.0348565E-03
   7114.00  6.0227435E-03
   7114.20  5.6398657E-03
   7114.40  5.4568254E-03
   7114.60  5.5809402E-03
