  7112.000   26  1  1  8.3608599E-03 -2.1119947E+00 -8.3326283E-01  1  1  7.2651042E+03  0.0000000E+00  0.0000000E+00  2.4079218E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.3391234E-04
   7097.20  5.3128091E-05
   7097.40  3.7012101E-05
   7097.60  3.0912301E-05
   7097.80  2.7935636E-05
   7098.00  2.6318173E-05
   7098.20  2.5444895E-05
   7098.40  2.5083981E-05
   7098.60  2.5198455E-05
   7098.80  2.5969921E-05
   7099.00  2.8152534E-05
   7099.20  3.5422336E-05
   7099.40  9.4282931E-05
   7099.60  3.3066256E-04
   7099.80  5.6231123E-05
   7100.00  2.9424018E-03
   7100.20  4.5362482E-05
   7100.40  3.2056144E-05
   7100.60  3.0725746E-05
   7100.80  3.2040378E-05
   7101.00  3.5720119E-05
   7101.20  4.4698770E-05
   7101.40  8.8301694E-05
   7101.60  6.8012893E-04
   7101.80  5.1526812E-04
   7102.00  2.6293581E-03
   7102.20  1.8770717E-04
   7102.40  8.3052621E-05
   7102.60  7.7333113E-05
   7102.80  1.1261611E-04
   7103.00  5.3330751E-04
   7103.20  4.2990489E-03
   7103.40  6.3994470E-03
   7103.60  3.4049904E-04
   7103.80  6.0414522E-03
   7104.00  1.0074921E-04
   7104.20  7.9940953E-05
   7104.40  1.1444633E-04
   7104.60  5.3040617E-04
   7104.80  1.2789020E-03
   7105.00  4.0161382E-04
   7105.20  8.7040085E-04
   7105.40  1.0377137E-04
   7105.60  2.0834296E-04
   7105.80  2.6179947E-03
   7106.00  5.1187291E-04
   7106.20  5.2088541E-04
   7106.40  1.1357178E-03
   7106.60  5.5972392E-04
   7106.80  2.2936320E-04
   7107.00  1.0634579E-03
   7107.20  6.0902818E-04
   7107.40  1.1684335E-02
   7107.60  2.8905071E-03
   7107.80  6.8090816E-03
   7108.00  7.4801615E-04
   7108.20  3.6549081E-04
   7108.40  2.6816637E-03
   7108.60  1.0495157E-03
   7108.80  5.8557850E-04
   7109.00  8.5323573E-03
   7109.20  2.1785547E-03
   7109.40  1.0290246E-03
   7109.60  2.6990595E-02
   7109.80  3.3841541E-03
   7110.00  6.8879210E-04
   7110.20  5.7009968E-04
   7110.40  1.4215799E-02
   7110.60  2.7809120E-03
   7110.80  5.5321470E-03
   7111.00  1.4992744E-02
   7111.20  7.4162160E-03
   7111.40  6.6832804E-03
   7111.60  1.1213350E-02
   7111.80  7.9939065E-03
   7112.00  1.2133386E-02
   7112.20  1.1048991E-02
   7112.40  2.5487507E-02
   7112.60  1.8041212E-02
   7112.80  2.7930363E-02
   7113.00  8.7285062E-03
   7113.20  1.0406385E-02
   7113.40  7.6018888E-03
   7113.60  8.9922520E-03
   7113.80  1.1601708E-02
   7114.00  1.8879241E-02
   7114.20  3.0068032E-02
   7114.40  2.3716653E-02
   7114.60  1.3243406E-02
   7114.80  9.1599698E-03
   7115.00  8.6270554E-03
   7115.20  1.1032905E-02
   7115.40  1.6766649E-02
   7115.60  1.9805493E-02
   7115.80  1.4492012E-02
   7116.00  1.0834202E-02
   7116.20  8.9659239E-03
   7116.40  7.2666488E-03
   7116.60  6.0878871E-03
   7116.80  5.4581727E-03
   7117.00  5.2887919E-03
   7117.20  5.5768893E-03
   7117.40  6.4566014E-03
   7117.60  8.2652680E-03
   7117.80  1.1597212E-02
   7118.00  1.6866344E-02
   7118.20  2.2443783E-02
   7118.40  2.4771397E-02
   7118.60  2.2825217E-02
   7118.80  1.8370561E-02
   7119.00  1.4347627E-02
   7119.20  1.1819333E-02
   7119.40  1.0484684E-02
   7119.60  9.8105299E-03
   7119.80  9.4442918E-03
