  7112.000   26  1  1  2.3385318E-02 -3.5952697E+00 -1.6096967E+00  1  1  7.2657599E+03  0.0000000E+00  0.0000000E+00  4.2121630E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9564967E-04
   7097.20  1.3219596E-03
   7097.40  8.0797934E-05
   7097.60  4.0471781E-05
   7097.80  3.1296112E-05
   7098.00  2.8141915E-05
   7098.20  2.7062925E-05
   7098.40  2.7062396E-05
   7098.60  2.7938995E-05
   7098.80  2.9950243E-05
   7099.00  3.4120347E-05
   7099.20  4.4189940E-05
   7099.40  8.3173575E-05
   7099.60  2.8033989E-03
   7099.80  6.9118449E-03
   7100.00  4.8403399E-04
   7100.20  1.8238073E-04
   7100.40  8.0528416E-05
   7100.60  1.8000134E-04
   7100.80  8.0866069E-04
   7101.00  2.1085485E-03
   7101.20  1.1550456E-04
   7101.40  8.4998948E-05
   7101.60  4.4079147E-04
   7101.80  1.9788807E-04
   7102.00  6.7621405E-05
   7102.20  7.2457991E-05
   7102.40  2.5042949E-04
   7102.60  5.7589649E-04
   7102.80  1.1154085E-04
   7103.00  7.5138338E-04
   7103.20  1.3126708E-04
   7103.40  3.4660221E-04
   7103.60  3.1245555E-03
   7103.80  3.5596353E-04
   7104.00  4.0975906E-04
   7104.20  2.9137104E-04
   7104.40  4.2511392E-04
   7104.60  1.1041145E-04
   7104.80  2.8365266E-04
   7105.00  2.9319430E-03
   7105.20  4.9186130E-04
   7105.40  6.8116120E-03
   7105.60  5.7620183E-04
   7105.80  2.9737784E-03
   7106.00  6.0736781E-04
   7106.20  7.0809369E-03
   7106.40  1.3947230E-03
   7106.60  1.0195116E-02
   7106.80  1.0413296E-02
   7107.00  4.9455389E-03
   7107.20  3.2639286E-03
   7107.40  6.6022788E-04
   7107.60  2.1558446E-03
   7107.80  1.4501854E-03
   7108.00  2.5301117E-03
   7108.20  1.6627040E-03
   7108.40  7.7287090E-04
   7108.60  3.9469244E-02
   7108.80  1.9915311E-02
   7109.00  1.6086621E-02
   7109.20  9.3547189E-03
   7109.40  9.3802901E-03
   7109.60  9.1525572E-03
   7109.80  1.2259627E-02
   7110.00  7.4859843E-03
   7110.20  1.3742213E-02
   7110.40  1.6161535E-02
   7110.60  3.9317665E-02
   7110.80  4.6565625E-02
   7111.00  2.5916598E-02
   7111.20  2.0051525E-02
   7111.40  2.2536695E-02
   7111.60  2.7827930E-02
   7111.80  3.0699493E-02
   7112.00  2.5651965E-02
   7112.20  2.2857279E-02
   7112.40  2.6565126E-02
   7112.60  2.5217973E-02
   7112.80  2.6298468E-02
   7113.00  3.3246507E-02
   7113.20  2.9963976E-02
   7113.40  2.3145939E-02
