  7112.000   26  1  1  7.7914326E-03 -2.6013848E+00 -2.1847685E+00  1  1  7.2661743E+03  0.0000000E+00  0.0000000E+00  1.4419020E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9452989E-05
   7097.20  1.9446917E-05
   7097.40  1.9455036E-05
   7097.60  1.9477163E-05
   7097.80  1.9513636E-05
   7098.00  1.9565324E-05
   7098.20  1.9633766E-05
   7098.40  1.9721446E-05
   7098.60  1.9832269E-05
   7098.80  1.9972565E-05
   7099.00  2.0153231E-05
   7099.20  2.0394399E-05
   7099.40  2.0737750E-05
   7099.60  2.1284128E-05
   7099.80  2.2339831E-05
   7100.00  2.5272713E-05
   7100.20  4.4917168E-05
   7100.40  2.9144905E-04
   7100.60  3.1293628E-05
   7100.80  2.5115418E-05
   7101.00  2.4246372E-05
   7101.20  2.4569529E-05
   7101.40  2.5620874E-05
   7101.60  2.7649745E-05
   7101.80  3.1792565E-05
   7102.00  4.2753110E-05
   7102.20  9.8224401E-05
   7102.40  2.7396222E-02
   7102.60  1.1231201E-04
   7102.80  2.2354009E-04
   7103.00  1.4441054E-04
   7103.20  5.8442909E-05
   7103.40  1.0245537E-04
   7103.60  5.1242655E-04
   7103.80  1.0773529E-04
   7104.00  1.4233603E-03
   7104.20  1.9230124E-04
   7104.40  6.2741363E-05
   7104.60  4.6898049E-05
   7104.80  4.5130529E-05
   7105.00  5.2280880E-05
   7105.20  9.6072696E-05
   7105.40  1.6414029E-02
   7105.60  1.0949824E-04
   7105.80  6.3275692E-05
   7106.00  9.8794090E-05
   7106.20  7.1149693E-05
   7106.40  2.9601352E-04
   7106.60  1.2936083E-04
   7106.80  3.9229662E-04
   7107.00  2.6460794E-03
   7107.20  1.8369892E-02
   7107.40  4.0901036E-04
   7107.60  1.9373596E-04
   7107.80  2.8185074E-04
   7108.00  3.6297786E-03
   7108.20  7.5290074E-04
   7108.40  3.5907101E-04
   7108.60  1.4902880E-03
   7108.80  2.8455350E-02
   7109.00  1.5555997E-02
   7109.20  5.4685114E-03
   7109.40  1.2156934E-02
   7109.60  7.4347900E-03
   7109.80  1.4254267E-02
   7110.00  1.1045984E-02
   7110.20  1.9042342E-02
   7110.40  1.0395340E-02
   7110.60  6.9621913E-03
   7110.80  1.6753141E-02
   7111.00  2.6944061E-02
   7111.20  1.4078962E-02
   7111.40  1.3397165E-02
   7111.60  6.1326507E-03
   7111.80  5.6792931E-03
   7112.00  7.1990744E-03
   7112.20  9.9723349E-03
   7112.40  1.2665621E-02
   7112.60  1.6198458E-02
   7112.80  2.3819460E-02
   7113.00  2.4292535E-02
   7113.20  2.6884230E-02
   7113.40  3.9586465E-02
   7113.60  4.6435559E-02
   7113.80  4.7801652E-02
   7114.00  4.9450050E-02
   7114.20  3.8830614E-02
   7114.40  2.7974189E-02
   7114.60  2.2244952E-02
   7114.80  2.0139736E-02
   7115.00  2.0641794E-02
   7115.20  2.3168549E-02
   7115.40  2.6230261E-02
   7115.60  2.7088767E-02
   7115.80  2.4804571E-02
   7116.00  2.1227880E-02
   7116.20  1.7732303E-02
   7116.40  1.5259327E-02
   7116.60  1.3513202E-02
   7116.80  1.2359855E-02
   7117.00  1.1653464E-02
   7117.20  1.1163431E-02
   7117.40  1.0673341E-02
   7117.60  1.0187793E-02
   7117.80  9.7954178E-03
   7118.00  9.5087788E-03
   7118.20  9.2727094E-03
   7118.40  9.0140378E-03
   7118.60  8.6916965E-03
