  7112.000   26  1  1  2.0160748E-02 -3.5392246E+00 -2.9291493E+00  1  1  7.2666520E+03  0.0000000E+00  0.0000000E+00  2.8291008E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0529504E-05
   7097.20  2.0733862E-05
   7097.40  2.0992358E-05
   7097.60  2.1326601E-05
   7097.80  2.1772633E-05
   7098.00  2.2394730E-05
   7098.20  2.3318343E-05
   7098.40  2.4816995E-05
   7098.60  2.7592686E-05
   7098.80  3.3966280E-05
   7099.00  5.6341095E-05
   7099.20  4.5574823E-04
   7099.40  1.9475071E-02
   7099.60  8.6148834E-05
   7099.80  4.1444556E-05
   7100.00  3.3705303E-05
   7100.20  7.8343628E-05
   7100.40  4.0878849E-05
   7100.60  3.2387431E-05
   7100.80  3.8216978E-05
   7101.00  8.1279533E-05
   7101.20  6.1663810E-04
   7101.40  6.0631936E-05
   7101.60  7.0507953E-05
   7101.80  3.4980290E-04
   7102.00  3.6539370E-04
   7102.20  1.0818312E-04
   7102.40  2.9580015E-03
   7102.60  7.5587075E-05
   7102.80  8.9118316E-05
   7103.00  5.3425930E-03
   7103.20  8.3319157E-04
   7103.40  8.3099774E-05
   7103.60  9.1510492E-05
   7103.80  1.2176705E-03
   7104.00  1.7016248E-04
   7104.20  1.1487253E-04
   7104.40  1.1408129E-03
   7104.60  2.1187028E-04
   7104.80  1.7270103E-04
   7105.00  2.0207974E-03
   7105.20  4.0216877E-04
   7105.40  8.9021494E-03
   7105.60  1.4297961E-04
   7105.80  4.9203447E-04
   7106.00  3.8434131E-04
   7106.20  1.0755229E-03
   7106.40  8.4471521E-03
   7106.60  3.5668382E-02
   7106.80  6.0783087E-04
   7107.00  2.8107156E-04
   7107.20  3.9958523E-04
   7107.40  2.7669216E-04
   7107.60  1.7345201E-03
   7107.80  1.5210167E-02
   7108.00  9.8909738E-03
   7108.20  1.9951804E-03
   7108.40  1.7341573E-01
   7108.60  9.4601115E-03
   7108.80  2.9979972E-03
   7109.00  3.1388385E-03
   7109.20  1.8175642E-02
   7109.40  1.3855708E-02
   7109.60  1.3851456E-02
   7109.80  1.1795456E-02
   7110.00  4.7083712E-03
