  7112.000   26  1  1  9.9948412E-03 -2.3188994E+00 -5.3105805E-01  1  1  7.2645936E+03  0.0000000E+00  0.0000000E+00  3.2570658E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.5038108E-05
   7097.20  6.9014606E-05
   7097.40  3.8707576E-05
   7097.60  2.4116908E-05
   7097.80  2.2985525E-05
   7098.00  2.3551798E-05
   7098.20  2.2467696E-05
   7098.40  2.2635351E-05
   7098.60  2.2982058E-05
   7098.80  2.3480813E-05
   7099.00  2.4162228E-05
   7099.20  2.5092171E-05
   7099.40  2.6393880E-05
   7099.60  2.8310392E-05
   7099.80  3.1436768E-05
   7100.00  3.9503351E-05
   7100.20  6.2943957E-05
   7100.40  6.2874751E-05
   7100.60  1.0988303E-04
   7100.80  3.9561602E-04
   7101.00  4.0020865E-02
   7101.20  3.0289695E-04
   7101.40  1.0269459E-04
   7101.60  7.0067606E-05
   7101.80  5.0778620E-04
   7102.00  5.5640511E-05
   7102.20  4.7916222E-05
   7102.40  5.1944736E-05
   7102.60  6.6167089E-05
   7102.80  1.2361566E-04
   7103.00  6.5082328E-04
   7103.20  2.3869464E-02
   7103.40  1.4564815E-03
   7103.60  4.4249163E-03
   7103.80  2.4602480E-03
   7104.00  4.3530720E-04
   7104.20  1.2740351E-03
   7104.40  3.4918049E-04
   7104.60  3.2662893E-03
   7104.80  5.5613203E-04
   7105.00  1.0001671E-04
   7105.20  6.9056336E-05
   7105.40  7.6109453E-05
   7105.60  2.5504629E-04
   7105.80  2.9634522E-04
   7106.00  1.9639851E-04
   7106.20  1.6406025E-04
   7106.40  1.2381223E-04
   7106.60  7.7458579E-04
   7106.80  7.2870863E-03
   7107.00  2.2455936E-03
   7107.20  8.2507213E-04
   7107.40  1.9526538E-03
   7107.60  1.8161738E-03
   7107.80  5.2554938E-04
   7108.00  1.3508755E-03
   7108.20  1.3356996E-03
   7108.40  1.2506659E-03
   7108.60  8.5337645E-04
   7108.80  3.4781670E-04
   7109.00  3.3192127E-03
   7109.20  7.1786051E-04
   7109.40  1.1914146E-02
   7109.60  7.9793080E-03
   7109.80  5.3463210E-03
   7110.00  9.5084789E-03
   7110.20  5.1256680E-02
   7110.40  1.2477955E-02
   7110.60  5.0843923E-03
   7110.80  9.3977466E-03
   7111.00  1.2202333E-02
   7111.20  1.3651278E-02
   7111.40  1.9213698E-02
   7111.60  1.6496244E-02
   7111.80  1.9350403E-02
   7112.00  1.3293414E-02
   7112.20  1.5622258E-02
   7112.40  3.2761126E-02
   7112.60  2.1064099E-02
   7112.80  1.6880260E-02
   7113.00  1.6379793E-02
   7113.20  2.4100309E-02
   7113.40  6.5892297E-02
   7113.60  4.9806570E-02
   7113.80  2.6569641E-02
   7114.00  2.6687528E-02
   7114.20  2.4622680E-02
   7114.40  1.6742304E-02
   7114.60  1.1945740E-02
   7114.80  9.5501164E-03
   7115.00  8.0513597E-03
   7115.20  7.3135175E-03
   7115.40  6.9187740E-03
   7115.60  6.8246300E-03
   7115.80  6.9801441E-03
   7116.00  7.1339112E-03
   7116.20  6.7093637E-03
   7116.40  5.7518975E-03
   7116.60  5.1637098E-03
   7116.80  5.1894368E-03
   7117.00  5.6502086E-03
   7117.20  6.3729194E-03
   7117.40  7.1846210E-03
   7117.60  7.8838691E-03
   7117.80  8.3205388E-03
   7118.00  8.5119003E-03
   7118.20  8.6402948E-03
   7118.40  8.9453439E-03
   7118.60  9.6104086E-03
   7118.80  1.0745383E-02
   7119.00  1.2258128E-02
   7119.20  1.3522296E-02
   7119.40  1.3553205E-02
   7119.60  1.2421837E-02
   7119.80  1.1137045E-02
   7120.00  1.0259158E-02
   7120.20  9.8644781E-03
   7120.40  9.8908287E-03
   7120.60  1.0259831E-02
   7120.80  1.0877406E-02
   7121.00  1.1604604E-02
   7121.20  1.2250460E-02
   7121.40  1.2630419E-02
   7121.60  1.2672508E-02
