  7112.000   26  1  1  3.9666388E-02 -3.3963136E+00 -2.1751253E+00  1  1  7.2662649E+03  0.0000000E+00  0.0000000E+00  4.0226054E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.3448031E-05
   7097.20  2.3403327E-05
   7097.40  2.3611007E-05
   7097.60  2.3925791E-05
   7097.80  2.4348393E-05
   7098.00  2.4903507E-05
   7098.20  2.5638311E-05
   7098.40  2.6636333E-05
   7098.60  2.8050605E-05
   7098.80  3.0193239E-05
   7099.00  3.3787288E-05
   7099.20  4.0891361E-05
   7099.40  5.9905896E-05
   7099.60  1.7552713E-04
   7099.80  1.8003579E-03
   7100.00  4.1094097E-03
   7100.20  1.3477948E-04
   7100.40  6.3701403E-05
   7100.60  5.2557325E-05
   7100.80  5.3123450E-05
   7101.00  6.1689291E-05
   7101.20  8.5844786E-05
   7101.40  1.8373519E-04
   7101.60  1.5612117E-02
   7101.80  1.0744597E-03
   7102.00  4.8069810E-02
   7102.20  4.1028019E-04
   7102.40  1.4227550E-04
   7102.60  9.8701263E-05
   7102.80  1.0499733E-04
   7103.00  8.9935144E-04
   7103.20  2.9312477E-04
   7103.40  1.9513021E-02
   7103.60  1.2258558E-02
   7103.80  4.2179312E-04
   7104.00  5.6481560E-03
   7104.20  1.4526627E-03
   7104.40  3.4487099E-03
   7104.60  2.3592717E-04
   7104.80  2.4213017E-04
   7105.00  3.8045286E-03
   7105.20  2.4995425E-02
   7105.40  5.3141919E-04
   7105.60  3.7432109E-03
   7105.80  1.0020746E-01
   7106.00  5.7717784E-03
   7106.20  1.0405206E-01
   7106.40  7.4619745E-04
   7106.60  5.9810022E-04
   7106.80  2.4737952E-03
   7107.00  1.4836639E-03
   7107.20  2.0730994E-03
   7107.40  9.4748841E-03
   7107.60  1.7234358E-02
   7107.80  9.8599314E-03
   7108.00  2.5807412E-03
   7108.20  9.9762737E-03
   7108.40  3.4415598E-02
   7108.60  2.5959993E-03
   7108.80  2.6951720E-03
   7109.00  8.3304954E-02
   7109.20  3.2251754E-02
   7109.40  1.3126449E-02
   7109.60  3.9118898E-02
   7109.80  3.1784910E-02
   7110.00  3.5639821E-02
   7110.20  3.2225045E-02
   7110.40  2.0970481E-02
   7110.60  1.8131868E-02
   7110.80  1.9968733E-02
   7111.00  2.9613366E-02
   7111.20  1.7775266E-02
   7111.40  1.0267028E-02
   7111.60  8.3978780E-03
   7111.80  8.4741994E-03
   7112.00  1.0087196E-02
   7112.20  1.1279549E-02
   7112.40  1.8510364E-02
   7112.60  3.0501917E-02
   7112.80  2.6919195E-02
   7113.00  2.2834584E-02
   7113.20  1.5793646E-02
   7113.40  1.2611995E-02
   7113.60  1.3014832E-02
   7113.80  1.4864223E-02
   7114.00  1.7032301E-02
   7114.20  1.7462808E-02
   7114.40  1.6054303E-02
   7114.60  1.3664584E-02
   7114.80  1.2569429E-02
   7115.00  1.0818991E-02
   7115.20  7.7742480E-03
   7115.40  5.5565015E-03
   7115.60  4.2692811E-03
   7115.80  3.5103034E-03
   7116.00  3.0491695E-03
   7116.20  2.7760387E-03
   7116.40  2.6403641E-03
   7116.60  2.6238606E-03
   7116.80  2.7307212E-03
   7117.00  2.9852506E-03
   7117.20  3.4293397E-03
   7117.40  4.1257021E-03
   7117.60  5.2100472E-03
   7117.80  6.8361068E-03
   7118.00  8.0194334E-03
   7118.20  7.6663212E-03
   7118.40  6.8286291E-03
   7118.60  6.0968864E-03
   7118.80  6.0015024E-03
   7119.00  6.5155262E-03
   7119.20  7.2333775E-03
   7119.40  7.5505306E-03
   7119.60  7.6017371E-03
   7119.80  7.5972684E-03
   7120.00  7.6444499E-03
   7120.20  8.0712986E-03
   7120.40  8.9660295E-03
   7120.60  1.0163588E-02
   7120.80  1.1429581E-02
   7121.00  1.2576677E-02
   7121.20  1.3631253E-02
   7121.40  1.4761081E-02
   7121.60  1.6012180E-02
   7121.80  1.7244988E-02
   7122.00  1.8010920E-02
   7122.20  1.8287454E-02
   7122.40  1.8637002E-02
   7122.60  1.9392854E-02
   7122.80  2.0686338E-02
   7123.00  2.2600018E-02
   7123.20  2.4994445E-02
   7123.40  2.7690163E-02
   7123.60  3.0491190E-02
   7123.80  3.3560538E-02
   7124.00  3.7060498E-02
   7124.20  4.0593606E-02
   7124.40  4.4035352E-02
   7124.60  4.7136838E-02
   7124.80  4.9452372E-02
   7125.00  5.0703127E-02
   7125.20  5.1033018E-02
   7125.40  5.0883283E-02
   7125.60  5.0606967E-02
   7125.80  5.0306963E-02
   7126.00  4.9766800E-02
   7126.20  4.8569703E-02
   7126.40  4.6687651E-02
   7126.60  4.4463553E-02
   7126.80  4.2118771E-02
   7127.00  3.9884601E-02
   7127.20  3.8176904E-02
   7127.40  3.7177378E-02
   7127.60  3.6812712E-02
   7127.80  3.6897443E-02
   7128.00  3.7249390E-02
   7128.20  3.7714015E-02
   7128.40  3.8203346E-02
   7128.60  3.8746322E-02
   7128.80  3.9432465E-02
   7129.00  4.0267547E-02
   7129.20  4.1088514E-02
   7129.40  4.1620347E-02
   7129.60  4.1657790E-02
   7129.80  4.1227301E-02
   7130.00  4.0566905E-02
   7130.20  3.9947569E-02
   7130.40  3.9520393E-02
   7130.60  3.9293887E-02
   7130.80  3.9198181E-02
   7131.00  3.9151361E-02
   7131.20  3.9091755E-02
   7131.40  3.8985941E-02
   7131.60  3.8825042E-02
   7131.80  3.8621280E-02
   7132.00  3.8409064E-02
   7132.20  3.8243591E-02
   7132.40  3.8182023E-02
   7132.60  3.8255615E-02
   7132.80  3.8454891E-02
   7133.00  3.8736442E-02
   7133.20  3.9040381E-02
   7133.40  3.9304822E-02
   7133.60  3.9473796E-02
   7133.80  3.9486334E-02
   7134.00  3.9296157E-02
   7134.20  3.8936471E-02
   7134.40  3.8528311E-02
   7134.60  3.8208048E-02
   7134.80  3.8066065E-02
   7135.00  3.8132214E-02
   7135.20  3.8389746E-02
   7135.40  3.8797438E-02
   7135.60  3.9303681E-02
   7135.80  3.9853322E-02
   7136.00  4.0395231E-02
   7136.20  4.0890571E-02
   7136.40  4.1317104E-02
   7136.60  4.1665853E-02
   7136.80  4.1935299E-02
   7137.00  4.2130174E-02
   7137.20  4.2259838E-02
   7137.40  4.2336913E-02
   7137.60  4.2366953E-02
   7137.80  4.2334051E-02
   7138.00  4.2188337E-02
   7138.20  4.1860799E-02
