  7112.000   26  1  1  1.3611443E-02 -3.5855821E+00 -5.7493846E-01  1  1  7.2650113E+03  0.0000000E+00  0.0000000E+00  4.9165411E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.6248030E-05
   7097.20  2.7783445E-05
   7097.40  3.0256720E-05
   7097.60  3.4544816E-05
   7097.80  4.2977711E-05
   7098.00  6.3908973E-05
   7098.20  1.5689353E-04
   7098.40  2.6749618E-03
   7098.60  3.0642431E-03
   7098.80  8.0557809E-03
   7099.00  1.3067109E-04
   7099.20  5.0678620E-03
   7099.40  7.4478633E-05
   7099.60  8.3268228E-05
   7099.80  5.9357292E-03
   7100.00  5.6196739E-04
   7100.20  7.5523374E-05
   7100.40  6.2487715E-05
   7100.60  4.9895369E-04
   7100.80  6.9753912E-05
   7101.00  1.3783375E-04
   7101.20  1.2095331E-03
   7101.40  5.2880731E-05
   7101.60  6.7343013E-05
   7101.80  1.6413270E-04
   7102.00  1.3746237E-02
   7102.20  4.6275020E-03
   7102.40  6.1273712E-04
   7102.60  9.4814102E-05
   7102.80  9.0613984E-05
   7103.00  5.4323184E-03
   7103.20  1.2391883E-04
   7103.40  2.3346470E-04
   7103.60  5.6808340E-05
   7103.80  5.0869374E-05
   7104.00  5.6444680E-05
   7104.20  7.4192553E-05
   7104.40  1.4991430E-04
   7104.60  2.1573977E-02
   7104.80  3.9761288E-04
   7105.00  1.3379083E-03
   7105.20  2.1894854E-03
   7105.40  7.9869139E-04
   7105.60  3.2226931E-03
   7105.80  5.4040104E-03
   7106.00  2.6675668E-03
   7106.20  5.9843287E-04
   7106.40  4.8563613E-03
   7106.60  3.5273386E-04
   7106.80  1.5646988E-02
   7107.00  6.5633999E-03
   7107.20  1.5968602E-02
   7107.40  2.5539865E-03
   7107.60  3.5105316E-03
   7107.80  1.1423063E-03
   7108.00  5.1767092E-02
   7108.20  1.5226906E-02
   7108.40  2.4659498E-03
   7108.60  8.4872538E-03
   7108.80  3.2574047E-02
   7109.00  1.6870202E-02
   7109.20  1.1114662E-02
   7109.40  1.0354058E-02
   7109.60  1.5673934E-02
   7109.80  1.1307186E-02
   7110.00  1.4546014E-02
   7110.20  2.8601099E-02
   7110.40  1.2661807E-02
   7110.60  1.2161299E-02
   7110.80  1.0467129E-02
   7111.00  1.3580822E-02
   7111.20  2.6299935E-02
   7111.40  4.1256947E-02
   7111.60  3.1592932E-02
   7111.80  1.2194911E-02
   7112.00  7.5044879E-03
   7112.20  6.8857616E-03
   7112.40  8.5112471E-03
   7112.60  1.2720551E-02
   7112.80  1.5230250E-02
   7113.00  1.1382276E-02
   7113.20  6.7549688E-03
   7113.40  3.3527246E-03
   7113.60  1.9914340E-03
   7113.80  1.5641993E-03
   7114.00  1.6073126E-03
   7114.20  2.7159821E-03
   7114.40  3.4593541E-03
   7114.60  1.7757113E-03
   7114.80  1.2136895E-03
   7115.00  1.0193977E-03
   7115.20  9.4779432E-04
   7115.40  9.3677939E-04
   7115.60  9.6958195E-04
   7115.80  1.0454952E-03
   7116.00  1.1720933E-03
   7116.20  1.3598906E-03
   7116.40  1.6131289E-03
   7116.60  1.9184702E-03
   7116.80  2.2509958E-03
   7117.00  2.6029516E-03
   7117.20  2.9877008E-03
   7117.40  3.4174558E-03
   7117.60  3.9440180E-03
   7117.80  4.6706180E-03
   7118.00  5.5437715E-03
   7118.20  6.3381447E-03
   7118.40  6.9817259E-03
   7118.60  7.6547589E-03
   7118.80  8.5343185E-03
   7119.00  9.6701082E-03
   7119.20  1.1018409E-02
   7119.40  1.2434152E-02
   7119.60  1.3641210E-02
   7119.80  1.4264572E-02
   7120.00  1.4085397E-02
   7120.20  1.3245408E-02
   7120.40  1.2137480E-02
   7120.60  1.1123184E-02
   7120.80  1.0396237E-02
   7121.00  1.0022620E-02
   7121.20  1.0021410E-02
   7121.40  1.0419615E-02
   7121.60  1.1268042E-02
   7121.80  1.2655500E-02
   7122.00  1.4574925E-02
   7122.20  1.6788686E-02
   7122.40  1.8942407E-02
   7122.60  2.0556903E-02
   7122.80  2.2057672E-02
   7123.00  2.3740431E-02
   7123.20  2.6544416E-02
   7123.40  3.1253819E-02
   7123.60  3.5144766E-02
   7123.80  3.1914870E-02
   7124.00  2.6726126E-02
   7124.20  2.4091805E-02
   7124.40  2.3167768E-02
   7124.60  2.3099327E-02
   7124.80  2.3512365E-02
   7125.00  2.4291641E-02
   7125.20  2.5427629E-02
   7125.40  2.6816586E-02
   7125.60  2.8260890E-02
   7125.80  2.9793829E-02
   7126.00  3.1488355E-02
   7126.20  3.3021130E-02
   7126.40  3.4095973E-02
   7126.60  3.4674998E-02
   7126.80  3.5043456E-02
   7127.00  3.5607861E-02
   7127.20  3.6491167E-02
   7127.40  3.7607625E-02
   7127.60  3.8879170E-02
   7127.80  4.0370799E-02
   7128.00  4.2229748E-02
   7128.20  4.4523333E-02
   7128.40  4.7154148E-02
   7128.60  4.9972036E-02
   7128.80  5.2949965E-02
   7129.00  5.6063562E-02
   7129.20  5.8850908E-02
   7129.40  6.0472862E-02
   7129.60  6.0500727E-02
   7129.80  5.9331252E-02
   7130.00  5.7692216E-02
   7130.20  5.6122264E-02
   7130.40  5.4872372E-02
   7130.60  5.3969425E-02
   7130.80  5.3289221E-02
   7131.00  5.2672427E-02
   7131.20  5.2023086E-02
   7131.40  5.1333272E-02
   7131.60  5.0662854E-02
   7131.80  5.0082051E-02
   7132.00  4.9627884E-02
   7132.20  4.9331208E-02
   7132.40  4.9256589E-02
   7132.60  4.9485309E-02
   7132.80  5.0056633E-02
   7133.00  5.0904696E-02
   7133.20  5.1827146E-02
   7133.40  5.2541771E-02
   7133.60  5.2885151E-02
   7133.80  5.2936783E-02
   7134.00  5.2611680E-02
   7134.20  5.1626003E-02
   7134.40  5.0058438E-02
   7134.60  4.8218530E-02
   7134.80  4.6350244E-02
   7135.00  4.4576453E-02
   7135.20  4.2939737E-02
   7135.40  4.1465030E-02
   7135.60  4.0159467E-02
   7135.80  3.9027882E-02
   7136.00  3.8072288E-02
   7136.20  3.7290700E-02
   7136.40  3.6676931E-02
   7136.60  3.6219883E-02
   7136.80  3.5903692E-02
   7137.00  3.5708216E-02
   7137.20  3.5609688E-02
   7137.40  3.5582356E-02
   7137.60  3.5600592E-02
   7137.80  3.5641431E-02
   7138.00  3.5681216E-02
   7138.20  3.5720832E-02
   7138.40  3.5750541E-02
   7138.60  3.5774595E-02
   7138.80  3.5803430E-02
   7139.00  3.5851675E-02
   7139.20  3.5935620E-02
   7139.40  3.6070863E-02
   7139.60  3.6269788E-02
   7139.80  3.6539947E-02
   7140.00  3.6883047E-02
   7140.20  3.7294454E-02
   7140.40  3.7763677E-02
   7140.60  3.8274867E-02
   7140.80  3.8808039E-02
   7141.00  3.9341612E-02
