  7112.000   26  1  1  2.0553958E-02 -3.6865524E+00 -1.9370517E+00  1  1  7.2656631E+03  0.0000000E+00  0.0000000E+00  3.3022778E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.1720930E-05
   7097.20  2.3422091E-05
   7097.40  2.9975283E-05
   7097.60  1.5945510E-04
   7097.80  6.2662251E-05
   7098.00  2.7362614E-05
   7098.20  2.3639232E-05
   7098.40  2.2806464E-05
   7098.60  2.2804294E-05
   7098.80  2.3306812E-05
   7099.00  2.4433340E-05
   7099.20  2.6843887E-05
   7099.40  3.3227187E-05
   7099.60  6.3184045E-05
   7099.80  5.7292411E-03
   7100.00  2.2299517E-04
   7100.20  6.9976780E-05
   7100.40  3.4513366E-05
   7100.60  3.1043725E-05
   7100.80  2.7995204E-04
   7101.00  3.1169660E-05
   7101.20  2.9237934E-05
   7101.40  3.1797717E-05
   7101.60  4.2423320E-05
   7101.80  2.3669295E-04
   7102.00  9.6782347E-05
   7102.20  5.4661449E-05
   7102.40  1.0091777E-04
   7102.60  2.1244486E-02
   7102.80  1.1426847E-04
   7103.00  7.3919635E-05
   7103.20  1.8741685E-03
   7103.40  1.5695554E-03
   7103.60  7.6619805E-04
   7103.80  4.0370051E-04
   7104.00  2.1150829E-04
   7104.20  1.1030528E-04
   7104.40  2.6740388E-03
   7104.60  1.3803430E-04
   7104.80  8.8919839E-05
   7105.00  3.7620750E-04
   7105.20  1.8872300E-04
   7105.40  1.6322283E-04
   7105.60  3.9595986E-03
   7105.80  2.2808697E-04
   7106.00  1.8362962E-04
   7106.20  2.6815304E-04
   7106.40  2.1734453E-04
   7106.60  2.4849893E-03
   7106.80  3.2700103E-03
   7107.00  1.5256162E-02
   7107.20  4.0952183E-03
   7107.40  5.0913741E-03
   7107.60  4.3909152E-04
   7107.80  9.0881351E-04
   7108.00  1.4966339E-03
   7108.20  6.5194277E-04
   7108.40  1.5481572E-03
   7108.60  1.0582531E-03
   7108.80  9.7122878E-03
   7109.00  2.5068090E-02
   7109.20  1.9108357E-02
   7109.40  9.7062762E-03
   7109.60  1.4997274E-02
   7109.80  9.8979010E-03
   7110.00  1.8261109E-02
   7110.20  1.8541548E-02
   7110.40  1.0427542E-02
   7110.60  7.8832914E-03
   7110.80  7.3776746E-03
   7111.00  9.4655498E-03
   7111.20  1.5107083E-02
   7111.40  2.1099169E-02
   7111.60  2.5842226E-02
   7111.80  3.8366126E-02
   7112.00  5.2494026E-02
   7112.20  4.8457309E-02
   7112.40  4.7562619E-02
   7112.60  5.2764413E-02
   7112.80  6.2615777E-02
   7113.00  7.2950637E-02
   7113.20  7.3658364E-02
   7113.40  6.2090989E-02
   7113.60  4.8294966E-02
   7113.80  3.5761989E-02
   7114.00  2.6262641E-02
   7114.20  1.9789792E-02
   7114.40  1.4877836E-02
   7114.60  1.2030947E-02
   7114.80  1.0060255E-02
   7115.00  8.6723068E-03
   7115.20  7.6050918E-03
   7115.40  6.9159892E-03
   7115.60  6.4554034E-03
   7115.80  6.2071592E-03
   7116.00  6.1845058E-03
   7116.20  6.4200140E-03
