  7112.000   26  1  1  1.6886435E-02 -1.9822578E+00 -9.2252044E-01  1  1  7.2657826E+03  0.0000000E+00  0.0000000E+00  2.7721496E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.3717449E-05
   7097.20  2.3004409E-05
   7097.40  2.2498741E-05
   7097.60  2.2132728E-05
   7097.80  2.1866578E-05
   7098.00  2.1675650E-05
   7098.20  2.1544857E-05
   7098.40  2.1463918E-05
   7098.60  2.1426170E-05
   7098.80  2.1428171E-05
   7099.00  2.1467672E-05
   7099.20  2.1544033E-05
   7099.40  2.1658789E-05
   7099.60  2.1814187E-05
   7099.80  2.2014858E-05
   7100.00  2.2267833E-05
   7100.20  2.2583331E-05
   7100.40  2.2978174E-05
   7100.60  2.3478115E-05
   7100.80  2.4128660E-05
   7101.00  2.5014822E-05
   7101.20  2.6320365E-05
   7101.40  2.8522155E-05
   7101.60  3.3280414E-05
   7101.80  5.0759064E-05
   7102.00  8.4434319E-04
   7102.20  1.5194552E-04
   7102.40  5.2322705E-05
   7102.60  9.9174252E-05
   7102.80  8.7647141E-05
   7103.00  5.2400827E-05
   7103.20  9.9454609E-05
   7103.40  7.7118706E-04
   7103.60  7.7063009E-05
   7103.80  8.0312962E-05
   7104.00  1.1238617E-04
   7104.20  2.0710864E-04
   7104.40  6.9336853E-04
   7104.60  2.1790929E-01
   7104.80  9.7160654E-04
   7105.00  2.6277896E-04
   7105.20  5.1770115E-04
   7105.40  1.9509011E-04
   7105.60  4.2519994E-04
   7105.80  1.6957555E-03
   7106.00  2.3655535E-03
   7106.20  2.8465677E-03
   7106.40  1.2440960E-03
   7106.60  3.7462410E-04
   7106.80  2.1087441E-02
   7107.00  1.9484518E-04
   7107.20  1.6390495E-04
   7107.40  4.0757168E-04
   7107.60  7.0419258E-03
   7107.80  2.2803741E-03
   7108.00  1.5532581E-03
   7108.20  7.0137871E-04
   7108.40  3.3578584E-03
   7108.60  6.5070825E-02
   7108.80  1.8108001E-03
   7109.00  9.4315466E-03
   7109.20  3.2602044E-03
   7109.40  1.9235066E-03
   7109.60  1.3773197E-02
   7109.80  6.0239794E-04
   7110.00  7.0819919E-03
   7110.20  2.6680636E-04
   7110.40  7.1258546E-05
   7110.60  3.0148513E-03
   7110.80  1.3794001E-02
   7111.00  1.3201870E-03
   7111.20  1.6234182E-03
   7111.40  7.6377376E-03
   7111.60  1.5069145E-03
   7111.80  1.5713966E-03
   7112.00  2.3562752E-03
   7112.20  6.6717678E-03
   7112.40  2.0500094E-02
   7112.60  1.3718323E-02
   7112.80  7.4023121E-03
   7113.00  4.2721074E-03
   7113.20  2.4021601E-03
   7113.40  1.9714437E-03
   7113.60  1.7605251E-03
   7113.80  4.7728921E-03
   7114.00  1.1871165E-02
   7114.20  2.1096080E-03
   7114.40  1.2684583E-03
   7114.60  8.4824248E-04
   7114.80  6.0720163E-04
   7115.00  5.2629435E-04
   7115.20  4.7527496E-04
   7115.40  4.5797156E-04
   7115.60  4.5363664E-04
   7115.80  4.5925559E-04
   7116.00  4.7326039E-04
   7116.20  4.9495153E-04
   7116.40  5.2419555E-04
   7116.60  5.6129975E-04
   7116.80  6.0699783E-04
   7117.00  6.6252069E-04
   7117.20  7.2954665E-04
   7117.40  8.0890713E-04
   7117.60  8.9811151E-04
   7117.80  9.9590433E-04
   7118.00  1.1079776E-03
   7118.20  1.2399851E-03
   7118.40  1.3953325E-03
   7118.60  1.5778008E-03
   7118.80  1.7931411E-03
