  7112.000   26  1  1  2.3722414E-02 -3.3412460E+00 -7.5613166E-01  1  1  7.2654229E+03  0.0000000E+00  0.0000000E+00  4.0349870E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.0047962E-04
   7097.20  2.0617181E-04
   7097.40  9.4289571E-04
   7097.60  9.4825071E-02
   7097.80  5.4294429E-04
   7098.00  1.9515762E-04
   7098.20  1.8194888E-04
   7098.40  9.6171362E-04
   7098.60  6.0345732E-04
   7098.80  3.9057314E-04
   7099.00  8.1850590E-02
   7099.20  5.0659127E-04
   7099.40  3.6360024E-04
   7099.60  9.0709684E-04
   7099.80  1.2181545E-04
   7100.00  8.7931930E-05
   7100.20  1.1129349E-04
   7100.40  4.0403430E-04
   7100.60  1.1768269E-02
   7100.80  2.1049809E-04
   7101.00  3.2366989E-04
   7101.20  7.6659493E-04
   7101.40  9.6552996E-05
   7101.60  5.8534775E-05
   7101.80  4.8459311E-05
   7102.00  4.5002777E-05
   7102.20  4.4434590E-05
   7102.40  4.6003780E-05
   7102.60  5.0453351E-05
   7102.80  6.2438117E-05
   7103.00  1.3236029E-04
   7103.20  6.2265757E-04
   7103.40  2.2024975E-04
   7103.60  1.1472719E-03
   7103.80  5.4306586E-04
   7104.00  1.5686179E-04
   7104.20  5.5734218E-04
   7104.40  6.2328086E-04
   7104.60  4.3639077E-03
   7104.80  2.8717107E-04
   7105.00  7.7451458E-04
   7105.20  2.1185219E-03
   7105.40  1.0026474E-02
   7105.60  6.4912991E-03
   7105.80  4.2769287E-03
   7106.00  6.3034268E-03
   7106.20  8.0502908E-03
   7106.40  8.3622462E-04
   7106.60  1.0926149E-03
   7106.80  1.5761577E-02
   7107.00  1.1065621E-02
   7107.20  2.2367405E-02
   7107.40  1.1619103E-02
   7107.60  8.4520302E-04
   7107.80  7.8404195E-04
   7108.00  4.1832105E-02
   7108.20  9.3887930E-04
   7108.40  1.6229613E-02
   7108.60  1.8062172E-03
   7108.80  9.8805175E-04
   7109.00  5.1155336E-03
   7109.20  3.8677865E-03
   7109.40  8.8027323E-03
   7109.60  9.3977361E-03
   7109.80  1.3275692E-02
   7110.00  1.1926609E-02
   7110.20  3.6329990E-02
   7110.40  5.4037243E-02
   7110.60  3.0723184E-02
   7110.80  9.6374287E-02
   7111.00  5.6570871E-02
   7111.20  1.0487054E-01
   7111.40  2.0416299E-02
   7111.60  1.1410660E-02
   7111.80  1.2937166E-02
   7112.00  2.6988869E-02
   7112.20  2.6758536E-02
   7112.40  2.8403315E-02
   7112.60  2.4092381E-02
   7112.80  1.1314183E-02
   7113.00  1.2588312E-02
   7113.20  6.7492960E-03
   7113.40  3.7927395E-03
   7113.60  2.8146456E-03
   7113.80  2.3186227E-03
   7114.00  2.0073881E-03
   7114.20  1.7999739E-03
   7114.40  1.6391262E-03
   7114.60  1.8234166E-03
   7114.80  3.1575791E-03
   7115.00  6.1798721E-03
   7115.20  2.3395842E-03
   7115.40  1.3602348E-03
   7115.60  1.2311215E-03
   7115.80  1.4795077E-03
   7116.00  2.2217901E-03
   7116.20  2.7615699E-03
   7116.40  2.0357564E-03
   7116.60  1.3645948E-03
   7116.80  1.0277740E-03
   7117.00  8.6446296E-04
   7117.20  7.8559196E-04
