  7112.000   26  1  1  1.1303782E-02 -1.9311813E+00 -2.2476523E+00  1  1  7.2660754E+03  0.0000000E+00  0.0000000E+00  1.2652071E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2209641E-05
   7097.20  2.2463700E-05
   7097.40  2.2751772E-05
   7097.60  2.3080051E-05
   7097.80  2.3454421E-05
   7098.00  2.3882580E-05
   7098.20  2.4374194E-05
   7098.40  2.4940799E-05
   7098.60  2.5597529E-05
   7098.80  2.6364152E-05
   7099.00  2.7266666E-05
   7099.20  2.8340047E-05
   7099.40  2.9632345E-05
   7099.60  3.1211482E-05
   7099.80  3.3176307E-05
   7100.00  3.5677170E-05
   7100.20  3.8957019E-05
   7100.40  4.3438802E-05
   7100.60  4.9957125E-05
   7100.80  6.0565932E-05
   7101.00  8.3350962E-05
   7101.20  2.5079586E-04
   7101.40  2.6159514E-04
   7101.60  2.4461277E-04
   7101.80  9.5274742E-04
   7102.00  3.4860543E-03
   7102.20  1.1806537E-03
   7102.40  5.9013290E-02
   7102.60  1.6953544E-03
   7102.80  4.3078190E-04
   7103.00  2.4968975E-04
   7103.20  2.5031971E-04
   7103.40  6.5430854E-04
   7103.60  5.0982105E-03
   7103.80  1.8720682E-03
   7104.00  2.2584663E-03
   7104.20  3.1223415E-04
   7104.40  1.7222725E-04
   7104.60  1.5301838E-04
   7104.80  1.9915885E-04
   7105.00  4.8229214E-04
   7105.20  2.7761871E-02
   7105.40  8.6083881E-04
   7105.60  1.9814673E-03
   7105.80  4.8494601E-03
   7106.00  3.5542059E-04
   7106.20  1.5721224E-04
   7106.40  1.0699411E-04
   7106.60  8.8793287E-05
   7106.80  8.4548689E-05
   7107.00  1.0942988E-04
   7107.20  1.9904949E-04
   7107.40  1.5427251E-04
   7107.60  7.5658915E-04
   7107.80  2.1992566E-04
   7108.00  2.3685005E-04
   7108.20  6.4192901E-04
   7108.40  5.5756328E-02
   7108.60  1.4000924E-03
   7108.80  8.6728464E-04
   7109.00  3.2395788E-03
   7109.20  2.3009469E-03
   7109.40  9.0824489E-04
   7109.60  6.1830878E-04
   7109.80  3.6179134E-04
   7110.00  1.9275994E-03
   7110.20  3.1160366E-03
   7110.40  3.9240368E-04
   7110.60  5.6914951E-02
   7110.80  1.6758735E-02
   7111.00  3.4631091E-02
   7111.20  4.7743571E-02
   7111.40  2.0113907E-02
   7111.60  8.4956546E-03
   7111.80  9.8568478E-03
   7112.00  1.7571460E-02
   7112.20  8.0740038E-03
   7112.40  1.4414500E-02
   7112.60  1.9242373E-02
   7112.80  5.3543256E-02
   7113.00  6.8113113E-02
   7113.20  4.9183721E-02
   7113.40  4.7558031E-02
   7113.60  5.4832193E-02
   7113.80  6.7246920E-02
   7114.00  5.0278348E-02
   7114.20  3.1760945E-02
   7114.40  2.1980792E-02
