  7112.000   26  1  1  9.2014354E-03 -2.5347058E+00 -2.0223871E+00  1  1  7.2658977E+03  0.0000000E+00  0.0000000E+00  1.9558794E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0035006E-05
   7097.20  2.0177280E-05
   7097.40  2.0360525E-05
   7097.60  2.0596304E-05
   7097.80  2.0902237E-05
   7098.00  2.1306012E-05
   7098.20  2.1853024E-05
   7098.40  2.2622129E-05
   7098.60  2.3761579E-05
   7098.80  2.5580239E-05
   7099.00  2.8822200E-05
   7099.20  3.5721859E-05
   7099.40  5.6033014E-05
   7099.60  1.9024988E-04
   7099.80  2.6423490E-03
   7100.00  1.0854917E-04
   7100.20  7.4001867E-05
   7100.40  1.7748105E-04
   7100.60  4.2498658E-03
   7100.80  1.0616688E-04
   7101.00  4.8973141E-05
   7101.20  3.7484933E-05
   7101.40  3.5092878E-05
   7101.60  3.8471241E-05
   7101.80  5.7562999E-05
   7102.00  3.5465293E-04
   7102.20  2.2916058E-04
   7102.40  1.6918949E-04
   7102.60  5.7123765E-05
   7102.80  1.5025008E-04
   7103.00  2.8207917E-04
   7103.20  5.4034031E-05
   7103.40  4.8472944E-05
   7103.60  1.5856247E-04
   7103.80  3.1216802E-03
   7104.00  5.3880775E-05
   7104.20  6.0528491E-05
   7104.40  2.1300792E-03
   7104.60  8.2281914E-05
   7104.80  6.5428595E-05
   7105.00  5.1381067E-05
   7105.20  7.6569018E-05
   7105.40  4.5151054E-03
   7105.60  1.3997851E-03
   7105.80  9.4928019E-05
   7106.00  6.7060182E-05
   7106.20  1.8096145E-04
   7106.40  8.8602831E-05
   7106.60  1.0614003E-03
   7106.80  1.4170814E-03
   7107.00  4.6947887E-04
   7107.20  1.6778483E-03
   7107.40  3.3041458E-02
   7107.60  4.5944810E-04
   7107.80  2.0643480E-04
   7108.00  2.2421512E-04
   7108.20  1.1743791E-03
   7108.40  6.6120352E-04
   7108.60  1.0086724E-03
   7108.80  1.1019011E-03
   7109.00  1.3861890E-02
   7109.20  1.6358247E-03
   7109.40  3.7400059E-03
   7109.60  3.9601107E-02
   7109.80  2.7861255E-02
   7110.00  3.2051082E-02
   7110.20  1.8329719E-02
   7110.40  1.2644706E-02
   7110.60  1.0547319E-02
   7110.80  1.0037390E-02
   7111.00  5.1276502E-03
   7111.20  6.3971798E-03
   7111.40  1.1125329E-02
   7111.60  1.4047794E-02
   7111.80  6.4922840E-03
   7112.00  6.4453001E-03
   7112.20  1.5592148E-02
   7112.40  4.1676286E-02
   7112.60  2.6518099E-02
   7112.80  2.0167084E-02
   7113.00  2.4719520E-02
   7113.20  3.3772450E-02
   7113.40  4.1757979E-02
   7113.60  6.2993200E-02
   7113.80  9.1729914E-02
   7114.00  7.2619533E-02
   7114.20  3.9865286E-02
