  7112.000   26  1  1  2.0033406E-02 -3.1145190E+00 -1.9191905E+00  1  1  7.2659049E+03  0.0000000E+00  0.0000000E+00  3.0652616E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0835217E-05
   7097.20  2.1113710E-05
   7097.40  2.1482357E-05
   7097.60  2.1981432E-05
   7097.80  2.2681304E-05
   7098.00  2.3713748E-05
   7098.20  2.5355925E-05
   7098.40  2.8286929E-05
   7098.60  3.4643785E-05
   7098.80  5.5216381E-05
   7099.00  3.2037029E-04
   7099.20  2.3468030E-04
   7099.40  6.2364583E-04
   7099.60  2.9505848E-04
   7099.80  6.5129217E-05
   7100.00  4.1678219E-05
   7100.20  3.6428917E-05
   7100.40  3.9781801E-05
   7100.60  3.1802574E-04
   7100.80  6.0338964E-05
   7101.00  1.8741778E-04
   7101.20  2.0144090E-03
   7101.40  9.4785060E-05
   7101.60  5.3490041E-05
   7101.80  6.0328050E-05
   7102.00  1.2490467E-04
   7102.20  8.8353096E-05
   7102.40  1.1961536E-03
   7102.60  1.2818281E-03
   7102.80  1.8713235E-04
   7103.00  2.6164706E-03
   7103.20  1.0457413E-04
   7103.40  3.5288654E-04
   7103.60  1.0521817E-04
   7103.80  2.9204698E-04
   7104.00  1.3385948E-03
   7104.20  2.0479360E-03
   7104.40  2.9374176E-04
   7104.60  9.7832311E-04
   7104.80  1.0959126E-04
   7105.00  8.1753567E-05
   7105.20  9.8955251E-05
   7105.40  4.8984324E-04
   7105.60  2.8463330E-03
   7105.80  3.5041695E-03
   7106.00  5.7219332E-04
   7106.20  3.7837133E-03
   7106.40  5.3117372E-04
   7106.60  2.0593388E-02
   7106.80  1.7634131E-03
   7107.00  2.3123815E-02
   7107.20  1.7980125E-03
   7107.40  3.2192172E-04
   7107.60  4.0666657E-03
   7107.80  3.6623185E-04
   7108.00  4.4935966E-04
   7108.20  5.4965388E-03
   7108.40  1.8079556E-02
   7108.60  1.6479566E-02
   7108.80  1.5139609E-03
   7109.00  1.8249204E-02
   7109.20  2.9872808E-03
   7109.40  9.7778289E-03
   7109.60  1.9201177E-02
   7109.80  1.3164934E-02
   7110.00  1.2875552E-02
   7110.20  8.1461137E-03
   7110.40  1.3191430E-02
   7110.60  7.6146715E-03
   7110.80  1.0852730E-02
   7111.00  2.0022726E-02
   7111.20  1.3534579E-02
   7111.40  1.0993406E-02
   7111.60  1.3613796E-02
   7111.80  2.0440359E-02
   7112.00  2.0783342E-02
   7112.20  2.5138995E-02
   7112.40  2.9873675E-02
   7112.60  2.3425328E-02
   7112.80  2.9650120E-02
   7113.00  5.6219061E-02
   7113.20  3.9257652E-02
   7113.40  2.3600968E-02
   7113.60  1.6318523E-02
   7113.80  1.0112142E-02
   7114.00  7.0474397E-03
   7114.20  5.6334138E-03
   7114.40  4.9403233E-03
   7114.60  4.6393968E-03
   7114.80  4.6318270E-03
   7115.00  5.0172601E-03
   7115.20  5.9180791E-03
   7115.40  7.9556868E-03
   7115.60  1.2821074E-02
   7115.80  2.4319617E-02
   7116.00  2.9694133E-02
   7116.20  2.3274657E-02
   7116.40  2.5800943E-02
   7116.60  3.6643299E-02
   7116.80  3.8465450E-02
   7117.00  2.8611070E-02
   7117.20  2.1204383E-02
   7117.40  1.7361217E-02
   7117.60  1.5469357E-02
   7117.80  1.4608704E-02
   7118.00  1.4377209E-02
   7118.20  1.4304793E-02
   7118.40  1.3958501E-02
   7118.60  1.3637189E-02
   7118.80  1.3881957E-02
   7119.00  1.4188901E-02
   7119.20  1.4465744E-02
   7119.40  1.4792635E-02
   7119.60  1.4968695E-02
   7119.80  1.5097339E-02
   7120.00  1.5469886E-02
   7120.20  1.5029205E-02
   7120.40  1.3198851E-02
   7120.60  1.1568155E-02
   7120.80  1.0422510E-02
   7121.00  9.6874406E-03
   7121.20  9.3293855E-03
   7121.40  9.2709752E-03
   7121.60  9.3432305E-03
   7121.80  9.3814704E-03
   7122.00  9.4585064E-03
   7122.20  9.6824455E-03
   7122.40  1.0132400E-02
   7122.60  1.0810496E-02
   7122.80  1.1690129E-02
   7123.00  1.2701201E-02
   7123.20  1.3758695E-02
   7123.40  1.4786246E-02
   7123.60  1.5690646E-02
   7123.80  1.6370205E-02
   7124.00  1.6928150E-02
   7124.20  1.7662347E-02
   7124.40  1.8630445E-02
   7124.60  1.9671446E-02
   7124.80  2.0625531E-02
   7125.00  2.1381640E-02
   7125.20  2.1923421E-02
   7125.40  2.2351678E-02
   7125.60  2.2718547E-02
   7125.80  2.3070279E-02
   7126.00  2.3466122E-02
   7126.20  2.3900462E-02
   7126.40  2.4288040E-02
   7126.60  2.4471191E-02
   7126.80  2.4447784E-02
   7127.00  2.4270729E-02
   7127.20  2.4157822E-02
   7127.40  2.4244296E-02
   7127.60  2.4515397E-02
   7127.80  2.4856232E-02
   7128.00  2.5097847E-02
   7128.20  2.5321149E-02
   7128.40  2.5704708E-02
   7128.60  2.6414298E-02
   7128.80  2.7520728E-02
   7129.00  2.9019455E-02
   7129.20  3.0847019E-02
   7129.40  3.2944212E-02
   7129.60  3.5070326E-02
   7129.80  3.6884728E-02
   7130.00  3.8017843E-02
   7130.20  3.8287513E-02
   7130.40  3.7828400E-02
   7130.60  3.6972264E-02
   7130.80  3.6045255E-02
   7131.00  3.5271068E-02
   7131.20  3.4771345E-02
   7131.40  3.4596257E-02
   7131.60  3.4751808E-02
   7131.80  3.5216124E-02
   7132.00  3.5945851E-02
   7132.20  3.6876511E-02
   7132.40  3.7922492E-02
   7132.60  3.8982648E-02
   7132.80  3.9955641E-02
   7133.00  4.0764994E-02
   7133.20  4.1385649E-02
   7133.40  4.1855884E-02
   7133.60  4.2270609E-02
   7133.80  4.2756802E-02
   7134.00  4.3416761E-02
   7134.20  4.4238697E-02
   7134.40  4.5060097E-02
   7134.60  4.5657273E-02
   7134.80  4.5879186E-02
   7135.00  4.5701158E-02
   7135.20  4.5200055E-02
   7135.40  4.4503218E-02
   7135.60  4.3738743E-02
   7135.80  4.3031024E-02
   7136.00  4.2378534E-02
   7136.20  4.1819196E-02
   7136.40  4.1339880E-02
   7136.60  4.0915069E-02
   7136.80  4.0519021E-02
   7137.00  4.0134512E-02
   7137.20  3.9757064E-02
   7137.40  3.9394761E-02
   7137.60  3.9063679E-02
   7137.80  3.8781208E-02
   7138.00  3.8560445E-02
   7138.20  3.8406822E-02
   7138.40  3.8317325E-02
   7138.60  3.8282733E-02
   7138.80  3.8291150E-02
   7139.00  3.8331436E-02
   7139.20  3.8395187E-02
   7139.40  3.8476110E-02
   7139.60  3.8569283E-02
   7139.80  3.8670145E-02
   7140.00  3.8785431E-02
   7140.20  3.8901099E-02
   7140.40  3.9012538E-02
   7140.60  3.9119389E-02
   7140.80  3.9224325E-02
   7141.00  3.9332641E-02
   7141.20  3.9450848E-02
   7141.40  3.9585035E-02
   7141.60  3.9739305E-02
   7141.80  3.9914758E-02
   7142.00  4.0109171E-02
   7142.20  4.0317504E-02
   7142.40  4.0532086E-02
   7142.60  4.0743844E-02
   7142.80  4.0943268E-02
   7143.00  4.1120859E-02
   7143.20  4.1268119E-02
   7143.40  4.1377994E-02
   7143.60  4.1445023E-02
   7143.80  4.1465400E-02
   7144.00  4.1436950E-02
   7144.20  4.1359250E-02
   7144.40  4.1233407E-02
   7144.60  4.1062282E-02
   7144.80  4.0850637E-02
   7145.00  4.0604947E-02
   7145.20  4.0333084E-02
   7145.40  4.0043877E-02
   7145.60  3.9746607E-02
   7145.80  3.9450264E-02
   7146.00  3.9163104E-02
   7146.20  3.8892258E-02
   7146.40  3.8643360E-02
   7146.60  3.8420493E-02
   7146.80  3.8226859E-02
   7147.00  3.8061985E-02
   7147.20  3.7930610E-02
   7147.40  3.7823433E-02
   7147.60  3.7738597E-02
   7147.80  3.7679287E-02
   7148.00  3.7639044E-02
   7148.20  3.7615972E-02
   7148.40  3.7608330E-02
   7148.60  3.7614767E-02
   7148.80  3.7633787E-02
   7149.00  3.7664109E-02
   7149.20  3.7704683E-02
   7149.40  3.7754518E-02
   7149.60  3.7815649E-02
   7149.80  3.7880206E-02
   7150.00  3.7950581E-02
   7150.20  3.8025762E-02
   7150.40  3.8104454E-02
   7150.60  3.8185300E-02
   7150.80  3.8266958E-02
   7151.00  3.8348383E-02
   7151.20  3.8428230E-02
   7151.40  3.8505230E-02
   7151.60  3.8578422E-02
   7151.80  3.8647211E-02
   7152.00  3.8711091E-02
   7152.20  3.8769859E-02
   7152.40  3.8823479E-02
   7152.60  3.8872401E-02
   7152.80  3.8917272E-02
   7153.00  3.8958994E-02
   7153.20  3.8998799E-02
   7153.40  3.9037734E-02
   7153.60  3.9076807E-02
   7153.80  3.9117016E-02
   7154.00  3.9159242E-02
   7154.20  3.9204206E-02
   7154.40  3.9252466E-02
   7154.60  3.9304459E-02
   7154.80  3.9359856E-02
   7155.00  3.9418385E-02
   7155.20  3.9480130E-02
   7155.40  3.9544465E-02
   7155.60  3.9610238E-02
   7155.80  3.9676566E-02
   7156.00  3.9742710E-02
   7156.20  3.9807602E-02
   7156.40  3.9870231E-02
   7156.60  3.9929510E-02
   7156.80  3.9984243E-02
   7157.00  4.0033063E-02
   7157.20  4.0074388E-02
   7157.40  4.0106381E-02
   7157.60  4.0127158E-02
   7157.80  4.0134286E-02
   7158.00  4.0125041E-02
   7158.20  4.0096721E-02
   7158.40  4.0046547E-02
   7158.60  3.9971804E-02
   7158.80  3.9870124E-02
   7159.00  3.9739583E-02
   7159.20  3.9579572E-02
   7159.40  3.9388013E-02
   7159.60  3.9162384E-02
   7159.80  3.8909255E-02
   7160.00  3.8630481E-02
   7160.20  3.8326352E-02
   7160.40  3.7999830E-02
   7160.60  3.7654273E-02
   7160.80  3.7293185E-02
   7161.00  3.6919959E-02
   7161.20  3.6537000E-02
   7161.40  3.6145554E-02
   7161.60  3.5756667E-02
   7161.80  3.5365699E-02
   7162.00  3.4975271E-02
   7162.20  3.4587142E-02
   7162.40  3.4202474E-02
   7162.60  3.3822319E-02
   7162.80  3.3448295E-02
   7163.00  3.3080082E-02
   7163.20  3.2718284E-02
   7163.40  3.2359543E-02
   7163.60  3.2012177E-02
   7163.80  3.1674070E-02
   7164.00  3.1344677E-02
   7164.20  3.1024417E-02
   7164.40  3.0713794E-02
   7164.60  3.0413054E-02
   7164.80  3.0122367E-02
   7165.00  2.9842242E-02
   7165.20  2.9571791E-02
   7165.40  2.9310575E-02
   7165.60  2.9058018E-02
   7165.80  2.8813509E-02
   7166.00  2.8581163E-02
   7166.20  2.8350936E-02
   7166.40  2.8127260E-02
   7166.60  2.7908666E-02
   7166.80  2.7691390E-02
   7167.00  2.7480965E-02
   7167.20  2.7273733E-02
   7167.40  2.7069274E-02
   7167.60  2.6867333E-02
   7167.80  2.6668379E-02
   7168.00  2.6471817E-02
   7168.20  2.6277779E-02
   7168.40  2.6086570E-02
   7168.60  2.5898642E-02
   7168.80  2.5714611E-02
   7169.00  2.5535147E-02
   7169.20  2.5361214E-02
   7169.40  2.5193671E-02
   7169.60  2.5033232E-02
   7169.80  2.4880475E-02
   7170.00  2.4736219E-02
   7170.20  2.4601288E-02
   7170.40  2.4476442E-02
   7170.60  2.4362211E-02
   7170.80  2.4259192E-02
   7171.00  2.4167856E-02
