  7112.000   26  1  1  1.0470823E-02 -3.1995048E+00 -3.7224528E-01  1  1  7.2649541E+03  0.0000000E+00  0.0000000E+00  3.2970519E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  7.7918689E-05
   7097.20  5.2485705E-05
   7097.40  4.1658659E-05
   7097.60  3.5945585E-05
   7097.80  3.2595782E-05
   7098.00  3.0549583E-05
   7098.20  2.9350591E-05
   7098.40  2.8834992E-05
   7098.60  2.9089805E-05
   7098.80  3.0707446E-05
   7099.00  3.6367136E-05
   7099.20  6.7855804E-05
   7099.40  1.6167141E-02
   7099.60  1.3872514E-04
   7099.80  3.7563915E-05
   7100.00  3.1778138E-05
   7100.20  3.0632589E-05
   7100.40  3.1413128E-05
   7100.60  3.4645853E-05
   7100.80  4.9034394E-05
   7101.00  6.1073305E-03
   7101.20  7.7493543E-05
   7101.40  5.8437876E-05
   7101.60  1.0163454E-04
   7101.80  1.7441319E-03
   7102.00  3.5363483E-04
   7102.20  5.2696907E-04
   7102.40  2.3275177E-04
   7102.60  1.6174752E-03
   7102.80  1.1027302E-03
   7103.00  5.3112798E-04
   7103.20  7.1496314E-04
   7103.40  8.2275930E-05
   7103.60  6.1283789E-05
   7103.80  5.2859727E-05
   7104.00  6.8486334E-05
   7104.20  5.8875375E-05
   7104.40  7.1557282E-05
   7104.60  4.2718896E-03
   7104.80  1.1984698E-04
   7105.00  3.1384656E-04
   7105.20  4.3744999E-04
   7105.40  1.1928836E-01
   7105.60  7.8219521E-03
   7105.80  6.0468780E-04
   7106.00  1.8238097E-03
   7106.20  1.0388787E-03
   7106.40  1.1619692E-03
   7106.60  4.9474812E-04
   7106.80  1.7399528E-02
   7107.00  4.5214373E-03
   7107.20  5.1432310E-03
   7107.40  5.2834516E-04
   7107.60  1.0148403E-03
   7107.80  9.3055334E-02
   7108.00  8.5009241E-03
   7108.20  3.1175097E-03
   7108.40  6.6055053E-03
   7108.60  5.5209819E-03
   7108.80  1.5244942E-03
   7109.00  7.6407758E-03
   7109.20  1.7318818E-02
   7109.40  8.2748445E-03
   7109.60  2.4872010E-02
   7109.80  1.1046279E-02
   7110.00  1.0860071E-02
   7110.20  1.7153469E-02
   7110.40  1.3133133E-02
   7110.60  8.0619320E-03
   7110.80  4.8938885E-03
   7111.00  8.6916489E-03
   7111.20  1.4564798E-02
   7111.40  1.8374071E-02
   7111.60  2.8785744E-02
   7111.80  1.8897450E-02
   7112.00  1.7212899E-02
   7112.20  3.1167020E-02
   7112.40  2.3114457E-02
   7112.60  2.4934118E-02
   7112.80  1.4402213E-02
   7113.00  8.2179445E-03
   7113.20  7.1212819E-03
   7113.40  7.2108486E-03
   7113.60  6.6417309E-03
   7113.80  5.0422340E-03
   7114.00  3.7611636E-03
   7114.20  3.2504135E-03
   7114.40  3.5104612E-03
   7114.60  4.9528460E-03
   7114.80  9.5143341E-03
   7115.00  2.1728329E-02
   7115.20  1.9071249E-02
   7115.40  1.6738398E-02
   7115.60  1.1919080E-02
   7115.80  9.4612620E-03
   7116.00  9.9532759E-03
   7116.20  1.3458726E-02
   7116.40  1.7428203E-02
   7116.60  1.4073369E-02
   7116.80  8.8447246E-03
   7117.00  5.9160893E-03
   7117.20  4.4631647E-03
   7117.40  3.7555832E-03
   7117.60  3.4713218E-03
   7117.80  3.4548119E-03
   7118.00  3.5461007E-03
   7118.20  3.5131909E-03
   7118.40  3.2637674E-03
   7118.60  2.9479187E-03
   7118.80  2.6804702E-03
   7119.00  2.4836168E-03
   7119.20  2.3491794E-03
   7119.40  2.2628668E-03
   7119.60  2.2176690E-03
   7119.80  2.2110109E-03
   7120.00  2.2405633E-03
   7120.20  2.3038400E-03
   7120.40  2.3984624E-03
   7120.60  2.5222896E-03
   7120.80  2.6731117E-03
   7121.00  2.8478479E-03
   7121.20  3.0415600E-03
   7121.40  3.2476246E-03
   7121.60  3.4613932E-03
   7121.80  3.6877150E-03
   7122.00  3.9568140E-03
   7122.20  4.2767700E-03
   7122.40  4.6968756E-03
   7122.60  5.2506337E-03
   7122.80  5.9821224E-03
   7123.00  6.9555041E-03
   7123.20  8.2488040E-03
   7123.40  9.9333692E-03
   7123.60  1.2093834E-02
   7123.80  1.4350018E-02
   7124.00  1.6153721E-02
   7124.20  1.7029889E-02
   7124.40  1.7164161E-02
   7124.60  1.7232107E-02
   7124.80  1.7681512E-02
   7125.00  1.8643542E-02
   7125.20  2.0139067E-02
   7125.40  2.2184280E-02
   7125.60  2.4802425E-02
   7125.80  2.7742129E-02
   7126.00  3.0308421E-02
   7126.20  3.1697388E-02
   7126.40  3.1712378E-02
   7126.60  3.0886702E-02
   7126.80  2.9764957E-02
   7127.00  2.8623980E-02
   7127.20  2.7561156E-02
   7127.40  2.6641180E-02
   7127.60  2.5951561E-02
   7127.80  2.5568551E-02
   7128.00  2.5456270E-02
   7128.20  2.5660789E-02
   7128.40  2.6018807E-02
   7128.60  2.6418889E-02
   7128.80  2.6780826E-02
   7129.00  2.7065561E-02
   7129.20  2.7267779E-02
   7129.40  2.7406052E-02
   7129.60  2.7519436E-02
   7129.80  2.7665585E-02
   7130.00  2.7910248E-02
   7130.20  2.8310789E-02
   7130.40  2.8893194E-02
   7130.60  2.9628877E-02
   7130.80  3.0450077E-02
   7131.00  3.1329790E-02
   7131.20  3.2342541E-02
   7131.40  3.3596243E-02
   7131.60  3.5127840E-02
   7131.80  3.6879572E-02
   7132.00  3.8733595E-02
   7132.20  4.0557573E-02
   7132.40  4.2250267E-02
   7132.60  4.3775143E-02
   7132.80  4.5160929E-02
   7133.00  4.6474790E-02
   7133.20  4.7784125E-02
   7133.40  4.9130721E-02
   7133.60  5.0521690E-02
   7133.80  5.1933043E-02
   7134.00  5.3335125E-02
   7134.20  5.4753568E-02
   7134.40  5.6348061E-02
   7134.60  5.8402155E-02
