  7112.000   26  1  1  3.7446387E-02 -3.3183058E+00 -1.3448636E+00  1  1  7.2661329E+03  0.0000000E+00  0.0000000E+00  3.6438661E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.9061231E-05
   7097.20  6.4293002E-05
   7097.40  9.5534012E-05
   7097.60  1.7904493E-04
   7097.80  6.1171013E-04
   7098.00  1.2460937E-02
   7098.20  2.8741393E-02
   7098.40  5.2519087E-04
   7098.60  1.8020851E-04
   7098.80  1.0702312E-04
   7099.00  9.4662105E-05
   7099.20  2.1471279E-04
   7099.40  1.7906170E-02
   7099.60  1.1047558E-04
   7099.80  5.4389262E-05
   7100.00  4.2063865E-05
   7100.20  6.1958865E-05
   7100.40  4.4633374E-05
   7100.60  3.5474466E-05
   7100.80  2.2992772E-04
   7101.00  3.4661438E-05
   7101.20  3.6445176E-05
   7101.40  4.5415830E-05
   7101.60  8.5681663E-05
   7101.80  4.3797496E-03
   7102.00  1.1873190E-02
   7102.20  1.1055259E-04
   7102.40  5.3610017E-05
   7102.60  4.7589317E-05
   7102.80  7.3050690E-05
   7103.00  4.1234464E-04
   7103.20  3.3605347E-03
   7103.40  7.9246091E-05
   7103.60  7.0481185E-05
   7103.80  3.1787604E-04
   7104.00  2.1842057E-04
   7104.20  1.7963919E-03
   7104.40  1.6869059E-04
   7104.60  9.7153950E-05
   7104.80  1.4270493E-04
   7105.00  2.0535581E-02
   7105.20  4.5395548E-04
   7105.40  4.4529109E-04
   7105.60  1.0746120E-04
   7105.80  1.0042240E-03
   7106.00  1.5502780E-04
   7106.20  1.3669394E-04
   7106.40  1.1553786E-03
   7106.60  1.5849811E-02
   7106.80  3.5882107E-04
   7107.00  1.8343427E-04
   7107.20  4.2953685E-04
   7107.40  1.5276068E-04
   7107.60  2.5668779E-04
   7107.80  1.1200061E-03
   7108.00  1.2808617E-03
   7108.20  6.0998289E-03
   7108.40  4.8080296E-03
   7108.60  8.0912677E-03
   7108.80  5.6069280E-02
   7109.00  4.6533443E-02
   7109.20  1.1657247E-02
   7109.40  1.3663180E-02
   7109.60  1.8396845E-02
   7109.80  1.3930135E-02
   7110.00  1.3182706E-02
   7110.20  2.0329658E-02
   7110.40  8.9358809E-03
   7110.60  7.4494241E-03
   7110.80  8.7929862E-03
   7111.00  8.8403755E-03
   7111.20  9.2328641E-03
   7111.40  1.6237440E-02
   7111.60  2.2378843E-02
   7111.80  1.6335847E-02
   7112.00  1.3424990E-02
   7112.20  1.4036943E-02
   7112.40  1.6195101E-02
   7112.60  1.7303442E-02
   7112.80  1.7251285E-02
   7113.00  1.7827890E-02
   7113.20  1.8053074E-02
   7113.40  1.9717997E-02
   7113.60  2.5301952E-02
   7113.80  2.7984337E-02
   7114.00  1.9187322E-02
   7114.20  1.1546408E-02
   7114.40  7.7540243E-03
   7114.60  5.8585627E-03
   7114.80  4.6512187E-03
   7115.00  4.1288199E-03
   7115.20  3.8115675E-03
   7115.40  3.6244711E-03
   7115.60  3.5341136E-03
   7115.80  3.5115083E-03
   7116.00  3.5913289E-03
   7116.20  3.7619249E-03
   7116.40  4.0432029E-03
   7116.60  4.4586262E-03
   7116.80  5.0092239E-03
   7117.00  5.6585841E-03
   7117.20  6.3622773E-03
   7117.40  7.0988411E-03
   7117.60  7.8969024E-03
   7117.80  8.8447173E-03
   7118.00  9.9920110E-03
   7118.20  1.1209111E-02
   7118.40  1.2154209E-02
   7118.60  1.2608333E-02
   7118.80  1.2996679E-02
   7119.00  1.3911319E-02
   7119.20  1.3660933E-02
   7119.40  1.1546364E-02
   7119.60  1.0261452E-02
   7119.80  1.0042965E-02
   7120.00  1.0467208E-02
   7120.20  1.1299307E-02
   7120.40  1.2408973E-02
   7120.60  1.3676851E-02
   7120.80  1.4954066E-02
   7121.00  1.6086046E-02
   7121.20  1.6989254E-02
   7121.40  1.7705384E-02
   7121.60  1.8360097E-02
   7121.80  1.9061414E-02
   7122.00  1.9744384E-02
   7122.20  2.0331951E-02
   7122.40  2.0808062E-02
   7122.60  2.1307399E-02
   7122.80  2.2044449E-02
   7123.00  2.3108891E-02
   7123.20  2.4329839E-02
   7123.40  2.5417187E-02
   7123.60  2.6292617E-02
   7123.80  2.6980103E-02
   7124.00  2.7545622E-02
   7124.20  2.8041219E-02
   7124.40  2.8552095E-02
   7124.60  2.9166696E-02
   7124.80  2.9923692E-02
   7125.00  3.0784831E-02
   7125.20  3.1654780E-02
   7125.40  3.2438106E-02
   7125.60  3.3068330E-02
   7125.80  3.3563921E-02
   7126.00  3.3917867E-02
   7126.20  3.4180584E-02
   7126.40  3.4399594E-02
   7126.60  3.4618450E-02
   7126.80  3.4787845E-02
   7127.00  3.4943379E-02
   7127.20  3.5103892E-02
   7127.40  3.5301813E-02
   7127.60  3.5538969E-02
   7127.80  3.5737200E-02
   7128.00  3.5741177E-02
   7128.20  3.5421553E-02
   7128.40  3.4802527E-02
   7128.60  3.4050665E-02
   7128.80  3.3345185E-02
