  7112.000   26  1  1  2.4153702E-02 -3.5811954E+00 -8.1855320E-01  1  1  7.2655784E+03  0.0000000E+00  0.0000000E+00  3.1654673E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  6.0838730E-05
   7097.20  4.4506236E-05
   7097.40  3.9177796E-05
   7097.60  3.7833811E-05
   7097.80  3.9082593E-05
   7098.00  4.3266805E-05
   7098.20  5.2586133E-05
   7098.40  7.4458114E-05
   7098.60  1.4174605E-04
   7098.80  5.8597355E-04
   7099.00  1.2396801E-02
   7099.20  4.5219911E-04
   7099.40  4.2110397E-04
   7099.60  1.1960233E-04
   7099.80  4.6895251E-03
   7100.00  7.1557555E-05
   7100.20  4.6481514E-05
   7100.40  4.1218214E-05
   7100.60  4.0914883E-05
   7100.80  4.4825516E-05
   7101.00  5.7254922E-05
   7101.20  1.0366772E-04
   7101.40  6.6754535E-04
   7101.60  8.0539413E-03
   7101.80  1.4807664E-04
   7102.00  5.9354112E-04
   7102.20  1.6086820E-04
   7102.40  8.6033356E-05
   7102.60  6.6683346E-05
   7102.80  7.1883833E-04
   7103.00  7.6868897E-05
   7103.20  4.8648155E-05
   7103.40  5.1734337E-05
   7103.60  6.8594895E-05
   7103.80  1.1807319E-03
   7104.00  1.2725240E-03
   7104.20  6.0099163E-04
   7104.40  3.6330887E-03
   7104.60  2.3377856E-04
   7104.80  1.0990827E-03
   7105.00  1.4445715E-03
   7105.20  2.3792597E-02
   7105.40  2.5847744E-04
   7105.60  1.0603985E-03
   7105.80  6.7589415E-04
   7106.00  2.8928447E-04
   7106.20  3.1538196E-03
   7106.40  3.6989672E-03
   7106.60  3.3946160E-04
   7106.80  2.4492317E-04
   7107.00  4.8643901E-04
   7107.20  2.1625264E-03
   7107.40  3.7635725E-02
   7107.60  1.2201934E-02
   7107.80  2.2199536E-03
   7108.00  5.8299385E-02
   7108.20  1.7981306E-02
   7108.40  2.3734133E-02
   7108.60  1.6366765E-02
   7108.80  8.1886426E-03
   7109.00  6.2493948E-03
   7109.20  2.5110798E-02
   7109.40  2.2364549E-02
   7109.60  2.7335816E-02
   7109.80  2.7002210E-02
   7110.00  2.6307804E-02
   7110.20  1.4410630E-02
   7110.40  3.4175645E-02
   7110.60  2.9192550E-02
   7110.80  1.0301893E-02
   7111.00  7.0860316E-03
   7111.20  7.1191628E-03
   7111.40  9.9714889E-03
   7111.60  1.0617414E-02
   7111.80  2.4995144E-02
   7112.00  1.4138274E-02
   7112.20  8.2959047E-03
   7112.40  6.8483189E-03
   7112.60  5.3450889E-03
   7112.80  4.0861590E-03
   7113.00  4.8058463E-03
   7113.20  5.6443765E-03
   7113.40  2.1065880E-03
   7113.60  1.4980330E-03
   7113.80  1.3703138E-03
   7114.00  1.4942591E-03
   7114.20  2.0988129E-03
   7114.40  2.8744019E-03
   7114.60  1.3134966E-03
   7114.80  9.9431767E-04
   7115.00  8.7695316E-04
   7115.20  8.3165654E-04
   7115.40  8.2701535E-04
   7115.60  8.5128111E-04
   7115.80  8.9987262E-04
   7116.00  9.6630230E-04
   7116.20  1.0429983E-03
   7116.40  1.1180425E-03
   7116.60  1.1835840E-03
   7116.80  1.2461800E-03
   7117.00  1.3226671E-03
   7117.20  1.4282210E-03
   7117.40  1.5727383E-03
   7117.60  1.7630544E-03
   7117.80  2.0042977E-03
   7118.00  2.2987189E-03
   7118.20  2.6432456E-03
   7118.40  3.0280288E-03
   7118.60  3.4374138E-03
   7118.80  3.8539054E-03
   7119.00  4.2597547E-03
   7119.20  4.6214547E-03
   7119.40  4.8760570E-03
   7119.60  4.9836423E-03
   7119.80  4.9824363E-03
   7120.00  4.9444518E-03
   7120.20  4.9335996E-03
   7120.40  4.9883614E-03
   7120.60  5.1337624E-03
   7120.80  5.3926628E-03
   7121.00  5.7962335E-03
   7121.20  6.3815161E-03
   7121.40  7.1660661E-03
   7121.60  8.1040901E-03
   7121.80  9.0965960E-03
   7122.00  1.0096385E-02
   7122.20  1.1153839E-02
   7122.40  1.2175927E-02
   7122.60  1.3231100E-02
   7122.80  1.3990787E-02
   7123.00  1.4524046E-02
   7123.20  1.4998980E-02
   7123.40  1.6226339E-02
   7123.60  1.8945416E-02
   7123.80  2.2718980E-02
   7124.00  2.5737254E-02
   7124.20  2.7249997E-02
   7124.40  2.8093720E-02
   7124.60  2.8747232E-02
   7124.80  2.8872177E-02
   7125.00  2.7884385E-02
   7125.20  2.6109392E-02
   7125.40  2.4633692E-02
   7125.60  2.4404336E-02
   7125.80  2.5379995E-02
   7126.00  2.6926521E-02
   7126.20  2.8372049E-02
   7126.40  2.9484177E-02
   7126.60  3.0354302E-02
   7126.80  3.1235401E-02
   7127.00  3.2256675E-02
   7127.20  3.3547398E-02
   7127.40  3.5219367E-02
   7127.60  3.7426455E-02
   7127.80  4.0130346E-02
   7128.00  4.3170095E-02
   7128.20  4.6333771E-02
   7128.40  4.9412473E-02
   7128.60  5.2241282E-02
   7128.80  5.4694785E-02
   7129.00  5.6678238E-02
   7129.20  5.8136149E-02
   7129.40  5.9066288E-02
   7129.60  5.9514163E-02
   7129.80  5.9537432E-02
   7130.00  5.9162509E-02
   7130.20  5.8424786E-02
   7130.40  5.7346867E-02
   7130.60  5.6014871E-02
   7130.80  5.4575342E-02
   7131.00  5.3211065E-02
   7131.20  5.2108918E-02
   7131.40  5.1436165E-02
   7131.60  5.1324854E-02
   7131.80  5.1856577E-02
   7132.00  5.3029668E-02
   7132.20  5.4706583E-02
   7132.40  5.6567255E-02
   7132.60  5.8145254E-02
   7132.80  5.9008572E-02
   7133.00  5.8973251E-02
   7133.20  5.8143700E-02
   7133.40  5.6777652E-02
   7133.60  5.5141198E-02
   7133.80  5.3446086E-02
   7134.00  5.1832966E-02
   7134.20  5.0380326E-02
   7134.40  4.9119968E-02
   7134.60  4.8045701E-02
   7134.80  4.7140520E-02
   7135.00  4.6387280E-02
   7135.20  4.5770961E-02
   7135.40  4.5281939E-02
   7135.60  4.4913745E-02
   7135.80  4.4661367E-02
   7136.00  4.4520195E-02
   7136.20  4.4485018E-02
   7136.40  4.4548261E-02
   7136.60  4.4699399E-02
   7136.80  4.4923311E-02
   7137.00  4.5200479E-02
   7137.20  4.5507247E-02
   7137.40  4.5817148E-02
   7137.60  4.6102969E-02
   7137.80  4.6339794E-02
   7138.00  4.6507872E-02
   7138.20  4.6594907E-02
   7138.40  4.6596891E-02
   7138.60  4.6517601E-02
   7138.80  4.6366599E-02
   7139.00  4.6156403E-02
   7139.20  4.5899857E-02
   7139.40  4.5608038E-02
   7139.60  4.5289341E-02
   7139.80  4.4949343E-02
   7140.00  4.4591741E-02
   7140.20  4.4218958E-02
   7140.40  4.3833207E-02
   7140.60  4.3437166E-02
   7140.80  4.3036225E-02
   7141.00  4.2635541E-02
   7141.20  4.2235020E-02
   7141.40  4.1838079E-02
   7141.60  4.1447593E-02
   7141.80  4.1065652E-02
   7142.00  4.0696935E-02
   7142.20  4.0335459E-02
   7142.40  3.9984729E-02
   7142.60  3.9644706E-02
   7142.80  3.9314512E-02
   7143.00  3.8994932E-02
   7143.20  3.8686792E-02
   7143.40  3.8389388E-02
   7143.60  3.8102936E-02
   7143.80  3.7827579E-02
   7144.00  3.7563395E-02
   7144.20  3.7310438E-02
   7144.40  3.7068565E-02
   7144.60  3.6837685E-02
   7144.80  3.6617695E-02
   7145.00  3.6408541E-02
   7145.20  3.6210188E-02
   7145.40  3.6022552E-02
   7145.60  3.5845361E-02
   7145.80  3.5678116E-02
   7146.00  3.5519904E-02
   7146.20  3.5370028E-02
   7146.40  3.5226345E-02
   7146.60  3.5086297E-02
   7146.80  3.4946723E-02
   7147.00  3.4804570E-02
   7147.20  3.4656174E-02
   7147.40  3.4498515E-02
   7147.60  3.4328165E-02
   7147.80  3.4142406E-02
   7148.00  3.3939469E-02
   7148.20  3.3717647E-02
   7148.40  3.3479096E-02
   7148.60  3.3223651E-02
   7148.80  3.2950974E-02
   7149.00  3.2661630E-02
   7149.20  3.2357262E-02
   7149.40  3.2039122E-02
   7149.60  3.1708873E-02
   7149.80  3.1367687E-02
   7150.00  3.1010141E-02
   7150.20  3.0650998E-02
   7150.40  3.0284596E-02
   7150.60  2.9908211E-02
   7150.80  2.9529953E-02
   7151.00  2.9146814E-02
   7151.20  2.8759408E-02
   7151.40  2.8368154E-02
   7151.60  2.7974170E-02
   7151.80  2.7570641E-02
   7152.00  2.7172808E-02
   7152.20  2.6774001E-02
   7152.40  2.6375179E-02
   7152.60  2.5977448E-02
   7152.80  2.5582102E-02
   7153.00  2.5190859E-02
   7153.20  2.4805015E-02
   7153.40  2.4426192E-02
   7153.60  2.4056089E-02
   7153.80  2.3696391E-02
   7154.00  2.3348722E-02
   7154.20  2.3014570E-02
   7154.40  2.2695412E-02
