  7112.000   26  1  1  9.8834522E-03 -3.2072024E+00 -7.4508242E-01  1  1  7.2651550E+03  0.0000000E+00  0.0000000E+00  2.8825314E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2970339E-05
   7097.20  2.7833184E-05
   7097.40  2.4971568E-04
   7097.60  2.9502281E-05
   7097.80  2.2765597E-05
   7098.00  2.1754497E-05
   7098.20  2.1436387E-05
   7098.40  2.1328191E-05
   7098.60  2.1318649E-05
   7098.80  2.1372265E-05
   7099.00  2.1477621E-05
   7099.20  2.1632270E-05
   7099.40  2.1839580E-05
   7099.60  2.2109035E-05
   7099.80  2.2455554E-05
   7100.00  2.2905386E-05
   7100.20  2.3503535E-05
   7100.40  2.4334093E-05
   7100.60  2.5577518E-05
   7100.80  2.7695975E-05
   7101.00  3.2322453E-05
   7101.20  5.0583169E-05
   7101.40  6.8868692E-03
   7101.60  3.0687129E-03
   7101.80  8.9236536E-05
   7102.00  4.7610640E-05
   7102.20  1.5059889E-04
   7102.40  6.9956486E-05
   7102.60  1.5201669E-04
   7102.80  6.5884661E-03
   7103.00  5.0187025E-03
   7103.20  2.1991352E-04
   7103.40  8.1503256E-04
   7103.60  9.5030561E-04
   7103.80  1.7230150E-04
   7104.00  2.8130443E-03
   7104.20  1.6255229E-04
   7104.40  1.5641095E-04
   7104.60  1.5593563E-04
   7104.80  8.9501599E-05
   7105.00  6.7068646E-04
   7105.20  2.0405324E-04
   7105.40  1.4953431E-04
   7105.60  1.4465690E-03
   7105.80  4.3861041E-04
   7106.00  4.2755467E-03
   7106.20  1.0555763E-03
   7106.40  2.3348339E-03
   7106.60  2.0050060E-03
   7106.80  7.5358391E-04
   7107.00  2.8912124E-04
   7107.20  4.4151196E-03
   7107.40  8.5847609E-04
   7107.60  1.5091619E-03
   7107.80  1.4938055E-01
   7108.00  3.6746755E-02
   7108.20  1.1776654E-03
   7108.40  2.3504694E-03
   7108.60  4.2147946E-03
   7108.80  7.1357617E-03
   7109.00  1.6206036E-02
   7109.20  3.7853022E-04
   7109.40  1.5199545E-02
   7109.60  1.0726535E-02
   7109.80  1.0149334E-02
   7110.00  1.9870108E-02
   7110.20  1.7530349E-02
   7110.40  5.1261798E-03
   7110.60  4.2194398E-03
   7110.80  8.0255264E-03
   7111.00  9.5465842E-03
   7111.20  7.4121851E-03
   7111.40  7.0785072E-03
   7111.60  3.5162649E-02
   7111.80  1.7661116E-02
   7112.00  1.1955937E-02
   7112.20  1.2709312E-02
   7112.40  1.7179417E-02
   7112.60  1.9557675E-02
   7112.80  3.4123395E-02
   7113.00  1.8734350E-02
   7113.20  9.5940505E-03
   7113.40  8.1280469E-03
   7113.60  1.1558331E-02
   7113.80  1.9693978E-02
   7114.00  2.4010546E-02
   7114.20  2.4045005E-02
   7114.40  2.3986400E-02
   7114.60  1.4482446E-02
   7114.80  6.8093417E-03
   7115.00  3.8165188E-03
   7115.20  2.6788233E-03
   7115.40  2.1957047E-03
   7115.60  1.9796776E-03
   7115.80  1.8961247E-03
   7116.00  1.8989822E-03
   7116.20  1.9792774E-03
   7116.40  2.1473832E-03
   7116.60  2.4293555E-03
   7116.80  2.8716725E-03
   7117.00  3.5501227E-03
   7117.20  4.5678191E-03
   7117.40  5.9805239E-03
   7117.60  7.5358396E-03
   7117.80  8.5219851E-03
   7118.00  8.5848237E-03
   7118.20  8.2898553E-03
   7118.40  8.4121716E-03
   7118.60  9.1746013E-03
   7118.80  1.0204706E-02
   7119.00  1.1040621E-02
   7119.20  1.1588656E-02
   7119.40  1.2061427E-02
   7119.60  1.2657584E-02
   7119.80  1.3447556E-02
   7120.00  1.4407674E-02
   7120.20  1.5455161E-02
   7120.40  1.6455562E-02
   7120.60  1.7238413E-02
   7120.80  1.7661338E-02
   7121.00  1.7693297E-02
   7121.20  1.7429719E-02
   7121.40  1.7024599E-02
   7121.60  1.6614173E-02
   7121.80  1.6280448E-02
   7122.00  1.6048541E-02
   7122.20  1.5927694E-02
   7122.40  1.5890480E-02
   7122.60  1.5924190E-02
   7122.80  1.6042712E-02
   7123.00  1.6205820E-02
   7123.20  1.6395972E-02
   7123.40  1.6558056E-02
   7123.60  1.6691794E-02
   7123.80  1.6785325E-02
   7124.00  1.6910698E-02
   7124.20  1.7180132E-02
   7124.40  1.7688760E-02
   7124.60  1.8480197E-02
   7124.80  1.9545102E-02
   7125.00  2.0804777E-02
   7125.20  2.2087979E-02
   7125.40  2.3163020E-02
   7125.60  2.3845078E-02
   7125.80  2.4177664E-02
   7126.00  2.4387389E-02
   7126.20  2.4785428E-02
   7126.40  2.5507377E-02
