  7112.000   26  1  1  2.0455319E-02 -2.0080176E+00 -9.3563657E-01  1  1  7.2654933E+03  0.0000000E+00  0.0000000E+00  2.2750826E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  9.6462058E-05
   7097.20  6.2102944E-05
   7097.40  5.5284513E-05
   7097.60  5.8210273E-05
   7097.80  7.1669460E-05
   7098.00  1.0877527E-04
   7098.20  2.3813536E-04
   7098.40  1.4059273E-03
   7098.60  4.4955920E-03
   7098.80  3.3659618E-04
   7099.00  1.2676992E-04
   7099.20  7.3826378E-05
   7099.40  5.2934284E-05
   7099.60  4.2715540E-05
   7099.80  3.7111931E-05
   7100.00  3.3896648E-05
   7100.20  3.2156266E-05
   7100.40  3.1560839E-05
   7100.60  3.2197725E-05
   7100.80  3.4817551E-05
   7101.00  4.2263523E-05
   7101.20  6.8942515E-05
   7101.40  3.2487868E-04
   7101.60  7.7075562E-04
   7101.80  8.4806631E-05
   7102.00  4.6527547E-05
   7102.20  3.7776520E-05
   7102.40  3.6249686E-05
   7102.60  4.0874048E-05
   7102.80  9.6722787E-05
   7103.00  2.6182833E-04
   7103.20  4.8156559E-04
   7103.40  1.5139101E-04
   7103.60  6.4991814E-04
   7103.80  2.1863104E-03
   7104.00  2.6436986E-04
   7104.20  8.7703813E-05
   7104.40  5.4127603E-05
   7104.60  5.5571774E-05
   7104.80  1.6881350E-03
   7105.00  1.2508951E-04
   7105.20  1.7511539E-04
   7105.40  6.3800074E-05
   7105.60  7.3749759E-05
   7105.80  3.1725533E-04
   7106.00  1.2281466E-03
   7106.20  7.0912043E-03
   7106.40  3.0989900E-04
   7106.60  1.2809408E-04
   7106.80  1.3602838E-04
   7107.00  3.5474921E-04
   7107.20  3.8720814E-03
   7107.40  6.0346524E-04
   7107.60  1.5149366E-02
   7107.80  4.9897633E-03
   7108.00  3.5035149E-04
   7108.20  1.5694078E-03
   7108.40  1.5372280E-03
   7108.60  4.8719659E-04
   7108.80  1.1259145E-03
   7109.00  1.0370378E-01
   7109.20  3.5860856E-02
   7109.40  1.5569655E-02
   7109.60  3.4580131E-02
   7109.80  6.2567147E-03
   7110.00  5.9204664E-03
   7110.20  1.5873097E-02
   7110.40  1.6208796E-03
   7110.60  4.1874954E-02
   7110.80  4.6265341E-03
   7111.00  1.1507907E-02
   7111.20  1.5428528E-02
   7111.40  4.0432683E-03
   7111.60  1.2421374E-02
   7111.80  9.3963769E-03
   7112.00  1.2411647E-02
   7112.20  6.9202406E-03
   7112.40  7.3734554E-03
   7112.60  2.0270998E-02
   7112.80  1.4226829E-02
   7113.00  8.1607992E-03
   7113.20  4.3866111E-03
   7113.40  2.9518451E-03
   7113.60  2.4942084E-03
   7113.80  2.5346522E-03
   7114.00  2.8709607E-03
   7114.20  2.9386673E-03
   7114.40  2.4039751E-03
   7114.60  1.8578800E-03
   7114.80  1.5405718E-03
   7115.00  1.3788921E-03
   7115.20  1.3054213E-03
   7115.40  1.2876153E-03
   7115.60  1.3132716E-03
   7115.80  1.3771791E-03
   7116.00  1.4708837E-03
   7116.20  1.6379291E-03
   7116.40  1.8692410E-03
   7116.60  2.1841880E-03
   7116.80  2.5938707E-03
   7117.00  3.1207928E-03
   7117.20  3.7883776E-03
   7117.40  4.6300769E-03
   7117.60  5.6929566E-03
   7117.80  7.0354766E-03
   7118.00  8.7223498E-03
   7118.20  1.0812224E-02
   7118.40  1.3339392E-02
   7118.60  1.6264559E-02
   7118.80  1.9430492E-02
   7119.00  2.2550500E-02
   7119.20  2.5300484E-02
   7119.40  2.7470259E-02
   7119.60  2.9074539E-02
   7119.80  3.0344818E-02
   7120.00  3.1554883E-02
   7120.20  3.2795022E-02
   7120.40  3.3888896E-02
   7120.60  3.4588578E-02
   7120.80  3.4851726E-02
   7121.00  3.4856042E-02
   7121.20  3.4809030E-02
   7121.40  3.4804716E-02
   7121.60  3.4814690E-02
   7121.80  3.4748269E-02
   7122.00  3.4489089E-02
   7122.20  3.3971363E-02
   7122.40  3.3308521E-02
   7122.60  3.2739395E-02
   7122.80  3.2432397E-02
   7123.00  3.2185041E-02
   7123.20  3.1800630E-02
   7123.40  3.1224275E-02
   7123.60  3.0566255E-02
   7123.80  2.9886294E-02
   7124.00  2.9232842E-02
   7124.20  2.8605235E-02
   7124.40  2.7993537E-02
   7124.60  2.7398771E-02
   7124.80  2.6840622E-02
   7125.00  2.6355648E-02
   7125.20  2.6001711E-02
   7125.40  2.5844800E-02
   7125.60  2.5910194E-02
   7125.80  2.6161569E-02
   7126.00  2.6533536E-02
   7126.20  2.6975718E-02
   7126.40  2.7461438E-02
   7126.60  2.8018705E-02
   7126.80  2.8677802E-02
   7127.00  2.9559377E-02
   7127.20  3.0526837E-02
   7127.40  3.1503436E-02
   7127.60  3.2408886E-02
   7127.80  3.3210854E-02
   7128.00  3.3851758E-02
   7128.20  3.4334601E-02
   7128.40  3.4659259E-02
   7128.60  3.4842747E-02
   7128.80  3.4920591E-02
   7129.00  3.4936448E-02
   7129.20  3.4927500E-02
