  7112.000   26  1  1  7.7734892E-03 -2.3727665E+00 -1.9728642E+00  1  1  7.2660380E+03  0.0000000E+00  0.0000000E+00  2.0426137E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9769627E-05
   7097.20  1.9899322E-05
   7097.40  2.0078606E-05
   7097.60  2.0338660E-05
   7097.80  2.0746192E-05
   7098.00  2.1471144E-05
   7098.20  2.3065799E-05
   7098.40  2.8327080E-05
   7098.60  8.7893925E-05
   7098.80  3.2191744E-04
   7099.00  3.2284057E-05
   7099.20  2.4799437E-05
   7099.40  2.3243003E-05
   7099.60  2.2926870E-05
   7099.80  2.3104784E-05
   7100.00  2.3607731E-05
   7100.20  2.4438475E-05
   7100.40  2.5712945E-05
   7100.60  2.7713930E-05
   7100.80  3.1111800E-05
   7101.00  3.7801365E-05
   7101.20  5.5765218E-05
   7101.40  2.3744639E-04
   7101.60  3.3728231E-04
   7101.80  4.8942069E-03
   7102.00  3.0893140E-04
   7102.20  8.4620325E-05
   7102.40  5.2125999E-05
   7102.60  4.3129959E-05
   7102.80  4.1706518E-05
   7103.00  4.5856294E-05
   7103.20  6.0528114E-05
   7103.40  1.2123576E-04
   7103.60  2.0076132E-03
   7103.80  1.1199477E-02
   7104.00  1.5168415E-04
   7104.20  8.1408920E-05
   7104.40  4.9384350E-05
   7104.60  4.3545073E-05
   7104.80  4.2580622E-05
   7105.00  4.5087446E-05
   7105.20  5.3185778E-05
   7105.40  8.0721434E-05
   7105.60  3.7073357E-04
   7105.80  1.5727347E-02
   7106.00  4.7718527E-04
   7106.20  1.3378916E-04
   7106.40  7.2400897E-05
   7106.60  8.8697650E-05
   7106.80  1.0899027E-04
   7107.00  7.7228018E-05
   7107.20  9.0732913E-05
   7107.40  1.2432930E-04
   7107.60  2.2523419E-04
   7107.80  1.3032515E-03
   7108.00  9.7558150E-03
   7108.20  8.8446798E-04
   7108.40  5.4999445E-04
   7108.60  4.5850766E-03
   7108.80  1.0059330E-02
   7109.00  7.8946837E-04
   7109.20  4.7932555E-03
   7109.40  1.9668730E-03
   7109.60  2.7851515E-03
   7109.80  2.0281770E-02
   7110.00  1.0757095E-03
   7110.20  3.8072584E-03
   7110.40  7.5251790E-03
   7110.60  6.1574819E-03
   7110.80  1.0281549E-02
   7111.00  9.7952890E-03
   7111.20  1.4109086E-02
   7111.40  3.9198551E-02
   7111.60  2.6532609E-02
   7111.80  2.0078453E-02
   7112.00  1.5347974E-02
   7112.20  2.1153867E-02
   7112.40  3.0178253E-02
   7112.60  1.7221262E-02
   7112.80  2.6268142E-02
   7113.00  2.5405837E-02
   7113.20  2.0167146E-02
   7113.40  2.3931222E-02
   7113.60  5.3434924E-02
   7113.80  8.8051038E-02
   7114.00  4.7717736E-02
   7114.20  2.9604614E-02
   7114.40  2.3066821E-02
   7114.60  2.0131257E-02
   7114.80  1.8067829E-02
   7115.00  1.5991384E-02
   7115.20  1.4423254E-02
   7115.40  1.4057633E-02
   7115.60  1.5040788E-02
   7115.80  1.6760623E-02
   7116.00  1.6006188E-02
   7116.20  1.2442414E-02
   7116.40  9.0932371E-03
   7116.60  7.0924874E-03
   7116.80  5.9151366E-03
   7117.00  5.1008485E-03
   7117.20  4.4904466E-03
   7117.40  4.0725628E-03
   7117.60  3.8148382E-03
   7117.80  3.6652340E-03
   7118.00  3.5873582E-03
   7118.20  3.5642349E-03
   7118.40  3.5937623E-03
   7118.60  3.6870584E-03
   7118.80  3.8661221E-03
   7119.00  4.1456810E-03
   7119.20  4.4719025E-03
   7119.40  4.6555016E-03
   7119.60  4.5362692E-03
   7119.80  4.2744528E-03
   7120.00  4.1350955E-03
   7120.20  4.1915937E-03
   7120.40  4.4503845E-03
   7120.60  5.0006043E-03
   7120.80  5.6703107E-03
   7121.00  6.1666076E-03
   7121.20  6.1577084E-03
   7121.40  5.8752685E-03
   7121.60  5.7013988E-03
   7121.80  5.5420612E-03
   7122.00  5.4174870E-03
   7122.20  5.3635458E-03
   7122.40  5.3719971E-03
   7122.60  5.4670154E-03
   7122.80  5.6303586E-03
   7123.00  5.8639711E-03
   7123.20  6.1747895E-03
   7123.40  6.5761122E-03
   7123.60  7.0899615E-03
   7123.80  7.7504032E-03
   7124.00  8.6062538E-03
   7124.20  9.7161655E-03
   7124.40  1.1120600E-02
   7124.60  1.2808774E-02
   7124.80  1.4713110E-02
