  7112.000   26  1  1  2.3807053E-02 -2.7004691E+00 -7.7436148E-01  1  1  7.2656428E+03  0.0000000E+00  0.0000000E+00  3.1059966E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.2900982E-04
   7097.20  2.4233373E-04
   7097.40  2.0819423E-03
   7097.60  1.3489803E-03
   7097.80  1.2120344E-02
   7098.00  2.7651751E-04
   7098.20  1.1929123E-04
   7098.40  8.7240677E-05
   7098.60  8.6282796E-05
   7098.80  1.1624960E-04
   7099.00  2.6165508E-04
   7099.20  6.9092648E-03
   7099.40  1.1620731E-03
   7099.60  2.0747843E-04
   7099.80  3.4115423E-04
   7100.00  1.1680011E-04
   7100.20  5.7497173E-05
   7100.40  4.5851364E-05
   7100.60  4.1406155E-05
   7100.80  4.0379305E-05
   7101.00  4.2986837E-05
   7101.20  5.5046700E-05
   7101.40  1.5402186E-04
   7101.60  1.1088334E-03
   7101.80  1.5064015E-03
   7102.00  1.2751145E-04
   7102.20  7.5857260E-05
   7102.40  8.8432766E-04
   7102.60  7.1833294E-05
   7102.80  4.6453709E-05
   7103.00  6.2216005E-05
   7103.20  5.2730418E-05
   7103.40  5.4592612E-05
   7103.60  9.6379432E-05
   7103.80  6.6138756E-04
   7104.00  2.0451864E-04
   7104.20  9.0761295E-05
   7104.40  1.1106015E-04
   7104.60  4.1098344E-04
   7104.80  5.5725112E-03
   7105.00  9.2887785E-04
   7105.20  1.7718108E-04
   7105.40  1.5927017E-04
   7105.60  2.6519967E-04
   7105.80  1.3888174E-03
   7106.00  5.3227925E-02
   7106.20  5.4075770E-04
   7106.40  4.9448404E-04
   7106.60  1.3074293E-02
   7106.80  2.7382731E-04
   7107.00  2.0923587E-04
   7107.20  1.2962903E-03
   7107.40  9.8920936E-04
   7107.60  1.7797927E-03
   7107.80  9.5858748E-03
   7108.00  4.8529822E-02
   7108.20  8.6055928E-03
   7108.40  2.8467925E-03
   7108.60  2.9343269E-02
   7108.80  4.5388697E-02
   7109.00  5.3532493E-03
   7109.20  1.3361313E-03
   7109.40  2.6943299E-03
   7109.60  6.1721642E-03
   7109.80  8.5065125E-03
   7110.00  5.3102467E-02
   7110.20  5.6643093E-02
   7110.40  3.7426412E-02
   7110.60  1.7085239E-02
   7110.80  1.0594510E-02
   7111.00  1.3437956E-02
   7111.20  1.4272137E-02
   7111.40  8.3231029E-03
   7111.60  1.0962890E-02
   7111.80  2.6136134E-02
   7112.00  3.5707487E-02
   7112.20  2.2391192E-02
   7112.40  1.2763303E-02
   7112.60  9.3028795E-03
   7112.80  7.9569086E-03
   7113.00  7.0716572E-03
   7113.20  5.3725881E-03
   7113.40  3.9214554E-03
   7113.60  2.8722217E-03
   7113.80  2.0364334E-03
   7114.00  1.8332910E-03
   7114.20  3.0279361E-03
   7114.40  1.1564259E-02
   7114.60  1.4800486E-02
   7114.80  4.8343901E-03
   7115.00  2.4723837E-03
   7115.20  1.6812968E-03
   7115.40  1.3754600E-03
   7115.60  1.2224176E-03
   7115.80  1.1444763E-03
   7116.00  1.1041219E-03
   7116.20  1.0758926E-03
   7116.40  1.0429132E-03
   7116.60  1.0040980E-03
   7116.80  9.7313587E-04
   7117.00  9.6436219E-04
   7117.20  9.8577276E-04
   7117.40  1.0367661E-03
   7117.60  1.1144006E-03
   7117.80  1.2175546E-03
   7118.00  1.3491356E-03
   7118.20  1.5163805E-03
   7118.40  1.7286697E-03
   7118.60  1.9923357E-03
   7118.80  2.3065928E-03
   7119.00  2.6607791E-03
   7119.20  3.0361721E-03
   7119.40  3.4078064E-03
   7119.60  3.7500205E-03
   7119.80  4.0468504E-03
   7120.00  4.2939466E-03
   7120.20  4.4919368E-03
   7120.40  4.6435582E-03
   7120.60  4.7528589E-03
   7120.80  4.8248934E-03
   7121.00  4.8632137E-03
   7121.20  4.8754206E-03
   7121.40  4.8761822E-03
   7121.60  4.8852947E-03
   7121.80  4.9222893E-03
   7122.00  5.0025374E-03
   7122.20  5.1314637E-03
   7122.40  5.3009825E-03
   7122.60  5.5003262E-03
   7122.80  5.7220903E-03
   7123.00  5.9652982E-03
   7123.20  6.2487166E-03
   7123.40  6.5378187E-03
   7123.60  6.8443978E-03
   7123.80  7.1553521E-03
   7124.00  7.4654248E-03
   7124.20  7.7772005E-03
   7124.40  8.1632359E-03
   7124.60  8.7088334E-03
   7124.80  9.3688119E-03
   7125.00  1.0201153E-02
   7125.20  1.1227048E-02
   7125.40  1.2443725E-02
   7125.60  1.3834350E-02
   7125.80  1.5389293E-02
   7126.00  1.7168022E-02
   7126.20  1.9237918E-02
   7126.40  2.1663436E-02
   7126.60  2.3954923E-02
   7126.80  2.5721875E-02
   7127.00  2.7072814E-02
   7127.20  2.8507021E-02
   7127.40  3.0239604E-02
   7127.60  3.2299347E-02
   7127.80  3.4647280E-02
   7128.00  3.7243285E-02
   7128.20  3.9764705E-02
   7128.40  4.1807492E-02
   7128.60  4.3222539E-02
   7128.80  4.4234704E-02
   7129.00  4.5184021E-02
   7129.20  4.6296730E-02
   7129.40  4.7646264E-02
   7129.60  4.9210397E-02
   7129.80  5.0935848E-02
   7130.00  5.2778178E-02
   7130.20  5.4713862E-02
   7130.40  5.6736095E-02
   7130.60  5.8837899E-02
   7130.80  6.0992860E-02
   7131.00  6.3151673E-02
   7131.20  6.5183331E-02
   7131.40  6.6970203E-02
   7131.60  6.8404259E-02
   7131.80  6.9431778E-02
   7132.00  7.0053078E-02
   7132.20  7.0294403E-02
   7132.40  7.0190714E-02
   7132.60  6.9794308E-02
   7132.80  6.9158231E-02
   7133.00  6.8361703E-02
   7133.20  6.7466796E-02
   7133.40  6.6577360E-02
   7133.60  6.5902701E-02
   7133.80  6.5737760E-02
   7134.00  6.6276398E-02
   7134.20  6.7367183E-02
   7134.40  6.8532498E-02
   7134.60  6.9283249E-02
   7134.80  6.9371691E-02
   7135.00  6.8794693E-02
   7135.20  6.7675767E-02
   7135.40  6.6170408E-02
   7135.60  6.4419806E-02
   7135.80  6.2537088E-02
   7136.00  6.0606539E-02
   7136.20  5.8687780E-02
   7136.40  5.6821286E-02
   7136.60  5.5033334E-02
   7136.80  5.3337975E-02
   7137.00  5.1743582E-02
   7137.20  5.0255541E-02
   7137.40  4.8874251E-02
   7137.60  4.7596767E-02
   7137.80  4.6418770E-02
   7138.00  4.5333904E-02
   7138.20  4.4335530E-02
   7138.40  4.3416265E-02
   7138.60  4.2568369E-02
   7138.80  4.1784792E-02
   7139.00  4.1069902E-02
   7139.20  4.0404455E-02
   7139.40  3.9783145E-02
   7139.60  3.9202065E-02
   7139.80  3.8658161E-02
   7140.00  3.8149383E-02
   7140.20  3.7674655E-02
   7140.40  3.7233357E-02
   7140.60  3.6825135E-02
   7140.80  3.6449705E-02
   7141.00  3.6106957E-02
   7141.20  3.5796381E-02
   7141.40  3.5517131E-02
   7141.60  3.5268011E-02
   7141.80  3.5047521E-02
   7142.00  3.4854184E-02
   7142.20  3.4686502E-02
   7142.40  3.4543080E-02
   7142.60  3.4422732E-02
   7142.80  3.4327190E-02
   7143.00  3.4250716E-02
   7143.20  3.4185892E-02
   7143.40  3.4151813E-02
   7143.60  3.4138381E-02
   7143.80  3.4145164E-02
   7144.00  3.4171528E-02
   7144.20  3.4216552E-02
   7144.40  3.4279051E-02
   7144.60  3.4357275E-02
   7144.80  3.4449122E-02
   7145.00  3.4552021E-02
   7145.20  3.4662957E-02
   7145.40  3.4778478E-02
   7145.60  3.4894712E-02
   7145.80  3.5002726E-02
   7146.00  3.5094398E-02
   7146.20  3.5175940E-02
   7146.40  3.5243873E-02
   7146.60  3.5295148E-02
   7146.80  3.5327367E-02
   7147.00  3.5338982E-02
   7147.20  3.5329481E-02
   7147.40  3.5299292E-02
   7147.60  3.5249742E-02
   7147.80  3.5182835E-02
   7148.00  3.5101054E-02
   7148.20  3.5007107E-02
   7148.40  3.4903747E-02
   7148.60  3.4793685E-02
   7148.80  3.4680329E-02
   7149.00  3.4565219E-02
   7149.20  3.4450120E-02
   7149.40  3.4336417E-02
