  7112.000   26  1  1  1.0749004E-01 -1.3416630E+00 -1.2470962E+00  1  1  7.2658154E+03  0.0000000E+00  0.0000000E+00  2.6185279E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9593966E-04
   7097.20  1.0812857E-04
   7097.40  8.3960292E-05
   7097.60  8.1898408E-05
   7097.80  1.0106921E-04
   7098.00  1.7955610E-04
   7098.20  8.2272102E-04
   7098.40  3.4063380E-03
   7098.60  2.0062054E-03
   7098.80  7.5855918E-04
   7099.00  1.5605957E-04
   7099.20  8.1876762E-05
   7099.40  5.7280557E-05
   7099.60  4.5876408E-05
   7099.80  3.9653063E-05
   7100.00  3.5941010E-05
   7100.20  3.3639355E-05
   7100.40  3.2222367E-05
   7100.60  3.1437159E-05
   7100.80  3.1168639E-05
   7101.00  3.1403716E-05
   7101.20  3.2241217E-05
   7101.40  3.4000585E-05
   7101.60  3.7821188E-05
   7101.80  1.2498793E-04
   7102.00  6.5817294E-05
   7102.20  3.3880365E-04
   7102.40  6.1119130E-03
   7102.60  1.8372749E-03
   7102.80  2.0945468E-04
   7103.00  1.2381317E-02
   7103.20  1.8032928E-04
   7103.40  7.3150936E-05
   7103.60  6.0332375E-05
   7103.80  1.1235481E-04
   7104.00  1.0188658E-04
   7104.20  1.7660404E-03
   7104.40  9.3965700E-05
   7104.60  1.8012014E-03
   7104.80  1.7087216E-04
   7105.00  1.1212640E-03
   7105.20  8.6712665E-04
   7105.40  2.4065144E-04
   7105.60  2.5815042E-03
   7105.80  2.0644728E-04
   7106.00  5.6296041E-04
   7106.20  1.2363623E-02
   7106.40  1.2803536E-03
   7106.60  2.8398139E-04
   7106.80  1.8983393E-04
   7107.00  2.1670079E-04
   7107.20  6.5340781E-04
   7107.40  1.7566952E-03
   7107.60  7.3445403E-04
   7107.80  6.9842713E-03
   7108.00  1.1170608E-03
   7108.20  1.3645323E-02
   7108.40  2.8235154E-03
   7108.60  1.8895814E-02
   7108.80  1.6670426E-03
   7109.00  3.0879016E-03
   7109.20  2.4032907E-02
   7109.40  2.5879934E-02
   7109.60  4.6810174E-02
   7109.80  2.2217451E-02
   7110.00  2.4083466E-03
   7110.20  1.8814143E-02
   7110.40  1.9355078E-02
   7110.60  1.1631585E-01
   7110.80  2.6126419E-02
   7111.00  6.3663491E-03
   7111.20  8.8899091E-02
   7111.40  9.3792913E-03
   7111.60  5.4791954E-03
   7111.80  5.4092891E-03
   7112.00  6.5961676E-03
   7112.20  6.4313492E-03
   7112.40  1.8772141E-02
   7112.60  1.5760796E-02
   7112.80  2.8285198E-02
   7113.00  6.3192224E-03
   7113.20  3.8077395E-03
   7113.40  3.6968209E-03
   7113.60  4.6915120E-03
   7113.80  6.0229396E-03
   7114.00  4.0814542E-03
   7114.20  4.9072732E-03
   7114.40  1.1395970E-02
   7114.60  2.8226390E-03
   7114.80  1.3471251E-03
   7115.00  1.0118762E-03
   7115.20  9.2423501E-04
   7115.40  9.0900146E-04
   7115.60  9.2322296E-04
   7115.80  9.5661403E-04
   7116.00  1.0080140E-03
   7116.20  1.0806173E-03
   7116.40  1.1781324E-03
   7116.60  1.3182249E-03
   7116.80  1.4989084E-03
   7117.00  1.7089715E-03
   7117.20  1.9075746E-03
   7117.40  2.0290676E-03
   7117.60  2.0201622E-03
   7117.80  1.9128476E-03
   7118.00  1.8040640E-03
   7118.20  1.7408049E-03
   7118.40  1.7207640E-03
   7118.60  1.7344658E-03
   7118.80  1.7747135E-03
   7119.00  1.8374959E-03
   7119.20  1.9229048E-03
   7119.40  2.0331836E-03
   7119.60  2.1706019E-03
   7119.80  2.3372080E-03
   7120.00  2.5356954E-03
   7120.20  2.7699699E-03
   7120.40  3.0452301E-03
   7120.60  3.3679158E-03
   7120.80  3.7456240E-03
   7121.00  4.1867515E-03
   7121.20  4.6995992E-03
   7121.40  5.2913369E-03
   7121.60  5.9687460E-03
   7121.80  6.7355042E-03
   7122.00  7.6095293E-03
   7122.20  8.6281397E-03
   7122.40  9.8425988E-03
   7122.60  1.1301412E-02
   7122.80  1.3036930E-02
   7123.00  1.5078277E-02
   7123.20  1.7371578E-02
   7123.40  1.9864909E-02
   7123.60  2.2433957E-02
   7123.80  2.4946248E-02
   7124.00  2.7179158E-02
   7124.20  2.9117629E-02
   7124.40  3.0760693E-02
   7124.60  3.2307705E-02
   7124.80  3.3913753E-02
   7125.00  3.5736006E-02
   7125.20  3.7840894E-02
   7125.40  3.9778672E-02
   7125.60  4.0931817E-02
   7125.80  4.0760721E-02
   7126.00  3.9237805E-02
   7126.20  3.6941302E-02
   7126.40  3.4630635E-02
   7126.60  3.2828197E-02
   7126.80  3.1647925E-02
   7127.00  3.0970051E-02
   7127.20  3.0954105E-02
   7127.40  3.2039567E-02
   7127.60  3.3733412E-02
