  7112.000   26  1  1  3.2990836E-02 -1.2291010E+00 -2.4692760E+00  1  1  7.2664146E+03  0.0000000E+00  0.0000000E+00  1.6484244E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0051870E-05
   7097.20  2.0635591E-05
   7097.40  2.3216569E-05
   7097.60  8.3204084E-04
   7097.80  2.3514528E-05
   7098.00  2.2086222E-05
   7098.20  2.3056922E-05
   7098.40  3.5604303E-05
   7098.60  3.3085111E-05
   7098.80  2.5719708E-05
   7099.00  2.7077197E-05
   7099.20  3.0451751E-05
   7099.40  3.7175623E-05
   7099.60  5.2714053E-05
   7099.80  1.0302998E-04
   7100.00  5.0619470E-04
   7100.20  2.6853729E-03
   7100.40  1.6413357E-04
   7100.60  6.6875171E-05
   7100.80  4.3918274E-05
   7101.00  3.5666661E-05
   7101.20  3.2637338E-05
   7101.40  3.2829991E-05
   7101.60  3.7697864E-05
   7101.80  6.0595855E-05
   7102.00  4.4890620E-04
   7102.20  2.2363530E-04
   7102.40  5.2501661E-05
   7102.60  3.5617932E-05
   7102.80  3.1335183E-05
   7103.00  3.0422119E-05
   7103.20  3.1334539E-05
   7103.40  3.4364156E-05
   7103.60  4.2137185E-05
   7103.80  6.9505842E-05
   7104.00  4.2580770E-04
   7104.20  3.3047226E-04
   7104.40  1.2407494E-04
   7104.60  2.2534108E-03
   7104.80  1.7103375E-04
   7105.00  6.0469003E-05
   7105.20  4.4578123E-05
   7105.40  4.0480082E-05
   7105.60  4.0252071E-05
   7105.80  4.2753553E-05
   7106.00  5.0703911E-05
   7106.20  1.1654504E-04
   7106.40  1.5043870E-04
   7106.60  7.7756774E-05
   7106.80  1.0704289E-04
   7107.00  2.8648697E-04
   7107.20  4.8099877E-03
   7107.40  4.0768963E-03
   7107.60  3.0773601E-02
   7107.80  2.7839291E-04
   7108.00  1.9076272E-04
   7108.20  1.2325182E-03
   7108.40  3.4108129E-04
   7108.60  9.3216067E-03
   7108.80  6.6916290E-02
   7109.00  5.7093204E-04
   7109.20  5.5598459E-03
   7109.40  8.8274408E-03
   7109.60  2.6417211E-03
   7109.80  3.6274626E-03
   7110.00  8.8729787E-04
   7110.20  9.5626680E-02
   7110.40  1.8154311E-02
   7110.60  9.3511769E-03
   7110.80  9.8221867E-03
   7111.00  4.0594219E-03
   7111.20  2.5492607E-04
   7111.40  3.4027188E-03
   7111.60  2.2527285E-03
   7111.80  3.3786336E-02
   7112.00  1.5735596E-03
   7112.20  9.2308256E-03
   7112.40  2.7755378E-02
   7112.60  5.8114098E-02
   7112.80  1.5051187E-02
   7113.00  8.2715506E-03
   7113.20  7.5803819E-03
   7113.40  1.2288165E-02
   7113.60  6.8296486E-02
   7113.80  3.9904965E-02
   7114.00  3.0800096E-02
   7114.20  4.6055642E-02
   7114.40  3.8481493E-02
   7114.60  2.4603679E-02
   7114.80  1.7066201E-02
   7115.00  1.3429519E-02
   7115.20  1.1997164E-02
   7115.40  1.2445063E-02
   7115.60  1.5868893E-02
   7115.80  2.4738305E-02
   7116.00  3.6604860E-02
   7116.20  3.4127197E-02
   7116.40  2.5481815E-02
   7116.60  2.1009876E-02
   7116.80  2.0345325E-02
   7117.00  2.0919615E-02
   7117.20  1.9075037E-02
   7117.40  1.5645635E-02
   7117.60  1.2543207E-02
   7117.80  1.0846448E-02
   7118.00  9.7789182E-03
   7118.20  9.0674810E-03
   7118.40  8.5312960E-03
   7118.60  8.0992182E-03
   7118.80  7.8072513E-03
   7119.00  7.7149558E-03
   7119.20  7.8238885E-03
   7119.40  8.0691802E-03
   7119.60  8.3687693E-03
   7119.80  8.6499382E-03
   7120.00  8.8297531E-03
   7120.20  8.7938220E-03
   7120.40  8.5691617E-03
   7120.60  8.2715619E-03
   7120.80  8.0150320E-03
   7121.00  7.8635432E-03
   7121.20  7.8397727E-03
   7121.40  7.9484448E-03
   7121.60  8.1769417E-03
   7121.80  8.4812285E-03
   7122.00  8.7743448E-03
   7122.20  8.9491625E-03
   7122.40  8.9247518E-03
   7122.60  8.6537199E-03
   7122.80  8.1603639E-03
   7123.00  7.5656584E-03
   7123.20  7.0243360E-03
   7123.40  6.6455381E-03
   7123.60  6.4454386E-03
   7123.80  6.4056830E-03
   7124.00  6.5058513E-03
   7124.20  6.7279631E-03
   7124.40  7.0650256E-03
   7124.60  7.5235387E-03
   7124.80  8.1063534E-03
   7125.00  8.8301583E-03
   7125.20  9.7118712E-03
   7125.40  1.0772062E-02
   7125.60  1.2035955E-02
   7125.80  1.3522798E-02
   7126.00  1.5210677E-02
   7126.20  1.7008770E-02
   7126.40  1.8813186E-02
   7126.60  2.0589540E-02
   7126.80  2.2366901E-02
   7127.00  2.4164305E-02
   7127.20  2.5931030E-02
   7127.40  2.7530717E-02
   7127.60  2.8802338E-02
   7127.80  2.9623020E-02
   7128.00  3.0008960E-02
