  7112.000   26  1  1  1.7020382E-02 -1.5286967E+00 -1.4140294E+00  1  1  7.2653228E+03  0.0000000E+00  0.0000000E+00  2.7288716E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.0902729E-05
   7097.20  3.8083819E-05
   7097.40  5.4850500E-05
   7097.60  1.2011118E-04
   7097.80  5.1647324E-04
   7098.00  3.1559499E-03
   7098.20  1.7566396E-04
   7098.40  6.9058338E-05
   7098.60  4.3743325E-05
   7098.80  3.4090268E-05
   7099.00  2.9521588E-05
   7099.20  2.7127159E-05
   7099.40  2.5863143E-05
   7099.60  2.5307852E-05
   7099.80  2.5310813E-05
   7100.00  2.5897329E-05
   7100.20  2.7303817E-05
   7100.40  3.0211666E-05
   7100.60  3.6671336E-05
   7100.80  5.4949661E-05
   7101.00  1.5406125E-04
   7101.20  4.1685346E-03
   7101.40  4.0305465E-04
   7101.60  7.3138550E-05
   7101.80  4.2230883E-05
   7102.00  3.3305216E-05
   7102.20  3.0061198E-05
   7102.40  6.8588597E-05
   7102.60  2.8685842E-05
   7102.80  2.9224665E-05
   7103.00  3.2232121E-05
   7103.20  4.2197616E-05
   7103.40  1.1476573E-04
   7103.60  9.4911152E-04
   7103.80  8.2428470E-05
   7104.00  5.1837086E-05
   7104.20  1.1575809E-03
   7104.40  5.3989920E-05
   7104.60  1.9926035E-04
   7104.80  7.7578178E-04
   7105.00  2.7527779E-03
   7105.20  7.9574528E-05
   7105.40  6.1092210E-05
   7105.60  4.0670721E-04
   7105.80  5.9242574E-05
   7106.00  5.6561554E-05
   7106.20  6.1581992E-05
   7106.40  8.3731177E-05
   7106.60  1.6664920E-04
   7106.80  1.8560934E-03
   7107.00  1.3782537E-03
   7107.20  8.7250194E-04
   7107.40  9.8257814E-04
   7107.60  6.5164903E-04
   7107.80  5.6048279E-03
   7108.00  1.4095576E-03
   7108.20  1.9908953E-04
   7108.40  1.8447722E-04
   7108.60  6.8351717E-04
   7108.80  5.3250006E-04
   7109.00  1.3165686E-03
   7109.20  3.4557443E-03
   7109.40  4.7857515E-02
   7109.60  1.2033795E-02
   7109.80  1.1920592E-02
   7110.00  7.0898055E-03
   7110.20  1.0032919E-03
   7110.40  4.4137338E-03
   7110.60  1.3852328E-02
   7110.80  1.5527303E-03
   7111.00  3.3038325E-02
   7111.20  1.0209161E-02
   7111.40  5.2165623E-03
   7111.60  1.3722920E-02
   7111.80  2.2438907E-03
   7112.00  4.2078717E-03
   7112.20  1.8465495E-02
   7112.40  7.5414473E-02
   7112.60  1.3922944E-02
   7112.80  6.1535231E-03
   7113.00  3.9970450E-03
   7113.20  4.2054058E-03
   7113.40  6.2694290E-03
   7113.60  1.5639885E-02
   7113.80  7.0272051E-02
   7114.00  3.9673819E-02
   7114.20  5.3993355E-02
   7114.40  1.7086170E-02
   7114.60  7.2466955E-03
   7114.80  5.1032012E-03
   7115.00  4.0391422E-03
   7115.20  3.2290928E-03
   7115.40  2.9033801E-03
   7115.60  3.0738073E-03
   7115.80  3.8751393E-03
   7116.00  6.0407050E-03
   7116.20  1.2567641E-02
   7116.40  2.9852308E-02
   7116.60  2.3579348E-02
   7116.80  1.2746044E-02
   7117.00  1.0525292E-02
   7117.20  1.2169308E-02
   7117.40  1.6595534E-02
   7117.60  2.1995892E-02
   7117.80  2.5167697E-02
   7118.00  2.5547767E-02
   7118.20  2.4140419E-02
   7118.40  2.0902384E-02
   7118.60  1.7523176E-02
   7118.80  1.5226165E-02
   7119.00  1.3866108E-02
   7119.20  1.3162322E-02
   7119.40  1.2161327E-02
   7119.60  9.9894566E-03
   7119.80  8.6338302E-03
   7120.00  8.2068868E-03
   7120.20  8.3592038E-03
   7120.40  8.7530360E-03
   7120.60  8.9647771E-03
   7120.80  8.8164725E-03
   7121.00  8.5016520E-03
   7121.20  8.2321590E-03
   7121.40  8.0775491E-03
   7121.60  8.0568147E-03
   7121.80  8.2581028E-03
   7122.00  8.7532068E-03
   7122.20  9.4998773E-03
   7122.40  1.0383424E-02
   7122.60  1.1146063E-02
   7122.80  1.1488928E-02
   7123.00  1.1472063E-02
   7123.20  1.1325860E-02
   7123.40  1.1321824E-02
   7123.60  1.1472423E-02
   7123.80  1.1891741E-02
   7124.00  1.2520751E-02
   7124.20  1.3131348E-02
   7124.40  1.3609544E-02
   7124.60  1.4040764E-02
   7124.80  1.4579682E-02
   7125.00  1.5339252E-02
   7125.20  1.6357539E-02
   7125.40  1.7621867E-02
   7125.60  1.9086694E-02
   7125.80  2.0598995E-02
   7126.00  2.1903806E-02
   7126.20  2.2885436E-02
   7126.40  2.3672986E-02
   7126.60  2.4434205E-02
   7126.80  2.5222638E-02
   7127.00  2.6021982E-02
   7127.20  2.6806961E-02
   7127.40  2.7526047E-02
