  7112.000   26  1  1  2.4322983E-02 -1.5995670E+00 -9.5946436E-01  1  1  7.2654829E+03  0.0000000E+00  0.0000000E+00  2.6484764E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.3672688E-04
   7097.20  9.9665752E-04
   7097.40  1.4107047E-04
   7097.60  5.8285333E-05
   7097.80  4.2454626E-05
   7098.00  3.6002991E-05
   7098.20  3.2779063E-05
   7098.40  3.1187272E-05
   7098.60  3.0702287E-05
   7098.80  3.1246470E-05
   7099.00  3.3123689E-05
   7099.20  3.7360897E-05
   7099.40  4.7150806E-05
   7099.60  7.5998399E-05
   7099.80  2.7016891E-04
   7100.00  1.2318188E-03
   7100.20  6.5774966E-04
   7100.40  1.0794451E-04
   7100.60  5.6254100E-05
   7100.80  4.1454284E-05
   7101.00  3.5613094E-05
   7101.20  3.3250653E-05
   7101.40  3.2889602E-05
   7101.60  3.4538190E-05
   7101.80  4.0548401E-05
   7102.00  7.6317322E-05
   7102.20  3.6811115E-04
   7102.40  1.1955926E-04
   7102.60  1.2238423E-04
   7102.80  5.4734594E-03
   7103.00  1.4686727E-03
   7103.20  2.7299744E-03
   7103.40  3.1518834E-04
   7103.60  2.2588671E-04
   7103.80  2.0900500E-04
   7104.00  5.9909584E-05
   7104.20  6.2584254E-05
   7104.40  6.3726404E-03
   7104.60  8.1822142E-05
   7104.80  2.9511908E-04
   7105.00  7.4232876E-05
   7105.20  1.0860901E-04
   7105.40  3.3360989E-04
   7105.60  1.5560779E-02
   7105.80  1.8906779E-03
   7106.00  1.9836470E-04
   7106.20  4.5794560E-04
   7106.40  1.9379190E-03
   7106.60  5.7446677E-04
   7106.80  1.9530068E-04
   7107.00  2.9216119E-04
   7107.20  6.6591872E-03
   7107.40  4.8214177E-04
   7107.60  8.3942557E-02
   7107.80  2.2941123E-02
   7108.00  2.5974434E-03
   7108.20  1.4430278E-02
