  7112.000   26  1  1  2.0771196E-02 -1.4304984E+00 -1.8185854E+00  1  1  7.2659428E+03  0.0000000E+00  0.0000000E+00  1.6701039E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  9.9261459E-05
   7097.20  3.0109351E-05
   7097.40  2.3633034E-05
   7097.60  2.1887905E-05
   7097.80  2.1277323E-05
   7098.00  2.1101980E-05
   7098.20  2.1163363E-05
   7098.40  2.1406601E-05
   7098.60  2.1845189E-05
   7098.80  2.2556955E-05
   7099.00  2.3738291E-05
   7099.20  2.5896327E-05
   7099.40  3.0643674E-05
   7099.60  4.5544952E-05
   7099.80  1.6433254E-04
   7100.00  7.4887971E-04
   7100.20  6.3871517E-05
   7100.40  3.7218234E-05
   7100.60  3.1777947E-05
   7100.80  3.0904716E-05
   7101.00  3.2140253E-05
   7101.20  3.5323690E-05
   7101.40  4.1585187E-05
   7101.60  5.4871315E-05
   7101.80  9.2855767E-05
   7102.00  4.1339345E-04
   7102.20  6.6614785E-04
   7102.40  3.5442689E-02
   7102.60  3.8091960E-04
   7102.80  3.1284649E-04
   7103.00  3.3773867E-03
   7103.20  1.6946472E-04
   7103.40  4.3549235E-04
   7103.60  2.1979099E-04
   7103.80  2.9238025E-03
   7104.00  6.9679230E-05
   7104.20  1.6172404E-03
   7104.40  6.5675354E-05
   7104.60  6.1880722E-05
   7104.80  9.3849273E-05
   7105.00  3.3027740E-04
   7105.20  9.6645166E-03
   7105.40  1.8362228E-04
   7105.60  9.5185890E-05
   7105.80  1.2692282E-04
   7106.00  2.6890529E-03
   7106.20  2.0798578E-04
   7106.40  7.8469336E-05
   7106.60  6.3538843E-05
   7106.80  6.6111438E-05
   7107.00  8.3211140E-05
   7107.20  1.4646368E-04
   7107.40  8.8301245E-04
   7107.60  1.4792611E-03
   7107.80  3.2907969E-04
   7108.00  4.0107623E-04
   7108.20  1.0995323E-03
   7108.40  7.2464978E-04
   7108.60  6.2226026E-03
   7108.80  4.4910189E-03
   7109.00  5.3773722E-04
   7109.20  5.5552231E-03
   7109.40  7.8915215E-04
   7109.60  3.1657843E-03
   7109.80  2.3472388E-02
   7110.00  3.2225070E-02
   7110.20  5.2918864E-03
   7110.40  4.4685945E-04
   7110.60  1.3721162E-03
   7110.80  4.2001304E-04
   7111.00  3.5591301E-03
   7111.20  9.3871445E-03
   7111.40  3.8849973E-03
   7111.60  3.4696079E-02
   7111.80  1.9062505E-02
   7112.00  9.3885087E-03
   7112.20  6.1848095E-03
   7112.40  1.0630532E-02
   7112.60  1.8712536E-02
   7112.80  2.5214845E-02
   7113.00  1.9741328E-02
   7113.20  1.6457224E-02
   7113.40  2.3767960E-02
   7113.60  3.0468039E-02
   7113.80  2.2533102E-02
   7114.00  2.4047110E-02
   7114.20  4.0819836E-02
   7114.40  5.8935705E-02
   7114.60  5.3609656E-02
   7114.80  3.7145081E-02
   7115.00  2.4773607E-02
   7115.20  1.8024231E-02
   7115.40  1.4299141E-02
   7115.60  1.2153472E-02
   7115.80  1.0859818E-02
   7116.00  1.0216974E-02
   7116.20  9.9483871E-03
   7116.40  9.8661313E-03
   7116.60  1.0040117E-02
   7116.80  1.1365984E-02
   7117.00  1.4282022E-02
   7117.20  1.4207276E-02
   7117.40  1.0126600E-02
   7117.60  7.6529351E-03
   7117.80  6.3595529E-03
   7118.00  5.7023213E-03
   7118.20  5.3856161E-03
   7118.40  5.2830441E-03
   7118.60  5.3579708E-03
   7118.80  5.6387997E-03
   7119.00  6.1697316E-03
   7119.20  6.5942910E-03
   7119.40  6.6841965E-03
   7119.60  6.9399370E-03
   7119.80  7.2805540E-03
   7120.00  7.5092914E-03
   7120.20  7.5530347E-03
   7120.40  7.4574927E-03
   7120.60  7.2849817E-03
   7120.80  7.0473800E-03
   7121.00  6.7436586E-03
   7121.20  6.4236001E-03
   7121.40  6.1592066E-03
   7121.60  5.9877780E-03
   7121.80  5.9128244E-03
   7122.00  5.9254434E-03
   7122.20  6.0170343E-03
   7122.40  6.1839422E-03
   7122.60  6.4275004E-03
   7122.80  6.7530794E-03
   7123.00  7.1689967E-03
   7123.20  7.6850369E-03
   7123.40  8.3104046E-03
   7123.60  9.0510091E-03
   7123.80  9.9166621E-03
   7124.00  1.0890717E-02
   7124.20  1.1937323E-02
   7124.40  1.3039992E-02
   7124.60  1.4153541E-02
   7124.80  1.5247779E-02
   7125.00  1.6306992E-02
   7125.20  1.7346894E-02
   7125.40  1.8405074E-02
   7125.60  1.9493165E-02
   7125.80  2.0603383E-02
   7126.00  2.1631589E-02
   7126.20  2.2613886E-02
   7126.40  2.3573704E-02
   7126.60  2.4506041E-02
   7126.80  2.5376795E-02
   7127.00  2.6155069E-02
   7127.20  2.6849883E-02
   7127.40  2.7525172E-02
   7127.60  2.8321756E-02
