  7112.000   26  1  1  9.8400600E-03 -2.7349608E+00 -1.8654264E+00  1  1  7.2657809E+03  0.0000000E+00  0.0000000E+00  2.4295104E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2512345E-05
   7097.20  2.1262942E-05
   7097.40  2.0773234E-05
   7097.60  2.0569930E-05
   7097.80  2.0506092E-05
   7098.00  2.0525567E-05
   7098.20  2.0604892E-05
   7098.40  2.0734897E-05
   7098.60  2.0914175E-05
   7098.80  2.1146814E-05
   7099.00  2.1442114E-05
   7099.20  2.1815868E-05
   7099.40  2.2293725E-05
   7099.60  2.2918354E-05
   7099.80  2.3766764E-05
   7100.00  2.5003484E-05
   7100.20  2.7140467E-05
   7100.40  3.4749890E-05
   7100.60  7.1692584E-05
   7100.80  4.0263540E-05
   7101.00  5.3479566E-05
   7101.20  1.0174526E-04
   7101.40  8.3685384E-04
   7101.60  1.9785312E-03
   7101.80  3.9466623E-04
   7102.00  9.6713506E-05
   7102.20  6.7727751E-05
   7102.40  8.3437490E-05
   7102.60  4.8746232E-05
   7102.80  8.3324282E-05
   7103.00  2.5115740E-04
   7103.20  1.0955477E-04
   7103.40  1.5404878E-03
   7103.60  3.2838640E-04
   7103.80  8.4892026E-05
   7104.00  2.2979693E-04
   7104.20  1.8099318E-03
   7104.40  1.1856295E-04
   7104.60  8.8150771E-05
   7104.80  2.4478976E-04
   7105.00  2.7916415E-04
   7105.20  8.4508014E-04
   7105.40  6.5594786E-04
   7105.60  2.1866774E-04
   7105.80  1.4471403E-03
   7106.00  1.4620537E-03
   7106.20  2.1435492E-03
   7106.40  4.0245410E-03
   7106.60  1.6503468E-04
   7106.80  1.9784688E-04
   7107.00  5.1613133E-04
   7107.20  5.2856865E-03
   7107.40  6.4157471E-04
   7107.60  4.4044346E-04
   7107.80  1.6434342E-03
   7108.00  4.1306407E-03
