  7112.000   26  1  1  1.1104477E-02 -3.7073506E+00 -2.3477896E+00  1  1  7.2663188E+03  0.0000000E+00  0.0000000E+00  1.6819410E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0067819E-05
   7097.20  2.0162781E-05
   7097.40  2.0282841E-05
   7097.60  2.0430488E-05
   7097.80  2.0609541E-05
   7098.00  2.0825379E-05
   7098.20  2.1085553E-05
   7098.40  2.1400472E-05
   7098.60  2.1784736E-05
   7098.80  2.2259285E-05
   7099.00  2.2854948E-05
   7099.20  2.3618731E-05
   7099.40  2.4625374E-05
   7099.60  2.5999875E-05
   7099.80  2.7964502E-05
   7100.00  3.0949742E-05
   7100.20  3.5881993E-05
   7100.40  4.5080162E-05
   7100.60  6.5844208E-05
   7100.80  1.3270063E-04
   7101.00  7.0956151E-04
   7101.20  2.6380318E-03
   7101.40  3.3205423E-04
   7101.60  9.9125932E-05
   7101.80  6.0596661E-05
   7102.00  3.0536558E-04
   7102.20  4.3162942E-05
   7102.40  4.1946942E-05
   7102.60  4.4499669E-05
   7102.80  5.1888479E-05
   7103.00  7.0604764E-05
   7103.20  1.3551336E-04
   7103.40  9.3798737E-04
   7103.60  8.0838129E-04
   7103.80  9.5184201E-04
   7104.00  8.4166389E-04
   7104.20  1.6925796E-04
   7104.40  1.7767527E-03
   7104.60  1.4429472E-04
   7104.80  6.3689874E-05
   7105.00  6.4562683E-05
   7105.20  8.9105066E-05
   7105.40  1.6952662E-03
   7105.60  2.9437682E-04
   7105.80  4.1398625E-03
   7106.00  1.9074080E-04
   7106.20  2.0472086E-04
   7106.40  2.5906072E-03
   7106.60  8.0279249E-03
   7106.80  2.3765843E-03
   7107.00  2.0437842E-03
   7107.20  3.5403449E-04
   7107.40  2.6901244E-03
   7107.60  3.4338295E-03
   7107.80  3.2978315E-04
   7108.00  2.0523475E-03
   7108.20  8.7852153E-04
   7108.40  2.1556083E-02
   7108.60  2.0567349E-03
   7108.80  6.3755086E-03
   7109.00  6.2697747E-03
   7109.20  6.3453374E-03
   7109.40  5.9538135E-03
   7109.60  1.0072431E-02
   7109.80  1.3999807E-02
   7110.00  6.3039658E-03
   7110.20  6.4545449E-03
   7110.40  1.0221104E-02
   7110.60  1.4957123E-02
   7110.80  1.1449389E-02
   7111.00  9.1710256E-03
   7111.20  1.0614644E-02
   7111.40  1.7851764E-02
   7111.60  2.9333345E-02
   7111.80  3.3576183E-02
   7112.00  2.6817779E-02
   7112.20  2.1804637E-02
   7112.40  2.3690792E-02
   7112.60  2.6987657E-02
   7112.80  3.9299792E-02
   7113.00  5.6050245E-02
   7113.20  6.1083787E-02
   7113.40  4.9500723E-02
   7113.60  3.6341979E-02
   7113.80  2.7535261E-02
   7114.00  2.2065079E-02
   7114.20  1.8606121E-02
   7114.40  1.6379027E-02
   7114.60  1.4968787E-02
   7114.80  1.4163269E-02
   7115.00  1.3768189E-02
   7115.20  1.3930109E-02
   7115.40  1.4399743E-02
   7115.60  1.4827954E-02
   7115.80  1.5008768E-02
   7116.00  1.5427189E-02
   7116.20  1.6170720E-02
   7116.40  1.5978577E-02
   7116.60  1.3965917E-02
   7116.80  1.1313933E-02
   7117.00  9.2099423E-03
   7117.20  7.8252699E-03
   7117.40  6.9717332E-03
   7117.60  6.4738809E-03
   7117.80  6.2222270E-03
   7118.00  6.1509375E-03
   7118.20  6.2106548E-03
   7118.40  6.3457667E-03
   7118.60  6.4847301E-03
   7118.80  6.5597209E-03
   7119.00  6.5407537E-03
   7119.20  6.4405185E-03
   7119.40  6.2916292E-03
   7119.60  6.1313054E-03
   7119.80  6.0087681E-03
   7120.00  5.9989390E-03
   7120.20  6.1521708E-03
   7120.40  6.2983471E-03
   7120.60  6.2246435E-03
   7120.80  6.0624415E-03
   7121.00  6.0265457E-03
   7121.20  6.1901293E-03
   7121.40  6.5588479E-03
   7121.60  7.0046183E-03
   7121.80  7.2716468E-03
   7122.00  7.2182699E-03
   7122.20  7.0166979E-03
   7122.40  6.9043065E-03
   7122.60  6.9910328E-03
   7122.80  7.3144344E-03
   7123.00  7.9041060E-03
   7123.20  8.7922169E-03
   7123.40  9.9933636E-03
   7123.60  1.1419940E-02
   7123.80  1.2917813E-02
   7124.00  1.4186419E-02
   7124.20  1.5398110E-02
   7124.40  1.6627772E-02
   7124.60  1.7760299E-02
   7124.80  1.8539114E-02
   7125.00  1.8791360E-02
   7125.20  1.8712270E-02
   7125.40  1.8556206E-02
   7125.60  1.8549153E-02
   7125.80  1.9027084E-02
   7126.00  1.9963881E-02
   7126.20  2.0963799E-02
   7126.40  2.1904376E-02
   7126.60  2.2875006E-02
   7126.80  2.3971934E-02
   7127.00  2.5333687E-02
   7127.20  2.6771355E-02
   7127.40  2.7850382E-02
   7127.60  2.8567072E-02
   7127.80  2.9185390E-02
   7128.00  2.9644937E-02
   7128.20  3.0126661E-02
   7128.40  3.0751100E-02
   7128.60  3.1534711E-02
   7128.80  3.2496481E-02
   7129.00  3.3635478E-02
   7129.20  3.4943753E-02
   7129.40  3.6405625E-02
   7129.60  3.7997759E-02
   7129.80  3.9688929E-02
   7130.00  4.1441434E-02
   7130.20  4.3212670E-02
   7130.40  4.4958907E-02
   7130.60  4.6637827E-02
   7130.80  4.8214490E-02
   7131.00  4.9664877E-02
   7131.20  5.0978176E-02
   7131.40  5.2158436E-02
   7131.60  5.3223696E-02
   7131.80  5.4206310E-02
   7132.00  5.5151450E-02
   7132.20  5.6116388E-02
   7132.40  5.7170485E-02
   7132.60  5.8394256E-02
   7132.80  5.9880242E-02
   7133.00  6.1730264E-02
   7133.20  6.4045520E-02
   7133.40  6.6899660E-02
   7133.60  7.0278822E-02
   7133.80  7.3978176E-02
   7134.00  7.7488474E-02
   7134.20  8.0000649E-02
   7134.40  8.0697122E-02
   7134.60  7.9246957E-02
   7134.80  7.6027962E-02
   7135.00  7.1820960E-02
   7135.20  6.7393898E-02
   7135.40  6.3209571E-02
   7135.60  5.9461070E-02
   7135.80  5.6177879E-02
   7136.00  5.3315281E-02
   7136.20  5.0806532E-02
   7136.40  4.8586759E-02
   7136.60  4.6600616E-02
   7136.80  4.4806512E-02
   7137.00  4.3173714E-02
   7137.20  4.1682953E-02
   7137.40  4.0322879E-02
   7137.60  3.9089422E-02
   7137.80  3.7983215E-02
   7138.00  3.7007150E-02
   7138.20  3.6164899E-02
   7138.40  3.5458692E-02
   7138.60  3.4887681E-02
   7138.80  3.4447132E-02
   7139.00  3.4128367E-02
   7139.20  3.3918925E-02
   7139.40  3.3803789E-02
   7139.60  3.3766779E-02
   7139.80  3.3792132E-02
   7140.00  3.3865323E-02
   7140.20  3.3973794E-02
   7140.40  3.4107523E-02
   7140.60  3.4259067E-02
   7140.80  3.4423165E-02
   7141.00  3.4596412E-02
   7141.20  3.4776648E-02
   7141.40  3.4961916E-02
   7141.60  3.5149902E-02
   7141.80  3.5337434E-02
   7142.00  3.5524975E-02
   7142.20  3.5700257E-02
   7142.40  3.5853728E-02
   7142.60  3.5974069E-02
   7142.80  3.6048898E-02
   7143.00  3.6066537E-02
   7143.20  3.6017405E-02
   7143.40  3.5895547E-02
   7143.60  3.5699468E-02
   7143.80  3.5432425E-02
   7144.00  3.5101795E-02
   7144.20  3.4718137E-02
   7144.40  3.4294040E-02
   7144.60  3.3842787E-02
   7144.80  3.3377087E-02
   7145.00  3.2908365E-02
   7145.20  3.2446221E-02
   7145.40  3.1998250E-02
   7145.60  3.1570363E-02
   7145.80  3.1168477E-02
   7146.00  3.0789565E-02
   7146.20  3.0440740E-02
   7146.40  3.0121208E-02
   7146.60  2.9829016E-02
   7146.80  2.9566377E-02
   7147.00  2.9330983E-02
   7147.20  2.9121788E-02
   7147.40  2.8937709E-02
   7147.60  2.8777738E-02
   7147.80  2.8640893E-02
   7148.00  2.8529870E-02
   7148.20  2.8437333E-02
   7148.40  2.8365794E-02
   7148.60  2.8314722E-02
   7148.80  2.8284031E-02
   7149.00  2.8273066E-02
   7149.20  2.8281570E-02
   7149.40  2.8309482E-02
   7149.60  2.8356440E-02
   7149.80  2.8419520E-02
   7150.00  2.8498852E-02
   7150.20  2.8594876E-02
   7150.40  2.8706928E-02
   7150.60  2.8834408E-02
   7150.80  2.8976596E-02
   7151.00  2.9132596E-02
   7151.20  2.9301165E-02
   7151.40  2.9481007E-02
   7151.60  2.9670535E-02
   7151.80  2.9868038E-02
   7152.00  3.0071737E-02
   7152.20  3.0279481E-02
   7152.40  3.0489101E-02
   7152.60  3.0698399E-02
   7152.80  3.0905153E-02
   7153.00  3.1107230E-02
   7153.20  3.1302340E-02
   7153.40  3.1488190E-02
   7153.60  3.1662923E-02
   7153.80  3.1824944E-02
   7154.00  3.1972975E-02
   7154.20  3.2106154E-02
   7154.40  3.2223932E-02
   7154.60  3.2326040E-02
   7154.80  3.2412643E-02
   7155.00  3.2487019E-02
   7155.20  3.2544647E-02
   7155.40  3.2589261E-02
   7155.60  3.2622045E-02
   7155.80  3.2644517E-02
   7156.00  3.2658171E-02
   7156.20  3.2664494E-02
   7156.40  3.2665014E-02
   7156.60  3.2661206E-02
   7156.80  3.2654463E-02
   7157.00  3.2646064E-02
   7157.20  3.2637257E-02
   7157.40  3.2629072E-02
   7157.60  3.2622414E-02
   7157.80  3.2618009E-02
   7158.00  3.2616541E-02
   7158.20  3.2618464E-02
   7158.40  3.2624439E-02
   7158.60  3.2635130E-02
   7158.80  3.2650414E-02
   7159.00  3.2670512E-02
   7159.20  3.2695633E-02
   7159.40  3.2725916E-02
   7159.60  3.2761353E-02
   7159.80  3.2801991E-02
   7160.00  3.2847851E-02
   7160.20  3.2898927E-02
   7160.40  3.2955271E-02
   7160.60  3.3016742E-02
   7160.80  3.3083323E-02
   7161.00  3.3154722E-02
   7161.20  3.3230752E-02
   7161.40  3.3317048E-02
   7161.60  3.3403589E-02
   7161.80  3.3491124E-02
   7162.00  3.3581655E-02
   7162.20  3.3674915E-02
   7162.40  3.3769959E-02
   7162.60  3.3865983E-02
   7162.80  3.3962153E-02
   7163.00  3.4057909E-02
   7163.20  3.4152085E-02
   7163.40  3.4243471E-02
   7163.60  3.4330991E-02
   7163.80  3.4413679E-02
   7164.00  3.4490673E-02
   7164.20  3.4560370E-02
   7164.40  3.4621574E-02
   7164.60  3.4673208E-02
   7164.80  3.4714224E-02
   7165.00  3.4743967E-02
   7165.20  3.4761833E-02
   7165.40  3.4766925E-02
   7165.60  3.4758838E-02
   7165.80  3.4737366E-02
   7166.00  3.4702627E-02
   7166.20  3.4655054E-02
   7166.40  3.4595410E-02
   7166.60  3.4523793E-02
   7166.80  3.4441054E-02
   7167.00  3.4348053E-02
   7167.20  3.4245974E-02
   7167.40  3.4135890E-02
   7167.60  3.4018883E-02
   7167.80  3.3896724E-02
   7168.00  3.3770120E-02
   7168.20  3.3634330E-02
   7168.40  3.3501984E-02
   7168.60  3.3368199E-02
   7168.80  3.3233957E-02
   7169.00  3.3099824E-02
   7169.20  3.2966351E-02
   7169.40  3.2834538E-02
   7169.60  3.2704391E-02
   7169.80  3.2576059E-02
   7170.00  3.2449765E-02
   7170.20  3.2325681E-02
   7170.40  3.2203891E-02
   7170.60  3.2084405E-02
   7170.80  3.1967267E-02
   7171.00  3.1852440E-02
   7171.20  3.1740248E-02
   7171.40  3.1630521E-02
   7171.60  3.1523008E-02
   7171.80  3.1417834E-02
   7172.00  3.1314977E-02
