  7112.000   26  1  1  1.7842411E-01 -2.1510525E+00 -7.9290799E-01  1  1  7.2655059E+03  0.0000000E+00  0.0000000E+00  4.4187961E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.3603892E-05
   7097.20  7.2609110E-05
   7097.40  1.2012600E-04
   7097.60  4.3668631E-04
   7097.80  1.4567285E-03
   7098.00  1.8693918E-03
   7098.20  1.0101916E-01
   7098.40  4.6457174E-04
   7098.60  1.7309990E-04
   7098.80  1.4490786E-04
   7099.00  2.6498899E-04
   7099.20  7.1028515E-03
   7099.40  1.5888829E-03
   7099.60  3.8502607E-04
   7099.80  6.6641999E-04
   7100.00  1.0763735E-04
   7100.20  7.1946919E-05
   7100.40  6.8865985E-05
   7100.60  9.0956823E-05
   7100.80  2.6155515E-04
   7101.00  3.2284989E-02
   7101.20  2.3118072E-04
   7101.40  2.7816583E-04
   7101.60  8.6542696E-04
   7101.80  9.5385454E-05
   7102.00  5.8541039E-05
   7102.20  4.9935614E-05
   7102.40  4.8766418E-05
   7102.60  5.3365320E-05
   7102.80  7.3286058E-05
   7103.00  2.7922989E-04
   7103.20  4.3573638E-04
   7103.40  9.6339040E-05
   7103.60  1.1183849E-04
   7103.80  3.5795507E-03
   7104.00  6.8371544E-04
   7104.20  6.0672009E-04
   7104.40  1.3968167E-04
   7104.60  1.7598114E-04
   7104.80  1.8140292E-03
   7105.00  3.2175745E-03
   7105.20  2.5497106E-03
   7105.40  4.5937982E-04
   7105.60  1.2713429E-03
   7105.80  2.4198236E-03
   7106.00  2.3275700E-02
   7106.20  2.3578010E-03
   7106.40  3.0981506E-03
   7106.60  1.3262592E-03
   7106.80  9.9676300E-04
   7107.00  1.2009375E-03
   7107.20  7.4212420E-03
   7107.40  6.2107136E-03
   7107.60  4.2952805E-02
   7107.80  1.1908890E-02
   7108.00  1.0387729E-03
   7108.20  1.4208293E-03
   7108.40  5.9516454E-03
   7108.60  7.7342800E-04
   7108.80  1.2894032E-03
   7109.00  1.1979038E-02
   7109.20  7.5769091E-02
   7109.40  4.7189340E-04
   7109.60  5.0010370E-04
   7109.80  2.9190546E-02
   7110.00  2.9359277E-03
   7110.20  9.3951773E-02
   7110.40  1.5708206E-02
   7110.60  2.0393781E-02
   7110.80  7.5436344E-02
   7111.00  5.6834204E-02
   7111.20  3.9286852E-02
   7111.40  5.0550801E-02
   7111.60  6.5265758E-02
   7111.80  7.9813588E-02
   7112.00  2.0979946E-02
   7112.20  1.2980781E-02
   7112.40  1.1613215E-02
   7112.60  1.2668390E-02
   7112.80  2.0695558E-02
   7113.00  1.4162765E-02
   7113.20  8.4156520E-03
   7113.40  8.4113569E-03
   7113.60  5.0143632E-03
   7113.80  3.3516596E-03
   7114.00  2.5559476E-03
   7114.20  2.2315356E-03
   7114.40  2.0575018E-03
   7114.60  2.0082046E-03
   7114.80  2.3022108E-03
   7115.00  4.1112761E-03
   7115.20  3.7668924E-03
   7115.40  2.1195433E-03
   7115.60  1.5811531E-03
   7115.80  1.4005231E-03
   7116.00  1.3963555E-03
   7116.20  1.6178635E-03
   7116.40  2.2719168E-03
   7116.60  3.2768078E-03
   7116.80  2.6983242E-03
   7117.00  1.7659521E-03
   7117.20  1.3215997E-03
   7117.40  1.1130913E-03
   7117.60  1.0066613E-03
   7117.80  9.5111293E-04
   7118.00  9.2664041E-04
   7118.20  9.2585018E-04
   7118.40  9.4580948E-04
   7118.60  9.8419748E-04
   7118.80  1.0382617E-03
   7119.00  1.1058271E-03
   7119.20  1.1856894E-03
   7119.40  1.2753895E-03
   7119.60  1.3669489E-03
   7119.80  1.4503545E-03
   7120.00  1.5295835E-03
   7120.20  1.6306308E-03
   7120.40  1.7866395E-03
   7120.60  2.0215111E-03
   7120.80  2.3356950E-03
   7121.00  2.7310083E-03
   7121.20  3.2647717E-03
   7121.40  4.2096796E-03
   7121.60  6.1330470E-03
   7121.80  9.6088831E-03
   7122.00  1.1945388E-02
   7122.20  9.6690191E-03
   7122.40  7.7252789E-03
   7122.60  7.3215168E-03
   7122.80  7.4731716E-03
   7123.00  7.9806285E-03
   7123.20  8.0786834E-03
   7123.40  7.2696120E-03
   7123.60  5.9413614E-03
   7123.80  5.3004413E-03
   7124.00  5.0286222E-03
   7124.20  5.0031193E-03
   7124.40  5.3389171E-03
   7124.60  5.8748859E-03
   7124.80  6.6301937E-03
   7125.00  7.6462222E-03
   7125.20  8.9181651E-03
   7125.40  1.0510602E-02
   7125.60  1.2477155E-02
   7125.80  1.4918383E-02
   7126.00  1.7943442E-02
   7126.20  2.1738649E-02
   7126.40  2.6270143E-02
   7126.60  3.0290988E-02
   7126.80  3.1076104E-02
   7127.00  2.9962591E-02
   7127.20  2.8947398E-02
   7127.40  2.8484027E-02
   7127.60  2.7851024E-02
   7127.80  2.5839398E-02
   7128.00  2.3182502E-02
   7128.20  2.1407418E-02
   7128.40  2.0467871E-02
   7128.60  2.0194609E-02
   7128.80  2.0333252E-02
   7129.00  2.0705021E-02
   7129.20  2.1477418E-02
   7129.40  2.2628299E-02
   7129.60  2.4054766E-02
   7129.80  2.5686449E-02
   7130.00  2.7476419E-02
   7130.20  2.9387618E-02
   7130.40  3.1389697E-02
   7130.60  3.3467151E-02
   7130.80  3.5629374E-02
   7131.00  3.7913328E-02
   7131.20  4.0388156E-02
   7131.40  4.3179324E-02
   7131.60  4.6514306E-02
   7131.80  5.0795243E-02
   7132.00  5.6614468E-02
   7132.20  6.4323743E-02
   7132.40  7.2376170E-02
   7132.60  7.6067580E-02
   7132.80  7.2460393E-02
   7133.00  6.5025292E-02
   7133.20  5.8578561E-02
   7133.40  5.4806673E-02
   7133.60  5.3206734E-02
   7133.80  5.2896684E-02
   7134.00  5.3365970E-02
   7134.20  5.4442686E-02
   7134.40  5.6145711E-02
   7134.60  5.8628621E-02
   7134.80  6.2186062E-02
   7135.00  6.7291951E-02
   7135.20  7.4640396E-02
   7135.40  8.5072237E-02
   7135.60  9.9004100E-02
   7135.80  1.1463380E-01
   7136.00  1.2563056E-01
   7136.20  1.2449627E-01
   7136.40  1.1213604E-01
   7136.60  9.6356666E-02
   7136.80  8.2551672E-02
   7137.00  7.2001878E-02
   7137.20  6.4237703E-02
   7137.40  5.8501986E-02
   7137.60  5.4179065E-02
   7137.80  5.0838343E-02
   7138.00  4.8192553E-02
   7138.20  4.6049397E-02
   7138.40  4.4284286E-02
   7138.60  4.2812960E-02
   7138.80  4.1578222E-02
   7139.00  4.0541174E-02
   7139.20  3.9674795E-02
   7139.40  3.8959994E-02
   7139.60  3.8385296E-02
   7139.80  3.7936269E-02
   7140.00  3.7601254E-02
   7140.20  3.7373684E-02
   7140.40  3.7248582E-02
   7140.60  3.7221668E-02
   7140.80  3.7289674E-02
   7141.00  3.7451144E-02
   7141.20  3.7705571E-02
   7141.40  3.8054574E-02
   7141.60  3.8502218E-02
   7141.80  3.9055492E-02
   7142.00  3.9724036E-02
   7142.20  4.0520391E-02
   7142.40  4.1458178E-02
   7142.60  4.2549086E-02
   7142.80  4.3799039E-02
   7143.00  4.5200795E-02
   7143.20  4.6723685E-02
   7143.40  4.8304912E-02
   7143.60  4.9851061E-02
   7143.80  5.1243720E-02
   7144.00  5.2361326E-02
   7144.20  5.3104593E-02
   7144.40  5.3418837E-02
   7144.60  5.3301623E-02
   7144.80  5.2796416E-02
   7145.00  5.1976707E-02
   7145.20  5.0928490E-02
   7145.40  4.9735428E-02
   7145.60  4.8469816E-02
   7145.80  4.7187130E-02
   7146.00  4.5927156E-02
   7146.20  4.4714730E-02
   7146.40  4.3563923E-02
   7146.60  4.2502946E-02
   7146.80  4.1515622E-02
   7147.00  4.0595466E-02
   7147.20  3.9742108E-02
   7147.40  3.8954699E-02
   7147.60  3.8231693E-02
   7147.80  3.7571307E-02
   7148.00  3.6971475E-02
   7148.20  3.6430040E-02
   7148.40  3.5944524E-02
   7148.60  3.5512250E-02
