  7112.000   26  1  1  9.1020189E-02 -1.4804802E+00 -2.0655272E+00  1  1  7.2661805E+03  0.0000000E+00  0.0000000E+00  2.7111342E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0287227E-05
   7097.20  1.9938407E-05
   7097.40  1.9900942E-05
   7097.60  2.0004009E-05
   7097.80  2.0220738E-05
   7098.00  2.0580154E-05
   7098.20  2.1175785E-05
   7098.40  2.2253917E-05
   7098.60  2.4588663E-05
   7098.80  3.1847906E-05
   7099.00  1.1120500E-04
   7099.20  3.3015044E-03
   7099.40  5.8972960E-05
   7099.60  3.0400496E-05
   7099.80  2.5655127E-05
   7100.00  2.4433632E-05
   7100.20  2.4433807E-05
   7100.40  2.5317303E-05
   7100.60  2.7794068E-05
   7100.80  3.8816837E-05
   7101.00  4.1107245E-03
   7101.20  5.2392861E-05
   7101.40  4.1626482E-05
   7101.60  1.0584976E-04
   7101.80  8.0449296E-05
   7102.00  2.0138684E-04
   7102.20  2.4156870E-02
   7102.40  2.6676435E-04
   7102.60  9.3408940E-05
   7102.80  3.1385710E-03
   7103.00  7.1847174E-05
   7103.20  1.0403833E-03
   7103.40  1.1066684E-04
   7103.60  3.0063771E-04
   7103.80  4.4871625E-04
   7104.00  2.1483158E-03
   7104.20  5.4202297E-04
   7104.40  1.1042639E-02
   7104.60  1.6851114E-04
   7104.80  2.8233098E-04
   7105.00  2.3003027E-02
   7105.20  2.2504220E-04
   7105.40  1.2751332E-04
   7105.60  1.4209784E-04
   7105.80  1.1186806E-03
   7106.00  8.0588015E-05
   7106.20  5.6200157E-05
   7106.40  5.4897930E-05
   7106.60  7.0541561E-05
   7106.80  1.4949157E-04
   7107.00  1.4932430E-04
   7107.20  1.7478377E-03
   7107.40  5.3466634E-04
   7107.60  1.4928820E-04
   7107.80  2.7412607E-04
   7108.00  2.6510935E-04
   7108.20  2.1379571E-03
   7108.40  5.2426979E-04
   7108.60  6.2503296E-03
   7108.80  5.6201540E-04
   7109.00  1.8430091E-02
   7109.20  1.1259515E-03
   7109.40  9.2769482E-03
   7109.60  9.6209813E-03
   7109.80  3.8407503E-03
   7110.00  6.7645884E-03
   7110.20  1.9363097E-03
   7110.40  1.5748152E-03
   7110.60  6.7993401E-03
   7110.80  2.6144427E-03
   7111.00  9.9361767E-04
   7111.20  3.3837716E-02
   7111.40  1.3418457E-02
   7111.60  1.0046031E-02
   7111.80  3.7982736E-02
   7112.00  2.0238522E-02
   7112.20  1.8227305E-02
   7112.40  1.7220885E-02
   7112.60  2.1846093E-02
   7112.80  2.5965619E-02
   7113.00  2.3934723E-02
   7113.20  2.2180696E-02
   7113.40  2.2097010E-02
   7113.60  1.8958238E-02
   7113.80  2.0673275E-02
   7114.00  3.2653213E-02
   7114.20  5.6820995E-02
   7114.40  4.7752506E-02
   7114.60  2.6956913E-02
   7114.80  1.7190774E-02
   7115.00  1.2694221E-02
   7115.20  1.0431242E-02
   7115.40  9.3099254E-03
   7115.60  8.8930713E-03
   7115.80  8.9370236E-03
   7116.00  9.2160470E-03
   7116.20  9.6506017E-03
   7116.40  1.0055547E-02
   7116.60  9.4443016E-03
   7116.80  7.7110921E-03
   7117.00  6.2601492E-03
   7117.20  5.4129245E-03
   7117.40  5.1390641E-03
   7117.60  5.1713323E-03
   7117.80  5.2819796E-03
   7118.00  5.5445883E-03
   7118.20  6.0710931E-03
   7118.40  6.7119222E-03
   7118.60  6.1964048E-03
   7118.80  5.5832005E-03
   7119.00  5.8446352E-03
   7119.20  6.4648233E-03
   7119.40  7.1793006E-03
   7119.60  7.8317784E-03
   7119.80  8.3141268E-03
   7120.00  8.5817099E-03
   7120.20  8.7194412E-03
   7120.40  8.8656875E-03
   7120.60  9.0471754E-03
   7120.80  9.1585956E-03
   7121.00  9.1320486E-03
   7121.20  9.1393736E-03
   7121.40  9.3888925E-03
   7121.60  9.9101392E-03
   7121.80  1.0641308E-02
   7122.00  1.1525441E-02
   7122.20  1.2511674E-02
   7122.40  1.3505957E-02
   7122.60  1.4294573E-02
   7122.80  1.4586695E-02
   7123.00  1.4363481E-02
   7123.20  1.4079989E-02
   7123.40  1.4199016E-02
   7123.60  1.4496852E-02
   7123.80  1.4715564E-02
   7124.00  1.4851721E-02
   7124.20  1.5087669E-02
   7124.40  1.5507725E-02
   7124.60  1.6107523E-02
   7124.80  1.6764744E-02
   7125.00  1.7303708E-02
   7125.20  1.7603365E-02
   7125.40  1.7846020E-02
   7125.60  1.8270674E-02
   7125.80  1.8853812E-02
   7126.00  1.9660092E-02
   7126.20  2.0846707E-02
   7126.40  2.2481436E-02
   7126.60  2.4504404E-02
   7126.80  2.6785292E-02
   7127.00  2.9146361E-02
   7127.20  3.1386694E-02
   7127.40  3.3365425E-02
   7127.60  3.5028702E-02
   7127.80  3.6578364E-02
   7128.00  3.7976657E-02
   7128.20  3.9534416E-02
   7128.40  4.1387256E-02
   7128.60  4.3525941E-02
   7128.80  4.5667253E-02
   7129.00  4.7324550E-02
   7129.20  4.8413020E-02
   7129.40  4.9342449E-02
   7129.60  5.0231502E-02
   7129.80  5.1012495E-02
   7130.00  5.1560750E-02
   7130.20  5.2062065E-02
   7130.40  5.2678200E-02
   7130.60  5.3415927E-02
   7130.80  5.4070826E-02
   7131.00  5.4433797E-02
   7131.20  5.4482202E-02
   7131.40  5.4385520E-02
   7131.60  5.4354286E-02
   7131.80  5.4535408E-02
   7132.00  5.4995836E-02
   7132.20  5.5729059E-02
   7132.40  5.6672163E-02
   7132.60  5.7736196E-02
   7132.80  5.8832231E-02
   7133.00  5.9887931E-02
   7133.20  6.0856728E-02
   7133.40  6.1691393E-02
   7133.60  6.2268127E-02
   7133.80  6.2514895E-02
   7134.00  6.2503217E-02
   7134.20  6.2271263E-02
   7134.40  6.1756869E-02
   7134.60  6.0876867E-02
   7134.80  5.9680141E-02
   7135.00  5.8280950E-02
   7135.20  5.6788679E-02
   7135.40  5.5262067E-02
   7135.60  5.3716505E-02
   7135.80  5.2154800E-02
   7136.00  5.0586225E-02
   7136.20  4.9030168E-02
   7136.40  4.7513544E-02
   7136.60  4.6064904E-02
   7136.80  4.4709058E-02
   7137.00  4.3464297E-02
   7137.20  4.2341433E-02
   7137.40  4.1343390E-02
   7137.60  4.0466415E-02
   7137.80  3.9702208E-02
   7138.00  3.9039154E-02
   7138.20  3.8464167E-02
   7138.40  3.7964200E-02
   7138.60  3.7527633E-02
   7138.80  3.7149194E-02
   7139.00  3.6811966E-02
   7139.20  3.6514820E-02
   7139.40  3.6253496E-02
   7139.60  3.6024976E-02
   7139.80  3.5826768E-02
   7140.00  3.5656836E-02
   7140.20  3.5513518E-02
   7140.40  3.5404463E-02
   7140.60  3.5332361E-02
   7140.80  3.5289225E-02
   7141.00  3.5279564E-02
   7141.20  3.5308940E-02
   7141.40  3.5382622E-02
   7141.60  3.5503615E-02
   7141.80  3.5670061E-02
   7142.00  3.5873786E-02
   7142.20  3.6099865E-02
   7142.40  3.6328169E-02
   7142.60  3.6536781E-02
   7142.80  3.6705550E-02
   7143.00  3.6819260E-02
   7143.20  3.6868920E-02
   7143.40  3.6851190E-02
   7143.60  3.6766789E-02
   7143.80  3.6618548E-02
   7144.00  3.6409814E-02
   7144.20  3.6144189E-02
   7144.40  3.5825821E-02
   7144.60  3.5459960E-02
   7144.80  3.5053482E-02
   7145.00  3.4615025E-02
   7145.20  3.4154398E-02
   7145.40  3.3681837E-02
   7145.60  3.3207249E-02
   7145.80  3.2739428E-02
   7146.00  3.2286071E-02
   7146.20  3.1852175E-02
   7146.40  3.1441366E-02
   7146.60  3.1055815E-02
   7146.80  3.0695070E-02
   7147.00  3.0360872E-02
   7147.20  3.0052470E-02
   7147.40  2.9768815E-02
   7147.60  2.9508176E-02
   7147.80  2.9268889E-02
   7148.00  2.9049246E-02
   7148.20  2.8847845E-02
   7148.40  2.8663002E-02
   7148.60  2.8497843E-02
   7148.80  2.8342645E-02
   7149.00  2.8201456E-02
   7149.20  2.8074284E-02
   7149.40  2.7961085E-02
   7149.60  2.7862232E-02
   7149.80  2.7778166E-02
   7150.00  2.7709439E-02
   7150.20  2.7666931E-02
   7150.40  2.7630823E-02
   7150.60  2.7611916E-02
   7150.80  2.7608338E-02
   7151.00  2.7621209E-02
   7151.20  2.7648476E-02
   7151.40  2.7693748E-02
   7151.60  2.7755168E-02
   7151.80  2.7832878E-02
   7152.00  2.7927056E-02
   7152.20  2.8038015E-02
   7152.40  2.8165985E-02
   7152.60  2.8311230E-02
   7152.80  2.8473918E-02
   7153.00  2.8653820E-02
   7153.20  2.8850385E-02
   7153.40  2.9062723E-02
   7153.60  2.9292498E-02
   7153.80  2.9535583E-02
   7154.00  2.9789333E-02
   7154.20  3.0055738E-02
   7154.40  3.0321436E-02
   7154.60  3.0587450E-02
   7154.80  3.0849658E-02
   7155.00  3.1103850E-02
   7155.20  3.1346120E-02
   7155.40  3.1572994E-02
   7155.60  3.1781633E-02
   7155.80  3.1969929E-02
   7156.00  3.2136538E-02
   7156.20  3.2280899E-02
   7156.40  3.2402971E-02
   7156.60  3.2503302E-02
   7156.80  3.2578493E-02
   7157.00  3.2638431E-02
   7157.20  3.2680681E-02
   7157.40  3.2707035E-02
   7157.60  3.2719471E-02
   7157.80  3.2719256E-02
   7158.00  3.2708388E-02
   7158.20  3.2688557E-02
   7158.40  3.2661293E-02
   7158.60  3.2628074E-02
   7158.80  3.2590285E-02
   7159.00  3.2549654E-02
   7159.20  3.2507302E-02
   7159.40  3.2463948E-02
   7159.60  3.2420568E-02
   7159.80  3.2378012E-02
   7160.00  3.2337575E-02
   7160.20  3.2299640E-02
   7160.40  3.2264449E-02
   7160.60  3.2232255E-02
   7160.80  3.2203176E-02
   7161.00  3.2177449E-02
   7161.20  3.2154935E-02
   7161.40  3.2134842E-02
   7161.60  3.2116521E-02
   7161.80  3.2099174E-02
   7162.00  3.2082517E-02
   7162.20  3.2064344E-02
   7162.40  3.2044634E-02
   7162.60  3.2022061E-02
   7162.80  3.1995491E-02
   7163.00  3.1964226E-02
   7163.20  3.1927805E-02
   7163.40  3.1886423E-02
   7163.60  3.1840131E-02
   7163.80  3.1789721E-02
   7164.00  3.1729686E-02
   7164.20  3.1672516E-02
   7164.40  3.1613640E-02
   7164.60  3.1555224E-02
   7164.80  3.1498970E-02
   7165.00  3.1446605E-02
   7165.20  3.1399877E-02
   7165.40  3.1360091E-02
   7165.60  3.1328015E-02
   7165.80  3.1304537E-02
   7166.00  3.1290145E-02
   7166.20  3.1284963E-02
   7166.40  3.1288953E-02
   7166.60  3.1301935E-02
   7166.80  3.1323573E-02
   7167.00  3.1353627E-02
   7167.20  3.1391361E-02
   7167.40  3.1436069E-02
   7167.60  3.1487087E-02
   7167.80  3.1543752E-02
   7168.00  3.1605379E-02
   7168.20  3.1671337E-02
   7168.40  3.1740896E-02
   7168.60  3.1813273E-02
   7168.80  3.1887790E-02
   7169.00  3.1964294E-02
   7169.20  3.2043314E-02
   7169.40  3.2117934E-02
   7169.60  3.2194741E-02
   7169.80  3.2270076E-02
   7170.00  3.2343287E-02
   7170.20  3.2413706E-02
   7170.40  3.2480798E-02
   7170.60  3.2543951E-02
   7170.80  3.2602684E-02
   7171.00  3.2656542E-02
   7171.20  3.2705289E-02
   7171.40  3.2748261E-02
   7171.60  3.2785096E-02
   7171.80  3.2815454E-02
   7172.00  3.2838967E-02
