  7112.000   26  1  1  5.3870935E-02 -2.4828987E+00 -1.3271982E+00  1  1  7.2659074E+03  0.0000000E+00  0.0000000E+00  3.2109141E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.9910392E-05
   7097.20  2.9244922E-05
   7097.40  2.9124487E-05
   7097.60  2.9498095E-05
   7097.80  3.0410991E-05
   7098.00  3.2043910E-05
   7098.20  3.4837369E-05
   7098.40  4.0060564E-05
   7098.60  5.4038858E-05
   7098.80  3.3322381E-04
   7099.00  1.0511640E-04
   7099.20  1.1206731E-04
   7099.40  2.5305209E-04
   7099.60  9.9637885E-03
   7099.80  1.2241413E-02
   7100.00  4.9154881E-04
   7100.20  7.8969011E-04
   7100.40  5.5708680E-04
   7100.60  1.6273428E-04
   7100.80  8.6036118E-05
   7101.00  7.1605328E-05
   7101.20  4.0588287E-03
   7101.40  6.6053358E-05
   7101.60  4.5544621E-05
   7101.80  5.1295789E-05
   7102.00  7.5690377E-04
   7102.20  6.2612086E-05
   7102.40  4.2062816E-05
   7102.60  4.1822095E-05
   7102.80  5.1053063E-05
   7103.00  7.4969182E-04
   7103.20  1.2226934E-04
   7103.40  1.7548160E-04
   7103.60  8.4282312E-04
   7103.80  2.1489139E-04
   7104.00  1.2196419E-04
   7104.20  4.5414434E-04
   7104.40  3.9489237E-04
   7104.60  1.1746263E-03
   7104.80  5.1380619E-02
   7105.00  4.3903855E-04
   7105.20  1.7164347E-04
   7105.40  1.8441841E-04
   7105.60  5.4864493E-03
   7105.80  2.5887325E-04
   7106.00  3.2424283E-04
   7106.20  3.8243918E-04
   7106.40  1.3077850E-02
   7106.60  1.3621676E-03
   7106.80  1.4374907E-03
   7107.00  4.5981993E-04
   7107.20  5.9803540E-04
   7107.40  5.3038895E-03
   7107.60  7.2085650E-03
   7107.80  2.3069487E-03
   7108.00  5.2145712E-03
   7108.20  4.8606025E-04
   7108.40  7.2910499E-04
   7108.60  5.6630620E-03
   7108.80  4.4093099E-02
   7109.00  1.0593299E-03
   7109.20  2.0861986E-03
   7109.40  1.6373384E-02
   7109.60  6.3134044E-03
   7109.80  3.1391302E-03
   7110.00  5.7324106E-02
   7110.20  5.0030143E-02
   7110.40  1.2015690E-02
   7110.60  7.0220615E-03
   7110.80  1.4923908E-02
   7111.00  2.6170234E-02
   7111.20  2.8977342E-02
   7111.40  2.3970035E-02
   7111.60  1.2997961E-02
   7111.80  8.1022373E-03
   7112.00  5.9784598E-03
   7112.20  4.9655667E-03
   7112.40  4.5345022E-03
   7112.60  4.5893164E-03
   7112.80  5.3115599E-03
   7113.00  7.2761248E-03
   7113.20  1.2336317E-02
   7113.40  7.5574316E-02
   7113.60  1.0491368E-02
   7113.80  5.4993653E-03
   7114.00  4.0485933E-03
   7114.20  3.3691141E-03
