  7112.000   26  1  1  9.2983013E-03 -2.2588321E+00 -7.1618214E-01  1  1  7.2654072E+03  0.0000000E+00  0.0000000E+00  2.4582705E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.8921802E-04
   7097.20  1.0562940E-04
   7097.40  6.4843989E-05
   7097.60  4.8521862E-05
   7097.80  4.0012043E-05
   7098.00  3.4953060E-05
   7098.20  3.1697018E-05
   7098.40  2.9489567E-05
   7098.60  2.7944415E-05
   7098.80  2.6843495E-05
   7099.00  2.6059225E-05
   7099.20  2.5512844E-05
   7099.40  2.5156929E-05
   7099.60  2.4964088E-05
   7099.80  2.4924864E-05
   7100.00  2.5045969E-05
   7100.20  2.5357363E-05
   7100.40  2.5933297E-05
   7100.60  2.6953622E-05
   7100.80  2.8948215E-05
   7101.00  3.4273923E-05
   7101.20  7.3636642E-05
   7101.40  1.7041120E-04
   7101.60  5.1555268E-05
   7101.80  8.5303366E-05
   7102.00  4.6091768E-03
   7102.20  5.8445958E-04
   7102.40  7.0178333E-04
   7102.60  6.6471984E-04
   7102.80  1.8913532E-03
   7103.00  2.8428250E-04
   7103.20  6.6554554E-05
   7103.40  5.0420065E-05
   7103.60  5.2256353E-05
   7103.80  1.7069812E-04
   7104.00  8.3018814E-05
   7104.20  1.2631312E-04
   7104.40  7.8156534E-04
   7104.60  2.0927601E-04
   7104.80  1.5234934E-04
   7105.00  1.1149529E-03
   7105.20  1.8309541E-03
   7105.40  4.0585777E-04
   7105.60  2.8514575E-03
   7105.80  3.2806443E-04
   7106.00  6.0530527E-03
   7106.20  3.5066210E-03
   7106.40  7.8461558E-04
   7106.60  2.8945811E-04
   7106.80  6.9228308E-04
   7107.00  1.3180609E-03
   7107.20  1.7093005E-03
   7107.40  2.7989321E-03
   7107.60  9.7665293E-03
   7107.80  7.2417076E-03
   7108.00  1.1869282E-03
   7108.20  8.3890527E-03
   7108.40  1.7917895E-03
   7108.60  8.3893119E-04
   7108.80  5.3860024E-03
   7109.00  5.8118052E-03
   7109.20  1.5169388E-02
   7109.40  3.5089500E-03
   7109.60  8.8130669E-03
   7109.80  3.5113322E-02
   7110.00  3.6478602E-04
   7110.20  4.8275404E-03
   7110.40  1.1837435E-02
   7110.60  1.0205943E-02
   7110.80  8.6258565E-03
   7111.00  2.1308495E-02
   7111.20  3.2437088E-02
   7111.40  2.5922577E-02
   7111.60  1.2355265E-02
   7111.80  7.1197152E-03
   7112.00  8.4035946E-03
   7112.20  1.2186626E-02
   7112.40  1.3464690E-02
   7112.60  7.6546545E-03
   7112.80  4.7125092E-03
   7113.00  1.8207903E-02
   7113.20  9.4129598E-03
   7113.40  8.2058343E-03
   7113.60  1.0431513E-02
   7113.80  8.5794082E-03
   7114.00  6.4810541E-03
   7114.20  7.7047345E-03
   7114.40  9.6849288E-03
   7114.60  2.4048523E-03
   7114.80  1.1119986E-03
   7115.00  8.0438648E-04
   7115.20  6.8311063E-04
   7115.40  6.0553109E-04
   7115.60  5.7938145E-04
   7115.80  5.7304575E-04
   7116.00  5.8441406E-04
   7116.20  6.1351183E-04
   7116.40  6.6081215E-04
   7116.60  7.2551409E-04
   7116.80  8.0357065E-04
   7117.00  8.8672619E-04
   7117.20  9.6468085E-04
   7117.40  1.0292945E-03
   7117.60  1.0741320E-03
   7117.80  1.0908223E-03
   7118.00  1.0800771E-03
   7118.20  1.0614804E-03
   7118.40  1.0565458E-03
   7118.60  1.0761761E-03
   7118.80  1.1232094E-03
   7119.00  1.1952467E-03
   7119.20  1.2854076E-03
   7119.40  1.3860249E-03
   7119.60  1.4959608E-03
   7119.80  1.6233084E-03
   7120.00  1.7805571E-03
   7120.20  1.9797385E-03
   7120.40  2.2316372E-03
   7120.60  2.5471228E-03
   7120.80  2.9383957E-03
   7121.00  3.4193212E-03
   7121.20  4.0046180E-03
   7121.40  4.7080324E-03
   7121.60  5.5386628E-03
   7121.80  6.4944775E-03
   7122.00  7.5742736E-03
   7122.20  8.7408892E-03
   7122.40  9.9786436E-03
   7122.60  1.1328165E-02
   7122.80  1.2827643E-02
   7123.00  1.4491530E-02
   7123.20  1.6287734E-02
   7123.40  1.8151116E-02
   7123.60  2.0004344E-02
   7123.80  2.1732367E-02
   7124.00  2.3295713E-02
   7124.20  2.4708648E-02
