  7112.000   26  1  1  2.5709035E-02 -2.4572935E+00 -1.1231122E+00  1  1  7.2656879E+03  0.0000000E+00  0.0000000E+00  2.4544017E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.4139763E-04
   7097.20  1.1664097E-04
   7097.40  8.5664583E-05
   7097.60  8.0093316E-05
   7097.80  9.2330728E-05
   7098.00  1.4035336E-04
   7098.20  3.8090495E-04
   7098.40  8.3915240E-02
   7098.60  2.0262186E-03
   7098.80  1.1423552E-03
   7099.00  2.0854661E-04
   7099.20  1.2055891E-04
   7099.40  1.3133271E-04
   7099.60  7.0722260E-04
   7099.80  1.2089776E-03
   7100.00  1.2194061E-04
   7100.20  7.1008300E-05
   7100.40  6.5529516E-05
   7100.60  9.5638776E-05
   7100.80  6.3930466E-04
   7101.00  3.9600604E-04
   7101.20  8.1959868E-05
   7101.40  5.4158159E-05
   7101.60  5.4713962E-05
   7101.80  1.6909261E-04
   7102.00  1.6140608E-04
   7102.20  4.8819408E-05
   7102.40  3.9798747E-05
   7102.60  3.8057628E-05
   7102.80  3.8605735E-05
   7103.00  4.1447377E-05
   7103.20  1.3870923E-04
   7103.40  6.7266027E-05
   7103.60  1.8917362E-03
   7103.80  8.5889481E-05
   7104.00  7.0384392E-05
   7104.20  8.8203630E-05
   7104.40  1.5038692E-04
   7104.60  6.6378866E-04
   7104.80  2.6618674E-03
   7105.00  6.7752698E-03
   7105.20  7.6436099E-04
   7105.40  8.6738718E-04
   7105.60  4.2793990E-02
   7105.80  3.7727290E-04
   7106.00  1.6207346E-04
   7106.20  1.3256193E-04
   7106.40  1.5138709E-04
   7106.60  3.1671164E-04
   7106.80  1.3021063E-03
   7107.00  1.3361074E-02
   7107.20  1.1179791E-02
   7107.40  2.2981099E-03
   7107.60  3.6092230E-04
   7107.80  5.8629418E-04
   7108.00  5.2609825E-03
   7108.20  1.8381854E-03
   7108.40  2.1821290E-02
   7108.60  2.1562007E-02
   7108.80  1.3151712E-02
   7109.00  6.7424984E-02
   7109.20  2.1086697E-02
   7109.40  4.3761825E-03
   7109.60  9.1865716E-03
   7109.80  2.0122618E-01
   7110.00  2.0978455E-02
   7110.20  5.5143463E-03
   7110.40  5.7740485E-03
   7110.60  6.8068421E-03
   7110.80  1.3638240E-02
   7111.00  1.6561096E-02
   7111.20  2.5130580E-02
   7111.40  2.3356207E-02
   7111.60  1.2720917E-02
   7111.80  1.6207565E-02
   7112.00  2.3700607E-02
   7112.20  3.5667484E-02
   7112.40  8.9867199E-03
   7112.60  4.7326397E-03
   7112.80  3.6754603E-03
   7113.00  3.2903480E-03
   7113.20  3.1833982E-03
   7113.40  3.2821405E-03
   7113.60  3.6335926E-03
   7113.80  4.4304682E-03
   7114.00  6.1057691E-03
   7114.20  8.6464625E-03
   7114.40  8.1935719E-03
   7114.60  2.7899222E-03
   7114.80  1.6321825E-03
   7115.00  1.3106736E-03
   7115.20  1.1848845E-03
   7115.40  1.1587661E-03
   7115.60  1.1696564E-03
   7115.80  1.2092675E-03
   7116.00  1.2746237E-03
   7116.20  1.3573342E-03
   7116.40  1.4344438E-03
   7116.60  1.4710002E-03
   7116.80  1.4531748E-03
   7117.00  1.4134758E-03
   7117.20  1.3915635E-03
   7117.40  1.3997626E-03
   7117.60  1.4341849E-03
   7117.80  1.4889589E-03
   7118.00  1.5577776E-03
   7118.20  1.6321318E-03
   7118.40  1.7022437E-03
   7118.60  1.7624871E-03
   7118.80  1.8170496E-03
   7119.00  1.8773455E-03
   7119.20  1.9541127E-03
   7119.40  2.0532590E-03
   7119.60  2.1770249E-03
   7119.80  2.3263793E-03
   7120.00  2.5024681E-03
   7120.20  2.7072184E-03
   7120.40  2.9435831E-03
   7120.60  3.2155541E-03
   7120.80  3.5277746E-03
   7121.00  3.8851073E-03
   7121.20  4.2927740E-03
   7121.40  4.7580054E-03
   7121.60  5.2930972E-03
   7121.80  5.9168210E-03
   7122.00  6.6508521E-03
   7122.20  7.5143073E-03
   7122.40  8.5248891E-03
   7122.60  9.6883296E-03
   7122.80  1.1021857E-02
   7123.00  1.2550028E-02
   7123.20  1.4251617E-02
   7123.40  1.6167998E-02
   7123.60  1.8166363E-02
   7123.80  2.0177562E-02
   7124.00  2.2044351E-02
   7124.20  2.3601440E-02
   7124.40  2.4774110E-02
   7124.60  2.5861481E-02
   7124.80  2.7497039E-02
   7125.00  3.0124282E-02
   7125.20  3.2737424E-02
   7125.40  3.4541395E-02
   7125.60  3.5932766E-02
   7125.80  3.6970033E-02
   7126.00  3.7495823E-02
   7126.20  3.7517974E-02
   7126.40  3.7174987E-02
   7126.60  3.6231316E-02
   7126.80  3.4257469E-02
   7127.00  3.0913685E-02
   7127.20  2.7196250E-02
   7127.40  2.5788988E-02
   7127.60  2.6316796E-02
   7127.80  2.7779690E-02
   7128.00  2.9769973E-02
   7128.20  3.2096106E-02
   7128.40  3.4572927E-02
   7128.60  3.7018436E-02
