  7112.000   26  1  1  1.4942999E-02 -2.4892215E+00 -1.4325789E+00  1  1  7.2653573E+03  0.0000000E+00  0.0000000E+00  2.6390958E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9726330E-05
   7097.20  1.9781986E-05
   7097.40  1.9853090E-05
   7097.60  1.9940971E-05
   7097.80  2.0047511E-05
   7098.00  2.0175158E-05
   7098.20  2.0327057E-05
   7098.40  2.0507223E-05
   7098.60  2.0720836E-05
   7098.80  2.0974584E-05
   7099.00  2.1277264E-05
   7099.20  2.1640759E-05
   7099.40  2.2081310E-05
   7099.60  2.2621821E-05
   7099.80  2.3295724E-05
   7100.00  2.4153998E-05
   7100.20  2.5279175E-05
   7100.40  2.6817682E-05
   7100.60  2.9071148E-05
   7100.80  3.2869642E-05
   7101.00  4.2655623E-05
   7101.20  5.7126059E-04
   7101.40  6.8835359E-05
   7101.60  1.0243234E-04
   7101.80  1.7866947E-04
   7102.00  5.3763635E-04
   7102.20  1.4900187E-03
   7102.40  4.2904389E-03
   7102.60  2.8827356E-04
   7102.80  1.2081800E-04
   7103.00  9.8206024E-05
   7103.20  2.0795715E-03
   7103.40  1.3424419E-04
   7103.60  6.3785741E-05
   7103.80  9.0279812E-05
   7104.00  9.0417142E-05
   7104.20  2.0012220E-04
   7104.40  3.3043561E-03
   7104.60  3.5082463E-04
   7104.80  1.3120275E-03
   7105.00  1.5215700E-02
   7105.20  3.9012562E-04
   7105.40  1.7898519E-04
   7105.60  8.0535223E-05
   7105.80  7.9082967E-05
   7106.00  7.3459758E-05
   7106.20  2.2233541E-04
   7106.40  6.0195722E-05
   7106.60  1.0426081E-04
   7106.80  1.1393628E-03
   7107.00  4.0576441E-04
   7107.20  2.3410188E-04
   7107.40  5.0632160E-04
   7107.60  1.4709074E-03
   7107.80  2.1433383E-03
   7108.00  2.2844980E-02
   7108.20  1.4447256E-02
   7108.40  2.0236757E-03
   7108.60  1.5538014E-04
   7108.80  6.7841617E-03
   7109.00  5.0970970E-03
   7109.20  8.6109240E-03
   7109.40  1.5306859E-02
   7109.60  5.9821219E-04
   7109.80  1.1776524E-04
   7110.00  9.5801847E-04
   7110.20  5.1613022E-03
   7110.40  5.0797683E-03
   7110.60  4.8145402E-03
   7110.80  6.2612484E-03
   7111.00  8.9483541E-03
   7111.20  7.7090763E-03
   7111.40  7.6747598E-03
   7111.60  9.9956168E-03
   7111.80  1.6647879E-02
   7112.00  1.3441411E-02
   7112.20  1.5103624E-02
   7112.40  2.2961947E-02
   7112.60  3.4708273E-02
   7112.80  3.0475640E-02
   7113.00  1.9492920E-02
   7113.20  1.4181916E-02
   7113.40  1.3958338E-02
   7113.60  1.9177881E-02
   7113.80  3.3626720E-02
   7114.00  4.6976899E-02
   7114.20  5.0790885E-02
   7114.40  5.7258489E-02
   7114.60  4.8818082E-02
   7114.80  3.2103074E-02
   7115.00  2.1938186E-02
   7115.20  1.6413477E-02
   7115.40  1.3235675E-02
   7115.60  1.1315528E-02
   7115.80  1.0145846E-02
   7116.00  9.4654251E-03
   7116.20  9.1447719E-03
   7116.40  9.0769305E-03
   7116.60  9.3295118E-03
   7116.80  9.8424017E-03
   7117.00  1.0412988E-02
   7117.20  1.0328061E-02
   7117.40  9.0293241E-03
   7117.60  7.2762277E-03
   7117.80  5.9370907E-03
   7118.00  5.0213947E-03
   7118.20  4.6012044E-03
   7118.40  4.3811733E-03
   7118.60  4.2874030E-03
   7118.80  4.2847785E-03
   7119.00  4.3647939E-03
   7119.20  4.5450774E-03
   7119.40  4.8769089E-03
   7119.60  5.4201749E-03
   7119.80  6.0785457E-03
   7120.00  6.4687096E-03
   7120.20  6.4669744E-03
   7120.40  6.2209682E-03
   7120.60  5.8147986E-03
   7120.80  5.4379831E-03
   7121.00  5.2035237E-03
   7121.20  5.1083868E-03
   7121.40  5.1278060E-03
   7121.60  5.2504297E-03
   7121.80  5.4768071E-03
   7122.00  5.8037449E-03
   7122.20  6.1947885E-03
   7122.40  6.5520578E-03
   7122.60  6.7103212E-03
   7122.80  6.7106312E-03
   7123.00  6.7646326E-03
   7123.20  7.0031683E-03
   7123.40  7.4193687E-03
   7123.60  7.8382324E-03
   7123.80  8.1861786E-03
   7124.00  8.5837590E-03
   7124.20  9.1420600E-03
   7124.40  9.8501736E-03
   7124.60  1.0652165E-02
   7124.80  1.1488237E-02
   7125.00  1.2301937E-02
   7125.20  1.3057287E-02
   7125.40  1.3761605E-02
   7125.60  1.4457960E-02
   7125.80  1.5186277E-02
   7126.00  1.5971361E-02
   7126.20  1.6871064E-02
   7126.40  1.7816898E-02
   7126.60  1.8825403E-02
   7126.80  1.9870408E-02
   7127.00  2.0992256E-02
   7127.20  2.2056120E-02
   7127.40  2.3084143E-02
   7127.60  2.4017466E-02
   7127.80  2.4784138E-02
   7128.00  2.5343497E-02
   7128.20  2.5734175E-02
   7128.40  2.6071852E-02
   7128.60  2.6484741E-02
   7128.80  2.7062055E-02
   7129.00  2.7868902E-02
   7129.20  2.8850150E-02
   7129.40  3.0056926E-02
   7129.60  3.1513043E-02
   7129.80  3.3267843E-02
   7130.00  3.5310862E-02
   7130.20  3.7652128E-02
   7130.40  4.0219742E-02
   7130.60  4.2867736E-02
   7130.80  4.5416779E-02
   7131.00  4.7727168E-02
   7131.20  4.9759353E-02
   7131.40  5.1584028E-02
   7131.60  5.3338971E-02
   7131.80  5.5165520E-02
   7132.00  5.7160388E-02
   7132.20  5.9366502E-02
   7132.40  6.1791291E-02
   7132.60  6.4419620E-02
   7132.80  6.7208034E-02
   7133.00  7.0074793E-02
   7133.20  7.2905792E-02
   7133.40  7.5572084E-02
   7133.60  7.7949026E-02
   7133.80  7.9932092E-02
   7134.00  8.1438776E-02
   7134.20  8.2466373E-02
   7134.40  8.2841716E-02
   7134.60  8.2660594E-02
   7134.80  8.2025065E-02
   7135.00  8.1036610E-02
   7135.20  7.9683399E-02
   7135.40  7.7901883E-02
   7135.60  7.5643987E-02
   7135.80  7.2900355E-02
   7136.00  6.9746889E-02
   7136.20  6.6341152E-02
   7136.40  6.2862516E-02
   7136.60  5.9457892E-02
   7136.80  5.6223683E-02
   7137.00  5.3210785E-02
   7137.20  5.0439800E-02
   7137.40  4.7911422E-02
   7137.60  4.5616285E-02
   7137.80  4.3539055E-02
   7138.00  4.1663947E-02
   7138.20  3.9976430E-02
   7138.40  3.8465234E-02
   7138.60  3.7123981E-02
   7138.80  3.5949515E-02
   7139.00  3.4940869E-02
   7139.20  3.4097104E-02
   7139.40  3.3414058E-02
   7139.60  3.2882885E-02
   7139.80  3.2490618E-02
   7140.00  3.2221034E-02
   7140.20  3.2056963E-02
   7140.40  3.1982458E-02
   7140.60  3.1983444E-02
   7140.80  3.2044883E-02
   7141.00  3.2156311E-02
   7141.20  3.2307859E-02
   7141.40  3.2490153E-02
   7141.60  3.2694394E-02
   7141.80  3.2912157E-02
   7142.00  3.3136154E-02
   7142.20  3.3360885E-02
   7142.40  3.3582801E-02
   7142.60  3.3801370E-02
   7142.80  3.4018607E-02
   7143.00  3.4238177E-02
   7143.20  3.4464461E-02
   7143.40  3.4700907E-02
   7143.60  3.4949020E-02
   7143.80  3.5207087E-02
   7144.00  3.5470348E-02
   7144.20  3.5730705E-02
   7144.40  3.5977770E-02
   7144.60  3.6199660E-02
   7144.80  3.6384394E-02
   7145.00  3.6520596E-02
   7145.20  3.6598561E-02
   7145.40  3.6610857E-02
   7145.60  3.6552701E-02
   7145.80  3.6422048E-02
   7146.00  3.6219694E-02
   7146.20  3.5949214E-02
   7146.40  3.5616722E-02
   7146.60  3.5230662E-02
   7146.80  3.4801125E-02
   7147.00  3.4339150E-02
   7147.20  3.3856029E-02
   7147.40  3.3362350E-02
   7147.60  3.2873346E-02
   7147.80  3.2410335E-02
   7148.00  3.1960600E-02
   7148.20  3.1530048E-02
   7148.40  3.1117260E-02
   7148.60  3.0728208E-02
   7148.80  3.0365060E-02
   7149.00  3.0029348E-02
   7149.20  2.9722003E-02
   7149.40  2.9443572E-02
   7149.60  2.9194705E-02
   7149.80  2.8974814E-02
   7150.00  2.8783305E-02
   7150.20  2.8613359E-02
   7150.40  2.8474765E-02
   7150.60  2.8364534E-02
   7150.80  2.8279017E-02
   7151.00  2.8217450E-02
   7151.20  2.8178604E-02
   7151.40  2.8161631E-02
   7151.60  2.8165879E-02
   7151.80  2.8190863E-02
   7152.00  2.8235882E-02
   7152.20  2.8300304E-02
   7152.40  2.8383360E-02
   7152.60  2.8484026E-02
   7152.80  2.8601108E-02
   7153.00  2.8732791E-02
   7153.20  2.8876748E-02
   7153.40  2.9030226E-02
   7153.60  2.9189925E-02
   7153.80  2.9352228E-02
   7154.00  2.9513177E-02
   7154.20  2.9668387E-02
   7154.40  2.9813515E-02
   7154.60  2.9944554E-02
   7154.80  3.0058057E-02
   7155.00  3.0151379E-02
   7155.20  3.0222882E-02
   7155.40  3.0271800E-02
   7155.60  3.0298339E-02
   7155.80  3.0304456E-02
   7156.00  3.0291361E-02
   7156.20  3.0261908E-02
   7156.40  3.0219342E-02
   7156.60  3.0167203E-02
   7156.80  3.0108943E-02
   7157.00  3.0047695E-02
   7157.20  2.9986533E-02
   7157.40  2.9928006E-02
   7157.60  2.9874346E-02
   7157.80  2.9827379E-02
   7158.00  2.9788461E-02
   7158.20  2.9758641E-02
   7158.40  2.9738591E-02
   7158.60  2.9728394E-02
   7158.80  2.9728141E-02
   7159.00  2.9737471E-02
   7159.20  2.9755892E-02
   7159.40  2.9782688E-02
   7159.60  2.9817058E-02
   7159.80  2.9858065E-02
   7160.00  2.9904767E-02
   7160.20  2.9956197E-02
   7160.40  3.0012933E-02
   7160.60  3.0071051E-02
   7160.80  3.0129413E-02
   7161.00  3.0190370E-02
   7161.20  3.0251859E-02
   7161.40  3.0313480E-02
   7161.60  3.0374920E-02
   7161.80  3.0436047E-02
   7162.00  3.0496811E-02
   7162.20  3.0555752E-02
   7162.40  3.0616196E-02
   7162.60  3.0675707E-02
   7162.80  3.0737441E-02
   7163.00  3.0808763E-02
   7163.20  3.0875547E-02
   7163.40  3.0942405E-02
   7163.60  3.1011773E-02
   7163.80  3.1084467E-02
   7164.00  3.1160212E-02
   7164.20  3.1238926E-02
   7164.40  3.1320587E-02
   7164.60  3.1405654E-02
   7164.80  3.1493441E-02
   7165.00  3.1582547E-02
   7165.20  3.1672025E-02
   7165.40  3.1760757E-02
   7165.60  3.1847411E-02
   7165.80  3.1930715E-02
   7166.00  3.2009026E-02
   7166.20  3.2080399E-02
   7166.40  3.2143069E-02
   7166.60  3.2195325E-02
   7166.80  3.2235450E-02
   7167.00  3.2262078E-02
   7167.20  3.2274204E-02
   7167.40  3.2270180E-02
   7167.60  3.2249093E-02
   7167.80  3.2210396E-02
   7168.00  3.2153853E-02
   7168.20  3.2079709E-02
   7168.40  3.1988457E-02
   7168.60  3.1881483E-02
   7168.80  3.1759683E-02
   7169.00  3.1615497E-02
   7169.20  3.1470184E-02
   7169.40  3.1314846E-02
   7169.60  3.1152766E-02
   7169.80  3.0986450E-02
   7170.00  3.0818114E-02
   7170.20  3.0650479E-02
   7170.40  3.0485645E-02
   7170.60  3.0325429E-02
   7170.80  3.0171714E-02
   7171.00  3.0026119E-02
   7171.20  2.9890048E-02
   7171.40  2.9764555E-02
   7171.60  2.9650451E-02
   7171.80  2.9548352E-02
   7172.00  2.9458693E-02
