  7112.000   26  1  1  1.8221289E-02 -2.3720988E+00 -1.6838467E+00  1  1  7.2657295E+03  0.0000000E+00  0.0000000E+00  2.3734050E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.2239600E-05
   7097.20  2.2791493E-05
   7097.40  2.3551263E-05
   7097.60  2.4646803E-05
   7097.80  2.6332832E-05
   7098.00  2.9173760E-05
   7098.20  3.4660655E-05
   7098.40  4.7909932E-05
   7098.60  9.7757804E-05
   7098.80  1.8928575E-03
   7099.00  5.9940991E-04
   7099.20  9.0567688E-05
   7099.40  4.9106010E-05
   7099.60  3.8421510E-05
   7099.80  3.5070775E-05
   7100.00  3.4789923E-05
   7100.20  3.6711239E-05
   7100.40  4.1373786E-05
   7100.60  5.1267249E-05
   7100.80  7.5382455E-05
   7101.00  1.6503117E-04
   7101.20  8.8976049E-03
   7101.40  2.0693496E-03
   7101.60  2.9299911E-04
   7101.80  3.1110336E-02
   7102.00  2.2006002E-04
   7102.20  8.0997686E-05
   7102.40  5.6185759E-05
   7102.60  4.9240951E-05
   7102.80  5.1550117E-05
   7103.00  8.6506519E-05
   7103.20  1.6657090E-03
   7103.40  1.8140410E-04
   7103.60  9.8733089E-05
   7103.80  7.2433196E-05
   7104.00  1.6739999E-03
   7104.20  8.9642432E-05
   7104.40  6.0852992E-05
   7104.60  6.3572369E-05
   7104.80  7.4504852E-05
   7105.00  9.6841762E-05
   7105.20  1.5283986E-04
   7105.40  7.5365695E-04
   7105.60  5.3797499E-04
   7105.80  2.1125454E-03
   7106.00  2.4956697E-02
   7106.20  1.0463158E-03
   7106.40  3.1982301E-04
   7106.60  1.7692764E-04
   7106.80  1.2905775E-04
   7107.00  1.1252229E-04
   7107.20  1.1310424E-04
   7107.40  1.3151315E-04
   7107.60  1.9013709E-04
   7107.80  6.3729160E-03
   7108.00  1.5222387E-03
   7108.20  6.3506784E-02
   7108.40  2.1036576E-03
   7108.60  6.4118383E-04
   7108.80  2.9542740E-04
   7109.00  9.3759377E-04
   7109.20  9.7867772E-04
   7109.40  3.0055699E-03
   7109.60  1.6170313E-03
   7109.80  5.8766908E-03
   7110.00  6.9076524E-03
   7110.20  3.5449131E-02
   7110.40  1.1511111E-02
   7110.60  3.5694859E-03
   7110.80  7.0768978E-03
   7111.00  8.1482686E-03
   7111.20  1.8854886E-02
   7111.40  3.8469670E-02
   7111.60  4.5435317E-02
   7111.80  5.7309860E-02
   7112.00  5.1874092E-02
   7112.20  4.7396915E-02
   7112.40  3.6272452E-02
   7112.60  3.1220001E-02
   7112.80  3.6699274E-02
   7113.00  4.4464270E-02
   7113.20  3.5628995E-02
   7113.40  2.6327544E-02
   7113.60  1.5124335E-02
   7113.80  8.3495763E-03
   7114.00  5.2139259E-03
   7114.20  3.6828319E-03
   7114.40  2.8575153E-03
   7114.60  2.3791582E-03
   7114.80  1.9781319E-03
   7115.00  1.8398137E-03
   7115.20  1.7793128E-03
   7115.40  1.7861117E-03
   7115.60  1.8653634E-03
   7115.80  2.0720308E-03
   7116.00  2.5416347E-03
   7116.20  3.4126488E-03
   7116.40  3.2933185E-03
   7116.60  3.8255534E-03
   7116.80  4.9943046E-03
   7117.00  7.0591404E-03
   7117.20  1.0760748E-02
   7117.40  1.7510535E-02
   7117.60  2.8586952E-02
   7117.80  3.9111561E-02
   7118.00  3.7660949E-02
   7118.20  2.8584836E-02
   7118.40  2.0883941E-02
   7118.60  1.5952271E-02
   7118.80  1.2920015E-02
   7119.00  1.1030726E-02
   7119.20  9.8370073E-03
   7119.40  9.0876056E-03
   7119.60  8.6314828E-03
   7119.80  8.3586973E-03
   7120.00  8.1960453E-03
   7120.20  8.1287275E-03
   7120.40  8.1741801E-03
   7120.60  8.3679746E-03
   7120.80  8.7985658E-03
   7121.00  9.6195494E-03
   7121.20  1.1008843E-02
   7121.40  1.2926015E-02
   7121.60  1.4614705E-02
   7121.80  1.5152171E-02
   7122.00  1.4869716E-02
   7122.20  1.4574114E-02
   7122.40  1.4611154E-02
   7122.60  1.5012310E-02
   7122.80  1.5730771E-02
   7123.00  1.6707625E-02
   7123.20  1.7914709E-02
   7123.40  1.9320521E-02
   7123.60  2.0924610E-02
   7123.80  2.2753755E-02
   7124.00  2.4862450E-02
   7124.20  2.7326315E-02
   7124.40  3.0219413E-02
   7124.60  3.3580560E-02
   7124.80  3.7347512E-02
   7125.00  4.1277783E-02
   7125.20  4.4914480E-02
   7125.40  4.7697174E-02
   7125.60  4.9203959E-02
   7125.80  4.9316497E-02
   7126.00  4.7915739E-02
   7126.20  4.5302109E-02
   7126.40  4.1808874E-02
   7126.60  3.8172743E-02
   7126.80  3.5076260E-02
   7127.00  3.2892767E-02
   7127.20  3.1696126E-02
   7127.40  3.1360494E-02
   7127.60  3.1577990E-02
   7127.80  3.2019095E-02
   7128.00  3.2294297E-02
   7128.20  3.2368061E-02
   7128.40  3.2282151E-02
   7128.60  3.2103752E-02
   7128.80  3.1919858E-02
   7129.00  3.1847354E-02
   7129.20  3.1993708E-02
   7129.40  3.2415828E-02
   7129.60  3.3132955E-02
   7129.80  3.4164329E-02
   7130.00  3.5551882E-02
   7130.20  3.7358883E-02
   7130.40  3.9641708E-02
   7130.60  4.2382826E-02
   7130.80  4.5371108E-02
   7131.00  4.8103052E-02
