  7112.000   26  1  1  1.7483983E-02 -2.6158546E+00 -1.9143644E+00  1  1  7.2658850E+03  0.0000000E+00  0.0000000E+00  2.1970291E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.3409918E-05
   7097.20  2.2668989E-05
   7097.40  2.2378444E-05
   7097.60  2.2684491E-05
   7097.80  2.5005065E-05
   7098.00  6.4426312E-05
   7098.20  4.4610454E-05
   7098.40  2.4080884E-05
   7098.60  2.2138299E-05
   7098.80  2.1675189E-05
   7099.00  2.1612837E-05
   7099.20  2.1752086E-05
   7099.40  2.2058263E-05
   7099.60  2.2565372E-05
   7099.80  2.3382170E-05
   7100.00  2.4776385E-05
   7100.20  2.7488400E-05
   7100.40  3.4222429E-05
   7100.60  6.2373338E-05
   7100.80  1.1783722E-03
   7101.00  1.2572551E-04
   7101.20  1.4698935E-04
   7101.40  6.7472971E-05
   7101.60  3.8205235E-05
   7101.80  4.1451467E-05
   7102.00  7.9050367E-05
   7102.20  1.9442537E-02
   7102.40  2.5907934E-04
   7102.60  5.7542992E-05
   7102.80  4.0366275E-05
   7103.00  4.3763230E-05
   7103.20  8.5155956E-05
   7103.40  1.5458550E-03
   7103.60  9.6862484E-05
   7103.80  1.4612004E-02
   7104.00  7.8119070E-05
   7104.20  1.3249355E-04
   7104.40  1.0713180E-03
   7104.60  8.0939957E-05
   7104.80  1.5463512E-03
   7105.00  1.0634970E-04
   7105.20  8.7762995E-04
   7105.40  4.6893468E-04
   7105.60  8.3335608E-03
   7105.80  5.7311781E-04
   7106.00  4.4959831E-03
   7106.20  2.4433606E-04
   7106.40  2.1690644E-04
   7106.60  4.3990630E-03
   7106.80  5.1539724E-04
   7107.00  4.8925437E-03
   7107.20  1.0014526E-03
   7107.40  2.3860650E-03
   7107.60  1.3969428E-02
   7107.80  4.7195651E-04
   7108.00  5.7247241E-03
   7108.20  9.2081767E-04
   7108.40  4.2651606E-04
   7108.60  2.1304249E-03
   7108.80  2.0114847E-03
   7109.00  1.3393461E-02
   7109.20  2.0981015E-03
   7109.40  6.9066151E-03
   7109.60  8.9932284E-03
   7109.80  1.5634429E-03
   7110.00  3.2221392E-03
   7110.20  1.0465354E-02
   7110.40  4.3569941E-02
   7110.60  1.1444584E-02
   7110.80  1.3169682E-02
   7111.00  1.4015638E-02
   7111.20  4.7905381E-02
   7111.40  1.5437026E-02
   7111.60  1.1345594E-02
   7111.80  1.1921019E-02
   7112.00  1.9099854E-02
   7112.20  3.3383748E-02
   7112.40  4.0952003E-02
   7112.60  3.3228169E-02
   7112.80  2.7262150E-02
   7113.00  4.5552114E-02
   7113.20  3.3676907E-02
   7113.40  1.3725310E-02
   7113.60  8.6869367E-03
   7113.80  6.4906706E-03
   7114.00  5.2253778E-03
   7114.20  4.4349051E-03
   7114.40  3.9815674E-03
   7114.60  3.7797215E-03
   7114.80  3.7818154E-03
   7115.00  3.9749045E-03
   7115.20  4.3841347E-03
   7115.40  5.0955814E-03
   7115.60  6.3026577E-03
   7115.80  8.4029486E-03
   7116.00  1.2128102E-02
   7116.20  1.7951430E-02
   7116.40  2.3631444E-02
   7116.60  2.5898113E-02
   7116.80  2.9094394E-02
   7117.00  3.9844519E-02
   7117.20  5.2657963E-02
   7117.40  4.4329004E-02
   7117.60  2.8876426E-02
   7117.80  1.9504873E-02
   7118.00  1.4542278E-02
   7118.20  1.1859070E-02
   7118.40  1.0377688E-02
   7118.60  9.5421653E-03
   7118.80  9.0369317E-03
   7119.00  8.6367320E-03
   7119.20  8.2149589E-03
   7119.40  7.8766954E-03
   7119.60  7.7463873E-03
   7119.80  7.7860964E-03
   7120.00  7.7317308E-03
   7120.20  7.3770423E-03
   7120.40  6.9533896E-03
   7120.60  6.6821250E-03
   7120.80  6.5877364E-03
   7121.00  6.6439603E-03
   7121.20  6.8053892E-03
   7121.40  6.9467155E-03
   7121.60  6.9172068E-03
   7121.80  6.7846692E-03
   7122.00  6.7014481E-03
   7122.20  6.7428701E-03
   7122.40  6.9932216E-03
   7122.60  7.5491435E-03
   7122.80  8.3847104E-03
   7123.00  9.3817775E-03
   7123.20  1.0461305E-02
   7123.40  1.1617864E-02
   7123.60  1.2856889E-02
   7123.80  1.4220347E-02
   7124.00  1.5661537E-02
   7124.20  1.7080678E-02
   7124.40  1.8327229E-02
   7124.60  1.9210881E-02
   7124.80  1.9663151E-02
   7125.00  1.9744175E-02
   7125.20  1.9646512E-02
   7125.40  1.9618573E-02
   7125.60  1.9865621E-02
   7125.80  2.0479631E-02
   7126.00  2.1383301E-02
   7126.20  2.2277172E-02
   7126.40  2.2730633E-02
   7126.60  2.2643341E-02
   7126.80  2.2390811E-02
   7127.00  2.2368898E-02
   7127.20  2.2685066E-02
   7127.40  2.3290408E-02
   7127.60  2.3957521E-02
   7127.80  2.4571089E-02
   7128.00  2.5150401E-02
   7128.20  2.5776100E-02
   7128.40  2.6247334E-02
   7128.60  2.6318148E-02
   7128.80  2.6164145E-02
   7129.00  2.6200499E-02
   7129.20  2.6774255E-02
   7129.40  2.7868067E-02
   7129.60  2.9512729E-02
   7129.80  3.1457960E-02
   7130.00  3.3441557E-02
   7130.20  3.5184971E-02
   7130.40  3.6505383E-02
   7130.60  3.7394330E-02
   7130.80  3.7992234E-02
   7131.00  3.8487388E-02
   7131.20  3.9026130E-02
   7131.40  3.9672598E-02
   7131.60  4.0409636E-02
   7131.80  4.1164198E-02
   7132.00  4.1844108E-02
   7132.20  4.2384568E-02
   7132.40  4.2787911E-02
   7132.60  4.3133469E-02
   7132.80  4.3535416E-02
   7133.00  4.4060975E-02
   7133.20  4.4684531E-02
   7133.40  4.5327261E-02
   7133.60  4.5915827E-02
   7133.80  4.6407802E-02
   7134.00  4.6878620E-02
   7134.20  4.7566239E-02
   7134.40  4.8648122E-02
   7134.60  5.0090268E-02
   7134.80  5.1738065E-02
   7135.00  5.3397030E-02
   7135.20  5.4858033E-02
   7135.40  5.5925391E-02
   7135.60  5.6460473E-02
   7135.80  5.6418013E-02
   7136.00  5.5847556E-02
   7136.20  5.4860856E-02
   7136.40  5.3587049E-02
   7136.60  5.2138249E-02
   7136.80  5.0594733E-02
   7137.00  4.9005824E-02
   7137.20  4.7399174E-02
   7137.40  4.5793172E-02
   7137.60  4.4205318E-02
   7137.80  4.2658695E-02
   7138.00  4.1182531E-02
   7138.20  3.9810907E-02
   7138.40  3.8579437E-02
   7138.60  3.7521401E-02
   7138.80  3.6664171E-02
   7139.00  3.6025320E-02
   7139.20  3.5609956E-02
   7139.40  3.5409517E-02
   7139.60  3.5402995E-02
   7139.80  3.5556622E-02
   7140.00  3.5839098E-02
   7140.20  3.6218862E-02
   7140.40  3.6667501E-02
   7140.60  3.7161792E-02
   7140.80  3.7684675E-02
   7141.00  3.8224908E-02
   7141.20  3.8776071E-02
   7141.40  3.9336016E-02
   7141.60  3.9905431E-02
   7141.80  4.0486338E-02
   7142.00  4.1081118E-02
   7142.20  4.1691215E-02
   7142.40  4.2316082E-02
   7142.60  4.2952353E-02
   7142.80  4.3593676E-02
   7143.00  4.4230253E-02
   7143.20  4.4849359E-02
   7143.40  4.5436495E-02
   7143.60  4.5976759E-02
   7143.80  4.6455926E-02
   7144.00  4.6861582E-02
   7144.20  4.7183411E-02
   7144.40  4.7413752E-02
   7144.60  4.7547387E-02
   7144.80  4.7578836E-02
   7145.00  4.7506778E-02
   7145.20  4.7330472E-02
   7145.40  4.7050872E-02
   7145.60  4.6672643E-02
   7145.80  4.6194321E-02
   7146.00  4.5632729E-02
   7146.20  4.4998723E-02
   7146.40  4.4308411E-02
   7146.60  4.3580228E-02
   7146.80  4.2859322E-02
   7147.00  4.2150111E-02
   7147.20  4.1452046E-02
   7147.40  4.0776326E-02
   7147.60  4.0120804E-02
   7147.80  3.9510964E-02
   7148.00  3.8938791E-02
   7148.20  3.8404218E-02
   7148.40  3.7905744E-02
   7148.60  3.7440964E-02
   7148.80  3.7007186E-02
   7149.00  3.6601869E-02
   7149.20  3.6222128E-02
   7149.40  3.5856039E-02
   7149.60  3.5522220E-02
   7149.80  3.5208570E-02
   7150.00  3.4914548E-02
   7150.20  3.4639642E-02
   7150.40  3.4383675E-02
   7150.60  3.4146923E-02
   7150.80  3.3930226E-02
   7151.00  3.3733879E-02
   7151.20  3.3558627E-02
   7151.40  3.3405113E-02
   7151.60  3.3268732E-02
   7151.80  3.3155150E-02
   7152.00  3.3070351E-02
   7152.20  3.3008599E-02
   7152.40  3.2969580E-02
   7152.60  3.2956611E-02
   7152.80  3.2960776E-02
   7153.00  3.2984307E-02
   7153.20  3.3025321E-02
   7153.40  3.3081681E-02
   7153.60  3.3150914E-02
   7153.80  3.3230223E-02
   7154.00  3.3316600E-02
   7154.20  3.3407087E-02
   7154.40  3.3498782E-02
   7154.60  3.3590085E-02
   7154.80  3.3682791E-02
   7155.00  3.3764648E-02
   7155.20  3.3838062E-02
   7155.40  3.3901552E-02
   7155.60  3.3954093E-02
   7155.80  3.3995101E-02
   7156.00  3.4024194E-02
   7156.20  3.4041451E-02
   7156.40  3.4047473E-02
   7156.60  3.4042644E-02
   7156.80  3.4027819E-02
   7157.00  3.4004009E-02
   7157.20  3.3972345E-02
   7157.40  3.3934062E-02
   7157.60  3.3890553E-02
   7157.80  3.3843124E-02
   7158.00  3.3793371E-02
   7158.20  3.3742407E-02
   7158.40  3.3691549E-02
   7158.60  3.3642303E-02
