  7112.000   26  1  1  1.4831610E-02 -2.5829552E+00 -1.5796585E+00  1  1  7.2655081E+03  0.0000000E+00  0.0000000E+00  2.3334589E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0050770E-05
   7097.20  1.9996397E-05
   7097.40  1.9964387E-05
   7097.60  1.9952951E-05
   7097.80  1.9961229E-05
   7098.00  1.9989161E-05
   7098.20  2.0037470E-05
   7098.40  2.0107795E-05
   7098.60  2.0202925E-05
   7098.80  2.0327317E-05
   7099.00  2.0488164E-05
   7099.20  2.0697473E-05
   7099.40  2.0976976E-05
   7099.60  2.1371594E-05
   7099.80  2.1998312E-05
   7100.00  2.3384270E-05
   7100.20  6.8149448E-05
   7100.40  2.9941690E-05
   7100.60  5.7317013E-05
   7100.80  4.6245601E-04
   7101.00  3.8011748E-05
   7101.20  2.8705133E-05
   7101.40  2.7602206E-05
   7101.60  2.8469345E-05
   7101.80  3.0748435E-05
   7102.00  3.5194259E-05
   7102.20  4.4889744E-05
   7102.40  8.0711194E-05
   7102.60  2.1942127E-04
   7102.80  1.6941251E-03
   7103.00  5.4475492E-04
   7103.20  1.1600665E-04
   7103.40  2.7889896E-04
   7103.60  1.3288879E-04
   7103.80  1.9453392E-03
   7104.00  3.9292291E-04
   7104.20  1.8039678E-04
   7104.40  4.9757410E-04
   7104.60  1.3997351E-04
   7104.80  2.8367824E-02
   7105.00  2.0204821E-04
   7105.20  2.1982054E-03
   7105.40  2.2035877E-04
   7105.60  2.2036886E-03
   7105.80  1.7466318E-04
   7106.00  3.2799590E-04
   7106.20  9.6496565E-05
   7106.40  1.5262477E-04
   7106.60  2.2234171E-04
   7106.80  9.2289924E-04
   7107.00  1.2725985E-04
   7107.20  6.9493849E-04
   7107.40  1.6146436E-03
   7107.60  3.6131036E-02
   7107.80  1.2025739E-03
   7108.00  1.6451755E-03
   7108.20  4.5753588E-04
   7108.40  8.8767659E-04
   7108.60  7.0222528E-03
   7108.80  1.1427006E-03
   7109.00  1.2932550E-03
   7109.20  4.7729161E-02
   7109.40  7.2097209E-03
   7109.60  2.9149432E-03
   7109.80  3.2312496E-03
   7110.00  7.3956900E-03
   7110.20  6.8929645E-02
   7110.40  4.1218477E-02
   7110.60  1.8399094E-02
   7110.80  1.2982208E-02
   7111.00  1.2812749E-02
   7111.20  2.8360919E-02
   7111.40  2.6025457E-02
   7111.60  1.6774242E-02
   7111.80  1.5980223E-02
   7112.00  1.1980034E-02
   7112.20  7.3141703E-03
   7112.40  8.0490700E-03
   7112.60  1.0308181E-02
   7112.80  1.2510604E-02
   7113.00  1.5480887E-02
   7113.20  2.4106672E-02
   7113.40  3.5828136E-02
   7113.60  3.9614857E-02
   7113.80  4.0308984E-02
   7114.00  3.6405803E-02
   7114.20  4.0127148E-02
   7114.40  4.1858407E-02
   7114.60  2.8925409E-02
   7114.80  1.8794466E-02
   7115.00  1.4001387E-02
   7115.20  1.2140369E-02
   7115.40  1.2259913E-02
   7115.60  1.4338122E-02
   7115.80  1.8277638E-02
   7116.00  2.1842225E-02
   7116.20  2.1510647E-02
   7116.40  1.8164452E-02
   7116.60  1.4950879E-02
   7116.80  1.2654321E-02
   7117.00  1.1235701E-02
   7117.20  1.0517762E-02
   7117.40  1.0121976E-02
   7117.60  9.4915612E-03
   7117.80  8.8322666E-03
   7118.00  8.3460003E-03
   7118.20  8.0988461E-03
   7118.40  7.9964159E-03
   7118.60  7.9347391E-03
   7118.80  7.8299967E-03
   7119.00  7.6580580E-03
   7119.20  7.4538589E-03
   7119.40  7.2564378E-03
   7119.60  7.0755298E-03
   7119.80  6.9162476E-03
   7120.00  6.7997101E-03
   7120.20  6.7324126E-03
   7120.40  6.6865116E-03
   7120.60  6.6341917E-03
   7120.80  6.5951311E-03
   7121.00  6.6138495E-03
   7121.20  6.6926424E-03
   7121.40  6.7901115E-03
   7121.60  6.8597923E-03
   7121.80  6.8870837E-03
   7122.00  6.8913729E-03
   7122.20  6.9101760E-03
   7122.40  6.9822544E-03
