  7112.000   26  1  1  1.8769324E-02 -2.6964493E+00 -5.6157879E-01  1  1  7.2652544E+03  0.0000000E+00  0.0000000E+00  2.9570339E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  7.7037830E-04
   7097.20  1.6221121E-04
   7097.40  9.0687478E-05
   7097.60  6.4152806E-05
   7097.80  5.0797032E-05
   7098.00  4.3010791E-05
   7098.20  3.8059510E-05
   7098.40  3.4730906E-05
   7098.60  3.2411031E-05
   7098.80  3.0761814E-05
   7099.00  2.9583751E-05
   7099.20  2.8754955E-05
   7099.40  2.8199065E-05
   7099.60  2.7869303E-05
   7099.80  2.7740135E-05
   7100.00  2.7802777E-05
   7100.20  2.8065603E-05
   7100.40  2.8557398E-05
   7100.60  2.9337183E-05
   7100.80  3.0516785E-05
   7101.00  3.2313090E-05
   7101.20  3.5185789E-05
   7101.40  4.0274389E-05
   7101.60  5.1273639E-05
   7101.80  8.8990641E-05
   7102.00  3.3615319E-03
   7102.20  4.6928013E-03
   7102.40  3.0433330E-04
   7102.60  7.4794982E-04
   7102.80  3.9461375E-03
   7103.00  1.8910074E-04
   7103.20  1.3025699E-03
   7103.40  1.0811727E-04
   7103.60  9.3423920E-05
   7103.80  1.7578617E-04
   7104.00  1.8525824E-03
   7104.20  1.1607652E-02
   7104.40  4.0341888E-04
   7104.60  2.0628137E-04
   7104.80  1.5921739E-03
   7105.00  5.0656154E-04
   7105.20  7.3911601E-04
   7105.40  6.5303060E-04
   7105.60  2.9649508E-04
   7105.80  9.0914324E-04
   7106.00  1.3309922E-02
   7106.20  5.2126163E-03
   7106.40  1.4489436E-03
   7106.60  5.2973961E-04
   7106.80  1.2104517E-02
   7107.00  4.7721119E-02
   7107.20  1.9802440E-03
   7107.40  4.8275136E-03
   7107.60  9.3668457E-03
   7107.80  3.5024546E-03
   7108.00  1.7516798E-02
   7108.20  4.5826298E-03
   7108.40  3.4189570E-02
   7108.60  5.9065054E-03
   7108.80  6.5845026E-03
   7109.00  4.0424921E-03
   7109.20  2.9337564E-02
   7109.40  2.8080239E-02
   7109.60  1.8840418E-02
   7109.80  4.7792846E-03
   7110.00  2.0949944E-02
   7110.20  1.8086112E-02
   7110.40  1.0941294E-02
   7110.60  1.9705282E-02
   7110.80  1.4154001E-02
   7111.00  2.7544389E-02
   7111.20  1.2408867E-02
   7111.40  8.4344966E-03
   7111.60  1.3299058E-02
   7111.80  7.0811138E-03
   7112.00  8.1703348E-03
   7112.20  1.8055175E-02
   7112.40  1.8850425E-02
   7112.60  3.6133906E-02
   7112.80  2.3277933E-02
   7113.00  1.0136165E-02
   7113.20  6.0832060E-03
   7113.40  5.0671400E-03
   7113.60  4.3391256E-03
