  7112.000   26  1  1  2.1021431E-02 -3.7969006E+00 -2.4889110E+00  1  1  7.2664887E+03  0.0000000E+00  0.0000000E+00  2.7102213E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.0510122E-05
   7097.20  3.8794022E-05
   7097.40  6.3695976E-05
   7097.60  2.2674377E-04
   7097.80  4.4986746E-03
   7098.00  1.2633174E-04
   7098.20  5.4188655E-05
   7098.40  3.9694742E-05
   7098.60  3.6058177E-05
   7098.80  3.7246502E-05
   7099.00  4.3998239E-05
   7099.20  6.6049911E-05
   7099.40  1.9034270E-04
   7099.60  3.1546620E-02
   7099.80  1.9365809E-04
   7100.00  1.5021399E-03
   7100.20  1.1375286E-04
   7100.40  6.3425133E-05
   7100.60  1.1449235E-04
   7100.80  2.9811170E-04
   7101.00  6.6074274E-04
   7101.20  1.0222475E-04
   7101.40  5.5335569E-05
   7101.60  5.6538793E-05
   7101.80  1.2256824E-04
   7102.00  1.4997437E-03
   7102.20  1.3166936E-04
   7102.40  2.3435887E-03
   7102.60  2.2722595E-04
   7102.80  3.1304452E-03
   7103.00  3.7269444E-04
   7103.20  3.1455270E-03
   7103.40  1.0585115E-04
   7103.60  6.0317430E-05
   7103.80  5.6219914E-05
   7104.00  1.2312665E-03
   7104.20  6.9227914E-05
   7104.40  2.4519248E-04
   7104.60  2.1413634E-04
   7104.80  1.1548445E-04
   7105.00  3.4829149E-03
   7105.20  1.5084262E-04
   7105.40  1.5375440E-04
   7105.60  1.5330288E-03
   7105.80  2.4063817E-04
   7106.00  1.3608468E-03
   7106.20  7.4887631E-03
   7106.40  2.1848603E-03
   7106.60  3.9829896E-04
   7106.80  1.7913370E-04
   7107.00  1.5124066E-04
   7107.20  1.7869496E-03
   7107.40  2.6607669E-04
   7107.60  3.7100500E-04
   7107.80  8.2431243E-03
   7108.00  7.9518793E-03
   7108.20  1.5481548E-02
   7108.40  6.7852659E-03
   7108.60  6.1616934E-03
   7108.80  7.5126520E-03
   7109.00  8.3535145E-03
   7109.20  7.8880822E-03
   7109.40  7.0545484E-03
   7109.60  1.7562576E-02
   7109.80  1.8849972E-02
   7110.00  6.7123026E-03
   7110.20  6.7168386E-03
   7110.40  1.1874548E-02
   7110.60  1.0912901E-02
   7110.80  1.1299337E-02
   7111.00  1.6336576E-02
   7111.20  2.3452584E-02
   7111.40  3.9744781E-02
