  7112.000   26  1  1  1.6041165E-02 -3.0804182E+00 -2.2953980E+00  1  1  7.2662927E+03  0.0000000E+00  0.0000000E+00  2.0969870E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.4993254E-05
   7097.20  2.3235147E-05
   7097.40  2.2288217E-05
   7097.60  2.1750268E-05
   7097.80  2.1451173E-05
   7098.00  2.1311603E-05
   7098.20  2.1294590E-05
   7098.40  2.1387144E-05
   7098.60  2.1595549E-05
   7098.80  2.1946476E-05
   7099.00  2.2498976E-05
   7099.20  2.3374111E-05
   7099.40  2.4843184E-05
   7099.60  2.7585734E-05
   7099.80  3.3740259E-05
   7100.00  5.3397051E-05
   7100.20  2.1410503E-04
   7100.40  8.9435907E-04
   7100.60  7.9913913E-05
   7100.80  8.7881211E-05
   7101.00  1.0306396E-04
   7101.20  3.7307915E-05
   7101.40  3.5432174E-05
   7101.60  5.3343670E-05
   7101.80  3.5793979E-03
   7102.00  1.6862042E-04
   7102.20  1.2073817E-04
   7102.40  4.1963738E-05
   7102.60  4.1451137E-05
   7102.80  2.4546176E-04
   7103.00  7.6134095E-05
   7103.20  3.1260183E-04
   7103.40  4.1986138E-05
   7103.60  3.9005445E-05
   7103.80  6.6761855E-05
   7104.00  1.6992703E-04
   7104.20  5.1181421E-05
   7104.40  2.5287547E-04
   7104.60  6.9412129E-05
   7104.80  1.6061707E-04
   7105.00  1.6087244E-04
   7105.20  6.7169317E-04
   7105.40  2.3555764E-04
   7105.60  1.2815047E-03
   7105.80  1.2573490E-04
   7106.00  1.9793908E-04
   7106.20  1.5075749E-02
   7106.40  3.5371997E-04
   7106.60  2.1903137E-03
   7106.80  3.0471523E-03
   7107.00  7.1530237E-04
   7107.20  1.4009411E-02
   7107.40  2.5256805E-02
   7107.60  2.6738100E-04
   7107.80  3.1851258E-04
