  7112.000   26  1  1  1.5299730E-02 -2.5442376E+00 -2.1775143E+00  1  1  7.2661159E+03  0.0000000E+00  0.0000000E+00  2.6000333E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.8726715E-02
   7097.20  2.8524974E-04
   7097.40  9.4429187E-05
   7097.60  5.4596770E-05
   7097.80  4.0168887E-05
   7098.00  3.3516368E-05
   7098.20  3.0074314E-05
   7098.40  2.8260907E-05
   7098.60  2.7447859E-05
   7098.80  2.7409050E-05
   7099.00  2.8169023E-05
   7099.20  3.0042242E-05
   7099.40  3.3941745E-05
   7099.60  4.2589468E-05
   7099.80  6.6711378E-05
   7100.00  1.8918366E-04
   7100.20  1.4126024E-02
   7100.40  4.5253693E-04
   7100.60  9.2733032E-05
   7100.80  2.2141113E-04
   7101.00  4.2850500E-05
   7101.20  3.3505662E-05
   7101.40  3.0729007E-05
   7101.60  2.9996161E-05
   7101.80  3.0785369E-05
   7102.00  3.3810839E-05
   7102.20  4.2862681E-05
   7102.40  8.5296709E-05
   7102.60  2.1221006E-03
   7102.80  1.5889982E-04
   7103.00  5.4726042E-05
   7103.20  4.3288669E-05
   7103.40  4.5561965E-05
   7103.60  7.2937274E-05
   7103.80  1.8227010E-04
   7104.00  3.5778430E-03
   7104.20  3.8891159E-04
   7104.40  1.4679842E-04
   7104.60  6.1247482E-05
   7104.80  5.8782981E-05
   7105.00  1.0951703E-04
   7105.20  7.0024157E-03
   7105.40  9.7228935E-05
   7105.60  8.2465599E-05
   7105.80  3.1843643E-03
   7106.00  1.4431986E-03
   7106.20  9.0140268E-05
   7106.40  1.5328065E-04
   7106.60  2.9660442E-04
   7106.80  1.6334628E-04
   7107.00  1.3486174E-03
   7107.20  1.8247085E-02
   7107.40  7.4041323E-03
   7107.60  4.8173140E-04
   7107.80  2.2113020E-02
   7108.00  2.2281420E-02
   7108.20  3.2263112E-04
   7108.40  4.3127704E-04
   7108.60  6.2008053E-03
   7108.80  3.5127420E-03
   7109.00  1.8486663E-03
   7109.20  8.4907765E-03
   7109.40  4.9710597E-02
   7109.60  1.0357427E-02
   7109.80  2.7195484E-04
   7110.00  6.6870706E-03
   7110.20  9.0017589E-03
   7110.40  5.0008872E-03
   7110.60  2.0026703E-03
   7110.80  4.0262937E-03
   7111.00  3.9452180E-03
   7111.20  1.4193206E-02
   7111.40  7.7548682E-03
   7111.60  3.2083122E-02
   7111.80  3.0274484E-02
   7112.00  3.0705738E-02
   7112.20  3.5555732E-02
   7112.40  2.1709592E-02
   7112.60  2.7338101E-02
   7112.80  6.7034574E-02
   7113.00  7.3174081E-02
   7113.20  4.7098962E-02
   7113.40  1.4514455E-02
   7113.60  7.6999578E-03
   7113.80  5.6606252E-03
   7114.00  4.5285202E-03
   7114.20  3.7627317E-03
   7114.40  3.3741327E-03
   7114.60  3.3281574E-03
   7114.80  3.6517539E-03
   7115.00  4.5077945E-03
   7115.20  6.3168191E-03
   7115.40  1.0064168E-02
   7115.60  1.7918625E-02
   7115.80  3.2165789E-02
   7116.00  4.3923488E-02
   7116.20  3.8180749E-02
   7116.40  2.7199956E-02
   7116.60  1.9492173E-02
   7116.80  1.4778549E-02
   7117.00  1.1850287E-02
   7117.20  9.9594945E-03
   7117.40  8.7075733E-03
   7117.60  7.8923489E-03
   7117.80  7.4280355E-03
   7118.00  7.2054435E-03
   7118.20  7.0220790E-03
   7118.40  6.8861209E-03
   7118.60  6.8809339E-03
   7118.80  6.9758413E-03
   7119.00  7.0164618E-03
   7119.20  6.8167469E-03
   7119.40  6.4692681E-03
   7119.60  6.1974693E-03
   7119.80  6.1498398E-03
   7120.00  6.3079426E-03
   7120.20  6.2894135E-03
   7120.40  5.8629443E-03
   7120.60  5.4661916E-03
   7120.80  5.2629147E-03
   7121.00  5.2201980E-03
   7121.20  5.3313761E-03
   7121.40  5.6158276E-03
   7121.60  6.0662208E-03
   7121.80  6.6154303E-03
   7122.00  7.2087294E-03
   7122.20  7.7141150E-03
   7122.40  8.2027961E-03
   7122.60  8.7278688E-03
   7122.80  9.3002117E-03
   7123.00  9.9502006E-03
   7123.20  1.0668759E-02
   7123.40  1.1419698E-02
   7123.60  1.2150704E-02
   7123.80  1.2812989E-02
   7124.00  1.3377646E-02
   7124.20  1.3836679E-02
   7124.40  1.4202765E-02
   7124.60  1.4503195E-02
   7124.80  1.4772437E-02
   7125.00  1.5028509E-02
   7125.20  1.5269079E-02
   7125.40  1.5511540E-02
   7125.60  1.5802143E-02
   7125.80  1.6194397E-02
   7126.00  1.6724895E-02
   7126.20  1.7389830E-02
   7126.40  1.8183828E-02
   7126.60  1.9050460E-02
   7126.80  1.9940579E-02
   7127.00  2.0849463E-02
   7127.20  2.1820704E-02
   7127.40  2.2942181E-02
   7127.60  2.4305130E-02
   7127.80  2.5953296E-02
   7128.00  2.7873324E-02
   7128.20  2.9938748E-02
   7128.40  3.1969398E-02
   7128.60  3.3773849E-02
