  7112.000   26  1  1  1.4742364E-02  2.1469371E+00  0.0000000E+00  1  1  7.2635262E+03  0.0000000E+00  0.0000000E+00  1.7213303E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.7193668E-05
   7097.20  2.6153093E-05
   7097.40  1.3955348E-04
   7097.60  2.4559348E-05
   7097.80  2.3412922E-05
   7098.00  2.2872792E-05
   7098.20  2.2525376E-05
   7098.40  2.2354238E-05
   7098.60  2.2525985E-05
   7098.80  2.5237957E-05
   7099.00  8.0997421E-05
   7099.20  2.8028628E-05
   7099.40  2.2382114E-05
   7099.60  2.1577302E-05
   7099.80  2.1325276E-05
   7100.00  2.1251763E-05
   7100.20  2.1289705E-05
   7100.40  2.1454654E-05
   7100.60  2.1872065E-05
   7100.80  2.3285904E-05
   7101.00  7.8419611E-05
   7101.20  5.8122416E-05
   7101.40  3.2774576E-05
   7101.60  7.7808527E-05
   7101.80  4.1674685E-05
   7102.00  2.7819922E-05
   7102.20  2.4055819E-05
   7102.40  2.3878481E-05
   7102.60  2.4322013E-05
   7102.80  2.5210800E-05
   7103.00  2.6864356E-05
   7103.20  3.3714645E-05
   7103.40  4.2999706E-05
   7103.60  3.6383224E-05
   7103.80  4.5376306E-05
   7104.00  7.0246783E-05
   7104.20  1.7849943E-04
   7104.40  4.3413497E-03
   7104.60  4.1446421E-04
   7104.80  1.0021819E-04
   7105.00  5.7654214E-05
   7105.20  4.5753929E-05
   7105.40  4.3227877E-05
   7105.60  4.7958934E-05
   7105.80  7.3079823E-05
   7106.00  4.5304873E-04
   7106.20  9.1581945E-04
   7106.40  8.3905020E-05
   7106.60  5.6615116E-05
   7106.80  1.2529048E-04
   7107.00  7.8355476E-05
   7107.20  5.3250387E-05
   7107.40  5.4562445E-05
   7107.60  5.3253565E-05
   7107.80  6.3745378E-05
   7108.00  8.9459192E-05
   7108.20  1.9198819E-04
   7108.40  3.9968240E-03
   7108.60  4.2361157E-04
   7108.80  1.7840895E-04
   7109.00  5.2348623E-04
   7109.20  2.5516728E-03
   7109.40  5.5295141E-04
   7109.60  5.2738066E-04
   7109.80  1.3925744E-02
   7110.00  1.2631136E-03
   7110.20  3.3291185E-02
   7110.40  3.3831294E-03
   7110.60  1.9778883E-03
   7110.80  4.2309676E-04
   7111.00  3.2799585E-04
   7111.20  5.3819617E-04
   7111.40  8.5292525E-02
   7111.60  1.0064445E-03
   7111.80  8.8411749E-03
   7112.00  2.8027463E-01
   7112.20  2.2283715E-03
   7112.40  2.2984952E-03
   7112.60  8.8168310E-03
   7112.80  9.9067850E-04
   7113.00  1.7806010E-03
   7113.20  9.2058273E-03
   7113.40  9.0305101E-04
   7113.60  3.4361928E-04
   7113.80  2.7228763E-04
   7114.00  2.8298125E-04
   7114.20  3.9768397E-04
   7114.40  3.3983462E-04
   7114.60  7.7011149E-03
   7114.80  2.3330040E-01
   7115.00  1.1084994E-02
   7115.20  4.1734931E-03
   7115.40  2.5561089E-03
   7115.60  1.9420993E-03
   7115.80  1.6680442E-03
   7116.00  1.5538566E-03
   7116.20  1.5429926E-03
   7116.40  1.6369936E-03
   7116.60  1.9507444E-03
   7116.80  5.1498532E-03
   7117.00  2.7938683E-03
   7117.20  6.0660655E-03
   7117.40  5.3909303E-03
   7117.60  3.3974929E-03
   7117.80  5.0786182E-03
   7118.00  9.1911849E-03
   7118.20  1.7524036E-02
   7118.40  2.6181721E-02
   7118.60  2.3828414E-02
   7118.80  1.7306673E-02
   7119.00  1.2918511E-02
   7119.20  1.0515915E-02
   7119.40  9.3917657E-03
   7119.60  9.3192666E-03
   7119.80  1.0812581E-02
   7120.00  1.7107960E-02
   7120.20  4.6356769E-02
   7120.40  4.0186936E-02
   7120.60  6.9411332E-02
   7120.80  1.9927284E-02
   7121.00  1.0597074E-02
   7121.20  7.8442573E-03
   7121.40  6.6240703E-03
   7121.60  5.9794613E-03
   7121.80  5.5068093E-03
   7122.00  5.2942901E-03
   7122.20  5.1611484E-03
   7122.40  5.0812800E-03
   7122.60  5.0445585E-03
   7122.80  5.2986170E-03
   7123.00  5.3931561E-03
   7123.20  5.5515239E-03
   7123.40  5.7796280E-03
   7123.60  6.0819838E-03
   7123.80  6.4745889E-03
   7124.00  7.0009822E-03
   7124.20  7.7198758E-03
   7124.40  8.7177286E-03
   7124.60  1.0009744E-02
   7124.80  1.1284679E-02
   7125.00  1.2144412E-02
   7125.20  1.2746397E-02
   7125.40  1.3422084E-02
   7125.60  1.4181320E-02
   7125.80  1.4952226E-02
   7126.00  1.5760101E-02
   7126.20  1.6623570E-02
   7126.40  1.7505340E-02
   7126.60  1.8341368E-02
   7126.80  1.9085459E-02
   7127.00  1.9704117E-02
   7127.20  2.0150713E-02
   7127.40  2.0403320E-02
   7127.60  2.0513426E-02
   7127.80  2.0570937E-02
   7128.00  2.0641271E-02
   7128.20  2.0756670E-02
   7128.40  2.0940938E-02
   7128.60  2.1229164E-02
   7128.80  2.1670072E-02
   7129.00  2.2312008E-02
   7129.20  2.3186721E-02
   7129.40  2.4299097E-02
   7129.60  2.5625660E-02
   7129.80  2.7119851E-02
   7130.00  2.8719841E-02
   7130.20  3.0360429E-02
   7130.40  3.1983000E-02
   7130.60  3.3546217E-02
   7130.80  3.5033412E-02
   7131.00  3.6455601E-02
   7131.20  3.7852402E-02
   7131.40  3.9287401E-02
   7131.60  4.0841510E-02
   7131.80  4.2604667E-02
   7132.00  4.4660619E-02
   7132.20  4.7050334E-02
   7132.40  4.9707066E-02
   7132.60  5.2217627E-02
   7132.80  5.3698584E-02
   7133.00  5.3059158E-02
   7133.20  5.0176466E-02
   7133.40  4.6477853E-02
   7133.60  4.3494441E-02
   7133.80  4.1721068E-02
   7134.00  4.0958047E-02
   7134.20  4.0910634E-02
   7134.40  4.1347446E-02
   7134.60  4.2128410E-02
   7134.80  4.3161432E-02
   7135.00  4.4371389E-02
   7135.20  4.5684510E-02
   7135.40  4.7025204E-02
   7135.60  4.8321786E-02
   7135.80  4.9514458E-02
   7136.00  5.0563303E-02
   7136.20  5.1450957E-02
   7136.40  5.2180083E-02
   7136.60  5.2843594E-02
   7136.80  5.3309089E-02
   7137.00  5.3670316E-02
   7137.20  5.3938089E-02
   7137.40  5.4117071E-02
   7137.60  5.4203112E-02
   7137.80  5.4187548E-02
   7138.00  5.4060526E-02
   7138.20  5.3814146E-02
   7138.40  5.3444466E-02
   7138.60  5.2953081E-02
   7138.80  5.2348252E-02
   7139.00  5.1644128E-02
   7139.20  5.0859531E-02
   7139.40  5.0016175E-02
   7139.60  4.9068726E-02
   7139.80  4.8081486E-02
   7140.00  4.7172766E-02
   7140.20  4.6290520E-02
   7140.40  4.5447806E-02
   7140.60  4.4653336E-02
   7140.80  4.3911611E-02
   7141.00  4.3223327E-02
   7141.20  4.2600982E-02
   7141.40  4.2042754E-02
   7141.60  4.1495464E-02
   7141.80  4.0974270E-02
   7142.00  4.0476606E-02
   7142.20  3.9993897E-02
   7142.40  3.9526232E-02
   7142.60  3.9090016E-02
   7142.80  3.8661845E-02
   7143.00  3.8243754E-02
   7143.20  3.7838176E-02
   7143.40  3.7448358E-02
   7143.60  3.7077422E-02
   7143.80  3.6728227E-02
   7144.00  3.6403062E-02
   7144.20  3.6103877E-02
   7144.40  3.5832126E-02
   7144.60  3.5588593E-02
   7144.80  3.5373945E-02
   7145.00  3.5188569E-02
   7145.20  3.5032304E-02
   7145.40  3.4904643E-02
   7145.60  3.4805239E-02
   7145.80  3.4733368E-02
   7146.00  3.4688221E-02
