  7112.000   26  1  1  2.7095634E-02 -1.9499842E+00 -1.6958759E+00  1  1  7.2663317E+03  0.0000000E+00  0.0000000E+00  2.9678748E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9812333E-04
   7097.20  5.7372540E-04
   7097.40  3.9493887E-02
   7097.60  1.5568233E-03
   7097.80  9.5084580E-03
   7098.00  1.1796724E-03
   7098.20  2.6565675E-04
   7098.40  1.3043502E-04
   7098.60  8.4156044E-05
   7098.80  6.2485069E-05
   7099.00  5.0560469E-05
   7099.20  4.3353251E-05
   7099.40  3.8796668E-05
   7099.60  3.6056252E-05
   7099.80  3.5642120E-05
   7100.00  5.9154893E-05
   7100.20  5.6021298E-05
   7100.40  3.1958972E-05
   7100.60  2.9577585E-05
   7100.80  2.8728209E-05
   7101.00  2.8355456E-05
   7101.20  2.8246393E-05
   7101.40  2.8333813E-05
   7101.60  2.8594756E-05
   7101.80  2.9027551E-05
   7102.00  2.9645806E-05
   7102.20  3.0478379E-05
   7102.40  3.1574753E-05
   7102.60  3.3015819E-05
   7102.80  3.4934691E-05
   7103.00  3.7561651E-05
   7103.20  4.1326206E-05
   7103.40  4.7123282E-05
   7103.60  5.7184039E-05
   7103.80  7.9449238E-05
   7104.00  2.4182103E-04
   7104.20  4.0726592E-04
   7104.40  3.1901592E-03
   7104.60  5.2925274E-04
   7104.80  1.2193518E-03
   7105.00  1.9109139E-03
   7105.20  2.4706996E-04
   7105.40  1.9363371E-04
   7105.60  9.7349253E-04
   7105.80  1.4878371E-03
   7106.00  2.3463577E-04
   7106.20  1.3150330E-04
   7106.40  1.2937119E-04
   7106.60  1.5941671E-04
   7106.80  2.4651342E-04
   7107.00  5.8685328E-04
   7107.20  8.1280316E-03
   7107.40  3.5472764E-03
   7107.60  6.1786099E-04
   7107.80  3.7359611E-04
   7108.00  4.1478700E-04
   7108.20  1.3357119E-03
   7108.40  2.0026386E-03
   7108.60  9.6277737E-03
   7108.80  8.3861545E-03
   7109.00  1.4237308E-01
   7109.20  4.9074965E-03
   7109.40  1.3344429E-02
   7109.60  8.4386788E-02
   7109.80  6.9737500E-02
   7110.00  1.8960583E-03
   7110.20  1.6327347E-03
   7110.40  1.9789017E-03
   7110.60  2.5484592E-03
   7110.80  1.4060734E-02
   7111.00  1.8458552E-02
   7111.20  5.6594184E-03
   7111.40  2.0690711E-03
   7111.60  1.6598833E-03
   7111.80  1.5518004E-03
   7112.00  1.5160458E-03
   7112.20  1.5110534E-03
   7112.40  1.6000741E-03
   7112.60  1.9624215E-03
   7112.80  2.2307930E-03
   7113.00  2.4705462E-03
   7113.20  2.6753996E-03
   7113.40  1.5326389E-03
   7113.60  1.2486873E-03
   7113.80  1.1038536E-03
