  7112.000   26  1  1  3.6296614E-02 -2.8284858E+00 -1.5749385E+00  1  1  7.2657412E+03  0.0000000E+00  0.0000000E+00  3.9270387E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.3624522E-02
   7097.20  3.4777003E-04
   7097.40  1.1751229E-04
   7097.60  6.7461588E-05
   7097.80  4.9200717E-05
   7098.00  4.0917304E-05
   7098.20  3.6869997E-05
   7098.40  3.5088626E-05
   7098.60  3.4858566E-05
   7098.80  3.6065225E-05
   7099.00  3.9117994E-05
   7099.20  4.5357625E-05
   7099.40  5.8881119E-05
   7099.60  9.6978908E-05
   7099.80  3.6690847E-04
   7100.00  1.0041216E-03
   7100.20  1.9290070E-03
   7100.40  2.3091215E-03
   7100.60  1.7173937E-04
   7100.80  9.0065177E-05
   7101.00  8.1750416E-05
   7101.20  5.4708204E-05
   7101.40  5.5395818E-05
   7101.60  7.2620601E-05
   7101.80  2.0450712E-04
   7102.00  1.8556221E-03
   7102.20  1.3063877E-04
   7102.40  1.4474484E-04
   7102.60  1.2605795E-03
   7102.80  1.5406156E-02
   7103.00  2.2126878E-04
   7103.20  1.7591500E-04
   7103.40  2.2987173E-02
   7103.60  2.8879944E-04
   7103.80  5.9524959E-04
   7104.00  2.2790636E-03
   7104.20  6.7432378E-04
   7104.40  2.8249198E-03
   7104.60  1.9910837E-04
   7104.80  6.7919245E-04
   7105.00  1.3608091E-03
   7105.20  1.6291835E-04
   7105.40  1.1637198E-04
   7105.60  1.9221590E-04
   7105.80  9.2302497E-03
   7106.00  3.9646760E-04
   7106.20  9.3474042E-03
   7106.40  2.5442728E-04
   7106.60  2.3987731E-03
   7106.80  2.1998628E-04
   7107.00  3.0416578E-03
   7107.20  1.9153601E-02
   7107.40  1.2540708E-03
   7107.60  4.8766795E-04
   7107.80  1.2046443E-02
   7108.00  1.3109691E-02
   7108.20  1.2822557E-03
   7108.40  2.0444371E-03
   7108.60  3.7684078E-03
   7108.80  2.2852581E-03
   7109.00  5.8046157E-03
   7109.20  1.5299623E-02
   7109.40  9.3468202E-04
   7109.60  4.7681432E-03
   7109.80  1.5741374E-02
   7110.00  8.8789113E-03
   7110.20  1.0821682E-02
   7110.40  2.2939318E-02
   7110.60  1.4908860E-02
   7110.80  2.3090411E-02
   7111.00  1.9541893E-02
   7111.20  2.5007631E-02
   7111.40  3.0066570E-02
   7111.60  2.5781223E-02
   7111.80  1.8247037E-02
   7112.00  2.6010934E-02
   7112.20  4.4831101E-02
   7112.40  4.5022884E-02
   7112.60  3.8901786E-02
   7112.80  8.8679801E-02
   7113.00  3.8481696E-02
   7113.20  1.7034825E-02
   7113.40  1.0349312E-02
   7113.60  6.8273213E-03
   7113.80  4.8360256E-03
   7114.00  3.7490593E-03
   7114.20  3.1510865E-03
   7114.40  2.8664714E-03
   7114.60  2.8839867E-03
   7114.80  3.4475507E-03
   7115.00  5.3468176E-03
   7115.20  1.0653095E-02
   7115.40  2.4834501E-02
   7115.60  2.0831167E-02
   7115.80  1.0186348E-02
   7116.00  6.1194069E-03
   7116.20  4.2658653E-03
   7116.40  3.2833107E-03
   7116.60  2.7313411E-03
   7116.80  2.4325042E-03
   7117.00  2.3087335E-03
   7117.20  2.3297366E-03
   7117.40  2.4895963E-03
   7117.60  2.7806509E-03
   7117.80  3.1439184E-03
   7118.00  3.4144426E-03
   7118.20  3.4440059E-03
   7118.40  3.3398620E-03
   7118.60  3.3394972E-03
   7118.80  3.5708139E-03
   7119.00  4.0128184E-03
   7119.20  4.5248387E-03
