  7112.000   26  1  1  4.2696413E-02 -2.2343497E+00 -2.3689906E+00  1  1  7.2661135E+03  0.0000000E+00  0.0000000E+00  3.1943290E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9249569E-05
   7097.20  1.9265050E-05
   7097.40  1.9295307E-05
   7097.60  1.9344250E-05
   7097.80  1.9421492E-05
   7098.00  1.9552754E-05
   7098.20  1.9821348E-05
   7098.40  2.0639799E-05
   7098.60  2.8402786E-05
   7098.80  3.6394460E-04
   7099.00  2.1632932E-05
   7099.20  2.0310412E-05
   7099.40  2.0079735E-05
   7099.60  2.0059095E-05
   7099.80  2.0113908E-05
   7100.00  2.0209711E-05
   7100.20  2.0339214E-05
   7100.40  2.0524076E-05
   7100.60  2.1108950E-05
   7100.80  2.2868818E-05
   7101.00  2.1082168E-05
   7101.20  2.1201106E-05
   7101.40  2.1413589E-05
   7101.60  2.1728947E-05
   7101.80  2.2435763E-05
   7102.00  2.2222637E-05
   7102.20  2.2528474E-05
   7102.40  2.2885708E-05
   7102.60  2.3294242E-05
   7102.80  2.3788227E-05
   7103.00  2.4619652E-05
   7103.20  1.7257987E-04
   7103.40  2.7246016E-05
   7103.60  3.2822224E-05
   7103.80  2.6921776E-05
   7104.00  2.7520496E-05
   7104.20  2.8435015E-05
   7104.40  2.9538891E-05
   7104.60  3.0870542E-05
   7104.80  3.2539142E-05
   7105.00  3.4998274E-05
   7105.20  1.5394180E-04
   7105.40  4.1298927E-05
   7105.60  4.6370587E-05
   7105.80  3.0569593E-04
   7106.00  9.9514859E-05
   7106.20  1.3820348E-04
   7106.40  6.0174591E-03
   7106.60  2.1759777E-04
   7106.80  1.3637419E-04
   7107.00  1.9697698E-04
   7107.20  7.7907096E-04
   7107.40  2.2830994E-03
   7107.60  8.5298596E-03
   7107.80  4.8601422E-04
   7108.00  7.3514600E-03
   7108.20  3.2047375E-04
   7108.40  2.6036864E-02
   7108.60  5.6691898E-04
   7108.80  5.4330357E-03
   7109.00  5.5015382E-03
   7109.20  7.4319866E-03
   7109.40  1.4552204E-03
   7109.60  8.2909679E-04
   7109.80  2.4602416E-03
   7110.00  6.0722970E-03
   7110.20  7.0934725E-03
   7110.40  1.5433287E-02
   7110.60  2.0265470E-02
   7110.80  8.1528462E-03
   7111.00  6.0118533E-03
   7111.20  2.5908382E-03
   7111.40  7.5704319E-03
   7111.60  9.7939593E-03
   7111.80  1.3270045E-02
   7112.00  1.0152634E-02
   7112.20  1.0101399E-02
   7112.40  1.9917816E-02
   7112.60  2.1049792E-02
   7112.80  6.1312129E-02
   7113.00  2.1678282E-01
   7113.20  5.1474187E-02
   7113.40  3.8008431E-02
   7113.60  5.0537836E-02
   7113.80  8.0437073E-02
   7114.00  7.8624598E-02
   7114.20  5.5875400E-02
   7114.40  4.2242904E-02
   7114.60  2.6496762E-02
   7114.80  1.9214869E-02
   7115.00  1.6308034E-02
   7115.20  1.4444918E-02
   7115.40  1.2034284E-02
   7115.60  9.8946003E-03
   7115.80  8.2607118E-03
   7116.00  7.1863433E-03
   7116.20  6.5025816E-03
   7116.40  6.1441028E-03
   7116.60  6.0793090E-03
   7116.80  6.9372989E-03
   7117.00  9.8037438E-03
   7117.20  1.4610134E-02
   7117.40  1.5863629E-02
   7117.60  1.8074332E-02
   7117.80  1.9374755E-02
   7118.00  1.5224643E-02
   7118.20  1.1931011E-02
   7118.40  1.0515094E-02
   7118.60  1.0014709E-02
   7118.80  9.8804659E-03
   7119.00  9.8917474E-03
   7119.20  9.8982988E-03
   7119.40  9.6905036E-03
   7119.60  9.2370014E-03
   7119.80  8.8962722E-03
   7120.00  8.9030505E-03
   7120.20  9.0194530E-03
   7120.40  8.9239160E-03
   7120.60  8.9208863E-03
   7120.80  9.2152366E-03
   7121.00  9.5775274E-03
   7121.20  9.7450205E-03
   7121.40  9.7461303E-03
   7121.60  9.7457961E-03
   7121.80  9.6570471E-03
   7122.00  9.3306642E-03
   7122.20  8.9291436E-03
   7122.40  8.7193256E-03
   7122.60  8.6917617E-03
   7122.80  8.7319831E-03
   7123.00  8.8073994E-03
   7123.20  8.9148413E-03
   7123.40  9.0370760E-03
   7123.60  9.1587442E-03
   7123.80  9.2764543E-03
   7124.00  9.3931271E-03
   7124.20  9.5105659E-03
   7124.40  9.6266083E-03
   7124.60  9.7355224E-03
   7124.80  9.8302039E-03
   7125.00  9.9055240E-03
   7125.20  9.9627857E-03
   7125.40  1.0012982E-02
   7125.60  1.0075136E-02
   7125.80  1.0167949E-02
