  7112.000   26  1  1  7.7335178E-03 -2.5046231E+00 -2.4462337E+00  1  1  7.2661939E+03  0.0000000E+00  0.0000000E+00  1.1954777E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  8.6343413E-04
   7097.20  2.1418974E-05
   7097.40  1.9799938E-05
   7097.60  1.9519056E-05
   7097.80  1.9444343E-05
   7098.00  1.9434885E-05
   7098.20  1.9455930E-05
   7098.40  1.9495705E-05
   7098.60  1.9549469E-05
   7098.80  1.9615202E-05
   7099.00  1.9692077E-05
   7099.20  1.9779879E-05
   7099.40  1.9878772E-05
   7099.60  1.9989148E-05
   7099.80  2.0111593E-05
   7100.00  2.0246915E-05
   7100.20  2.0396055E-05
   7100.40  2.0560217E-05
   7100.60  2.0740839E-05
   7100.80  2.0939640E-05
   7101.00  2.1158887E-05
   7101.20  2.1401388E-05
   7101.40  2.1670986E-05
   7101.60  2.1973036E-05
   7101.80  2.2315698E-05
   7102.00  2.2712579E-05
   7102.20  2.3189418E-05
   7102.40  2.3804574E-05
   7102.60  2.4732505E-05
   7102.80  2.6815883E-05
   7103.00  4.4859146E-05
   7103.20  4.8076070E-05
   7103.40  3.2611707E-05
   7103.60  5.2734918E-05
   7103.80  2.3051829E-04
   7104.00  3.7237391E-05
   7104.20  3.2093175E-05
   7104.40  3.1853409E-05
   7104.60  3.2749368E-05
   7104.80  3.4248538E-05
   7105.00  3.6301316E-05
   7105.20  3.9041364E-05
   7105.40  4.2791623E-05
   7105.60  4.8252846E-05
   7105.80  5.7247680E-05
   7106.00  7.7226901E-05
   7106.20  2.2783278E-04
   7106.40  2.5358617E-04
   7106.60  2.1236041E-04
   7106.80  1.4199338E-03
   7107.00  1.9258999E-02
   7107.20  3.5333182E-03
   7107.40  4.2664339E-04
   7107.60  2.1158404E-04
   7107.80  2.1502773E-04
   7108.00  2.6010290E-04
   7108.20  1.2989112E-03
   7108.40  1.1852983E-03
   7108.60  2.7432498E-03
   7108.80  1.0165040E-01
   7109.00  4.4254687E-03
   7109.20  1.3787509E-03
   7109.40  8.9132621E-04
   7109.60  4.2846750E-02
   7109.80  1.4066542E-03
   7110.00  2.8931051E-02
   7110.20  6.6493461E-03
   7110.40  1.1322984E-02
   7110.60  2.4029419E-03
   7110.80  1.7209589E-03
   7111.00  5.3533707E-02
   7111.20  1.4616403E-03
   7111.40  9.5527525E-04
   7111.60  9.8742994E-04
   7111.80  1.3663655E-03
   7112.00  2.5632284E-03
   7112.20  6.8394431E-03
   7112.40  1.3510369E-02
   7112.60  2.4589699E-02
   7112.80  5.3853566E-02
   7113.00  8.1626175E-02
   7113.20  7.5755576E-02
   7113.40  9.3348349E-02
   7113.60  1.2849353E-01
   7113.80  1.2311674E-01
   7114.00  7.3748235E-02
   7114.20  4.6984151E-02
   7114.40  3.3849314E-02
   7114.60  2.6508278E-02
   7114.80  2.1934373E-02
   7115.00  1.8848840E-02
   7115.20  1.6640004E-02
   7115.40  1.4983863E-02
   7115.60  1.3697741E-02
   7115.80  1.2661494E-02
   7116.00  1.1802163E-02
   7116.20  1.1070123E-02
   7116.40  1.0293284E-02
   7116.60  9.7249623E-03
   7116.80  9.2046169E-03
   7117.00  8.7230915E-03
   7117.20  8.2831213E-03
