  7112.000   26  1  1  1.0348151E-02 -3.2267930E+00 -8.1462096E-01  1  1  7.2650874E+03  0.0000000E+00  0.0000000E+00  3.4743230E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  8.7953778E-05
   7097.20  5.0809575E-05
   7097.40  4.0504767E-05
   7097.60  3.6231128E-05
   7097.80  3.4436263E-05
   7098.00  3.4132386E-05
   7098.20  3.5112846E-05
   7098.40  3.7663336E-05
   7098.60  4.2774096E-05
   7098.80  5.3226791E-05
   7099.00  7.8265962E-05
   7099.20  1.6573565E-04
   7099.40  9.8107763E-04
   7099.60  2.1985280E-03
   7099.80  2.1001953E-04
   7100.00  9.7838670E-05
   7100.20  7.7550791E-05
   7100.40  9.6596025E-05
   7100.60  2.5602818E-03
   7100.80  6.5012656E-04
   7101.00  1.5385248E-02
   7101.20  2.1719780E-04
   7101.40  1.0659789E-04
   7101.60  9.1964473E-04
   7101.80  1.6170608E-04
   7102.00  6.0117466E-03
   7102.20  1.3852708E-02
   7102.40  1.7866739E-04
   7102.60  2.3060341E-04
   7102.80  4.4169386E-03
   7103.00  1.4345887E-03
   7103.20  1.4682094E-04
   7103.40  1.0187063E-04
   7103.60  2.8074438E-04
   7103.80  8.6469823E-05
   7104.00  7.2698105E-04
   7104.20  1.7553816E-03
   7104.40  1.3430771E-04
   7104.60  1.0819948E-03
   7104.80  8.7057216E-03
   7105.00  6.7882615E-04
   7105.20  9.5480151E-03
   7105.40  8.6484744E-03
   7105.60  6.0017964E-04
   7105.80  2.6309804E-02
   7106.00  2.8954204E-04
   7106.20  8.1309437E-04
   7106.40  5.9118913E-04
   7106.60  3.2540042E-03
   7106.80  3.3409938E-02
   7107.00  7.8480730E-03
   7107.20  2.7160789E-03
   7107.40  1.3947469E-03
   7107.60  4.8658198E-03
   7107.80  5.1892490E-03
   7108.00  2.7894606E-03
   7108.20  1.1949992E-03
   7108.40  8.3033020E-03
   7108.60  6.1810325E-03
   7108.80  3.5162589E-03
   7109.00  7.3334859E-03
   7109.20  2.8135839E-03
   7109.40  7.3989113E-03
   7109.60  1.1705801E-02
   7109.80  1.1970228E-02
   7110.00  6.0253283E-03
   7110.20  1.1436330E-02
   7110.40  2.3895520E-02
   7110.60  5.1808810E-03
   7110.80  1.3095203E-02
   7111.00  1.7019713E-02
   7111.20  1.1489766E-02
   7111.40  1.9079174E-02
   7111.60  2.4372824E-02
   7111.80  2.0499972E-02
   7112.00  1.8654652E-02
   7112.20  2.3018364E-02
   7112.40  2.7952859E-02
   7112.60  2.5495576E-02
   7112.80  1.6972474E-02
   7113.00  1.4948802E-02
   7113.20  1.3960120E-02
   7113.40  1.4879563E-02
   7113.60  1.7058155E-02
   7113.80  1.7036580E-02
   7114.00  1.2434871E-02
   7114.20  8.4891341E-03
   7114.40  6.2464067E-03
   7114.60  4.8262874E-03
   7114.80  4.0963845E-03
   7115.00  3.6094306E-03
   7115.20  3.2358847E-03
   7115.40  3.0671150E-03
   7115.60  3.0439478E-03
   7115.80  2.9549398E-03
   7116.00  2.7401722E-03
   7116.20  2.5376113E-03
   7116.40  2.4200129E-03
   7116.60  2.3844762E-03
   7116.80  2.4182367E-03
   7117.00  2.5268200E-03
   7117.20  2.7568480E-03
   7117.40  3.2043161E-03
   7117.60  3.9703935E-03
   7117.80  4.9019581E-03
   7118.00  5.4620368E-03
   7118.20  5.5961392E-03
   7118.40  5.7530315E-03
   7118.60  6.0428774E-03
   7118.80  6.4268846E-03
   7119.00  6.9492482E-03
   7119.20  7.6791246E-03
   7119.40  8.6094250E-03
   7119.60  9.6348667E-03
   7119.80  1.0591189E-02
   7120.00  1.1347155E-02
   7120.20  1.1876440E-02
   7120.40  1.2217523E-02
   7120.60  1.2403742E-02
   7120.80  1.2462027E-02
   7121.00  1.2426938E-02
   7121.20  1.2331492E-02
   7121.40  1.2198916E-02
   7121.60  1.2053480E-02
   7121.80  1.1944353E-02
   7122.00  1.1894502E-02
   7122.20  1.1962524E-02
   7122.40  1.2184513E-02
   7122.60  1.2505693E-02
   7122.80  1.2939687E-02
   7123.00  1.3482914E-02
   7123.20  1.4142569E-02
   7123.40  1.4951621E-02
   7123.60  1.5915989E-02
   7123.80  1.7062000E-02
   7124.00  1.8335018E-02
   7124.20  1.9684179E-02
   7124.40  2.0993010E-02
