  7112.000   26  1  1  1.8453129E-02 -2.6928950E+00 -1.5391429E+00  1  1  7.2656018E+03  0.0000000E+00  0.0000000E+00  2.5115113E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.3463131E-05
   7097.20  2.3528940E-05
   7097.40  2.3782396E-05
   7097.60  2.4252364E-05
   7097.80  2.5007085E-05
   7098.00  2.6182733E-05
   7098.20  2.8058022E-05
   7098.40  3.1251100E-05
   7098.60  3.7377989E-05
   7098.80  5.2070450E-05
   7099.00  1.1056750E-04
   7099.20  3.1101147E-03
   7099.40  2.8814291E-04
   7099.60  5.7750078E-03
   7099.80  2.7021245E-04
   7100.00  3.7993495E-04
   7100.20  5.9680445E-05
   7100.40  6.9955891E-05
   7100.60  2.4595494E-03
   7100.80  5.3341019E-05
   7101.00  3.6722993E-05
   7101.20  3.3659098E-05
   7101.40  3.3495664E-05
   7101.60  3.4994961E-05
   7101.80  3.8425405E-05
   7102.00  4.5441344E-05
   7102.20  6.3088109E-05
   7102.40  1.5270444E-04
   7102.60  4.3116677E-04
   7102.80  3.0040021E-03
   7103.00  1.3884608E-03
   7103.20  2.6716757E-03
   7103.40  6.5013178E-04
   7103.60  9.9730050E-05
   7103.80  2.1285882E-04
   7104.00  1.2363061E-03
   7104.20  2.8964272E-04
   7104.40  6.2887318E-02
   7104.60  3.6665844E-04
   7104.80  2.0289347E-02
   7105.00  1.5871189E-04
   7105.20  8.9145264E-05
   7105.40  8.3841548E-05
   7105.60  1.3810401E-04
   7105.80  1.9355427E-04
   7106.00  2.7896144E-03
   7106.20  1.7659868E-02
   7106.40  5.7738914E-04
   7106.60  1.8355729E-03
   7106.80  1.2564441E-03
   7107.00  2.4393998E-04
   7107.20  2.2925519E-04
   7107.40  6.4585814E-04
   7107.60  5.8739851E-02
   7107.80  1.0138914E-03
   7108.00  4.4720419E-03
   7108.20  8.9305663E-03
   7108.40  1.2664810E-03
   7108.60  1.6238882E-02
   7108.80  9.2025112E-04
   7109.00  4.8833231E-04
   7109.20  9.8340207E-04
   7109.40  1.4453480E-03
   7109.60  3.4713331E-04
   7109.80  1.1789726E-02
   7110.00  6.5535464E-03
   7110.20  1.6845411E-02
   7110.40  1.3575372E-02
   7110.60  5.2682597E-03
   7110.80  6.3696071E-03
   7111.00  5.1644096E-02
   7111.20  2.2861364E-02
   7111.40  5.0578461E-02
   7111.60  1.0526826E-02
   7111.80  1.3573724E-02
   7112.00  1.3051351E-02
   7112.20  2.4848016E-02
   7112.40  1.1065855E-01
   7112.60  5.4208387E-02
   7112.80  2.0844898E-02
   7113.00  1.2003691E-02
   7113.20  7.8289209E-03
   7113.40  5.2837944E-03
   7113.60  4.0552758E-03
   7113.80  3.6426916E-03
   7114.00  3.6523892E-03
   7114.20  3.9327150E-03
   7114.40  4.4204784E-03
   7114.60  4.9108697E-03
   7114.80  4.4714537E-03
   7115.00  3.4180604E-03
   7115.20  2.6177502E-03
   7115.40  2.6582496E-03
   7115.60  3.1855889E-03
   7115.80  4.1729618E-03
   7116.00  5.8404948E-03
   7116.20  8.7662827E-03
   7116.40  1.4205403E-02
   7116.60  2.4365453E-02
   7116.80  3.9370034E-02
   7117.00  4.6645129E-02
   7117.20  3.8101815E-02
