  7112.000   26  1  1  2.1732192E-02 -2.8031233E+00 -1.5751676E+00  1  1  7.2657313E+03  0.0000000E+00  0.0000000E+00  4.2299953E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.5526871E-02
   7097.20  4.1122270E-04
   7097.40  1.2690107E-04
   7097.60  7.0396569E-05
   7097.80  5.0457745E-05
   7098.00  4.1548531E-05
   7098.20  3.7207325E-05
   7098.40  3.5256991E-05
   7098.60  3.4903597E-05
   7098.80  3.5987804E-05
   7099.00  3.8870626E-05
   7099.20  4.4791073E-05
   7099.40  5.7504062E-05
   7099.60  9.2324332E-05
   7099.80  3.0934487E-04
   7100.00  1.1941428E-03
   7100.20  1.8910668E-03
   7100.40  7.0293033E-03
   7100.60  1.9326591E-04
   7100.80  9.3374989E-05
   7101.00  9.1919451E-05
   7101.20  5.5537049E-05
   7101.40  5.5359347E-05
   7101.60  7.0957593E-05
   7101.80  1.8139044E-04
   7102.00  3.7120482E-03
   7102.20  1.3811214E-04
   7102.40  1.3751090E-04
   7102.60  8.3532612E-04
   7102.80  4.8822219E-03
   7103.00  2.4916395E-04
   7103.20  1.7149690E-04
   7103.40  9.4370696E-03
   7103.60  2.6545930E-04
   7103.80  5.7481081E-04
   7104.00  1.4789389E-03
   7104.20  8.9850720E-04
   7104.40  1.0333012E-02
   7104.60  2.0411653E-04
   7104.80  5.6133528E-04
   7105.00  2.3352621E-03
   7105.20  1.7561567E-04
   7105.40  1.1739692E-04
   7105.60  1.7701592E-04
   7105.80  3.5923051E-02
   7106.00  3.6657059E-04
   7106.20  4.1286969E-02
   7106.40  2.6623935E-04
   7106.60  4.1065891E-03
   7106.80  2.1572191E-04
   7107.00  9.9892105E-04
   7107.20  7.7649941E-03
   7107.40  3.1820104E-03
   7107.60  4.6106489E-04
   7107.80  5.0718435E-03
   7108.00  5.1930221E-03
   7108.20  1.5167350E-03
   7108.40  2.0689582E-03
   7108.60  2.7269994E-03
   7108.80  1.7371452E-03
   7109.00  4.1163145E-03
   7109.20  4.1193037E-02
   7109.40  1.2198734E-03
   7109.60  1.9590494E-03
   7109.80  5.1213017E-03
   7110.00  7.6014116E-03
   7110.20  1.0101322E-02
   7110.40  1.3669526E-02
   7110.60  1.6686262E-02
   7110.80  2.3355118E-02
   7111.00  1.9679060E-02
   7111.20  2.4999678E-02
   7111.40  2.9099148E-02
   7111.60  2.6113933E-02
   7111.80  1.7822555E-02
   7112.00  2.4705114E-02
   7112.20  4.4396342E-02
   7112.40  4.6011452E-02
   7112.60  3.6834803E-02
   7112.80  7.9779797E-02
   7113.00  4.4972144E-02
   7113.20  1.8244757E-02
   7113.40  1.0739088E-02
   7113.60  7.0380140E-03
   7113.80  4.9556562E-03
   7114.00  3.8221497E-03
   7114.20  3.2013180E-03
   7114.40  2.8992131E-03
   7114.60  2.8855042E-03
   7114.80  3.3683785E-03
   7115.00  5.0708001E-03
   7115.20  9.8311406E-03
   7115.40  2.2987263E-02
   7115.60  2.2900480E-02
   7115.80  1.0862185E-02
   7116.00  6.3445082E-03
   7116.20  4.3616223E-03
   7116.40  3.3282253E-03
   7116.60  2.7507974E-03
   7116.80  2.4365058E-03
   7117.00  2.3014500E-03
   7117.20  2.3127997E-03
   7117.40  2.4643364E-03
   7117.60  2.7515417E-03
   7117.80  3.1229955E-03
   7118.00  3.4199491E-03
   7118.20  3.4814004E-03
   7118.40  3.3779943E-03
   7118.60  3.3536749E-03
   7118.80  3.5695066E-03
   7119.00  4.0089446E-03
   7119.20  4.5325614E-03
   7119.40  4.9862290E-03
   7119.60  5.4726988E-03
   7119.80  5.7606083E-03
   7120.00  5.5823995E-03
   7120.20  5.0892461E-03
   7120.40  4.6120091E-03
   7120.60  4.3973550E-03
   7120.80  4.4734199E-03
   7121.00  4.8226832E-03
   7121.20  5.4197681E-03
   7121.40  6.1069957E-03
   7121.60  6.6852992E-03
   7121.80  7.2979740E-03
   7122.00  7.9925621E-03
   7122.20  8.8872211E-03
   7122.40  1.0101031E-02
   7122.60  1.1681620E-02
   7122.80  1.3507059E-02
   7123.00  1.5096011E-02
   7123.20  1.6038237E-02
   7123.40  1.6799004E-02
   7123.60  1.8099105E-02
   7123.80  1.9979458E-02
   7124.00  2.2052973E-02
   7124.20  2.4034141E-02
   7124.40  2.5912366E-02
   7124.60  2.7590994E-02
   7124.80  2.8646516E-02
