  7112.000   26  1  1  1.9527277E-02 -4.0040053E+00 -1.6937932E+00  1  1  7.2658081E+03  0.0000000E+00  0.0000000E+00  4.2882409E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.7177296E-05
   7097.20  1.2794034E-04
   7097.40  2.3991247E-05
   7097.60  2.1115032E-05
   7097.80  2.0495846E-05
   7098.00  2.0330470E-05
   7098.20  2.0330386E-05
   7098.40  2.0419649E-05
   7098.60  2.0576323E-05
   7098.80  2.0799302E-05
   7099.00  2.1100833E-05
   7099.20  2.1508454E-05
   7099.40  2.2074470E-05
   7099.60  2.2901655E-05
   7099.80  2.4210446E-05
   7100.00  2.6549132E-05
   7100.20  3.1649360E-05
   7100.40  4.8189383E-05
   7100.60  1.2222510E-03
   7100.80  1.1846155E-03
   7101.00  1.2296059E-04
   7101.20  2.1443073E-04
   7101.40  3.6622962E-05
   7101.60  4.1668674E-05
   7101.80  1.5917163E-03
   7102.00  4.8272583E-05
   7102.20  5.4394873E-05
   7102.40  3.2757334E-04
   7102.60  4.1250546E-05
   7102.80  3.5391986E-05
   7103.00  4.0826703E-05
   7103.20  4.2900491E-04
   7103.40  1.3631621E-03
   7103.60  1.2398332E-04
   7103.80  1.3627796E-03
   7104.00  1.7500575E-04
   7104.20  1.8433616E-04
   7104.40  5.6717409E-03
   7104.60  3.1675243E-03
   7104.80  2.2400335E-04
   7105.00  9.1424206E-04
   7105.20  1.2514172E-04
   7105.40  1.1820331E-03
   7105.60  1.6832464E-03
   7105.80  4.6094968E-03
   7106.00  8.8445054E-03
   7106.20  3.0418876E-04
   7106.40  2.0926891E-04
   7106.60  3.6218998E-04
   7106.80  4.4422266E-03
   7107.00  1.1737254E-03
   7107.20  5.5115671E-03
   7107.40  1.3401579E-03
   7107.60  1.7214163E-03
   7107.80  6.6198796E-02
   7108.00  1.7986816E-03
   7108.20  4.5440719E-03
   7108.40  1.0983990E-03
   7108.60  1.1355401E-03
   7108.80  5.1067188E-03
   7109.00  1.3467912E-02
   7109.20  6.4673491E-03
   7109.40  9.6120758E-03
   7109.60  1.7257814E-02
   7109.80  2.6131808E-02
   7110.00  1.3248371E-02
   7110.20  1.9045485E-02
   7110.40  1.5473876E-02
   7110.60  2.8518775E-02
   7110.80  2.7899699E-02
   7111.00  1.7039834E-02
   7111.20  3.0461597E-02
   7111.40  5.5627056E-02
   7111.60  5.3467108E-02
   7111.80  5.0150788E-02
   7112.00  5.3220476E-02
   7112.20  3.9686161E-02
   7112.40  3.4815672E-02
   7112.60  2.9933502E-02
   7112.80  2.8499055E-02
   7113.00  2.4897502E-02
   7113.20  2.8457367E-02
   7113.40  3.8643389E-02
   7113.60  3.5017219E-02
   7113.80  2.1610569E-02
   7114.00  1.3221579E-02
   7114.20  8.7469924E-03
   7114.40  6.1568124E-03
   7114.60  4.5499998E-03
   7114.80  3.5328449E-03
   7115.00  2.9050706E-03
   7115.20  2.5640537E-03
   7115.40  2.4846064E-03
   7115.60  2.5979772E-03
   7115.80  2.4883969E-03
   7116.00  2.3367521E-03
   7116.20  2.4683244E-03
   7116.40  2.6905427E-03
   7116.60  2.7717503E-03
   7116.80  2.9681881E-03
   7117.00  3.3893934E-03
