  7112.000   26  1  1  1.2506618E-02 -2.8780231E+00 -1.9250871E+00  1  1  7.2658353E+03  0.0000000E+00  0.0000000E+00  2.3929789E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.9935060E-05
   7097.20  3.2270907E-05
   7097.40  2.6517204E-05
   7097.60  2.3984883E-05
   7097.80  2.2684289E-05
   7098.00  2.1963591E-05
   7098.20  2.1560799E-05
   7098.40  2.1357454E-05
   7098.60  2.1299100E-05
   7098.80  2.1366734E-05
   7099.00  2.1569805E-05
   7099.20  2.1956463E-05
   7099.40  2.2657807E-05
   7099.60  2.4053814E-05
   7099.80  2.7612241E-05
   7100.00  4.4458139E-05
   7100.20  7.8419259E-03
   7100.40  8.0590843E-04
   7100.60  4.4568548E-05
   7100.80  2.9774751E-05
   7101.00  2.8000031E-05
   7101.20  2.8878520E-05
   7101.40  3.1910984E-05
   7101.60  3.9306277E-05
   7101.80  6.3325476E-05
   7102.00  3.6985498E-04
   7102.20  5.7003014E-04
   7102.40  4.1233391E-04
   7102.60  8.0616599E-05
   7102.80  6.8815666E-05
   7103.00  9.3027478E-03
   7103.20  6.2029355E-05
   7103.40  6.1059724E-05
   7103.60  3.8994126E-03
   7103.80  8.8602005E-05
   7104.00  2.5874907E-04
   7104.20  1.5363220E-04
   7104.40  5.0851099E-05
   7104.60  4.6070730E-05
   7104.80  5.8617475E-05
   7105.00  2.5607163E-04
   7105.20  1.8339121E-04
   7105.40  7.8170325E-05
   7105.60  1.5966573E-04
   7105.80  1.8719837E-02
   7106.00  1.1870484E-04
   7106.20  8.1443874E-05
   7106.40  1.3762421E-04
   7106.60  3.6584997E-04
   7106.80  2.6603902E-04
   7107.00  1.5166692E-03
   7107.20  1.7240308E-03
   7107.40  1.7689718E-03
   7107.60  3.0524418E-04
   7107.80  9.7074270E-04
   7108.00  1.5147470E-04
   7108.20  1.7369631E-04
   7108.40  1.0505357E-02
   7108.60  2.2961433E-03
   7108.80  2.3826419E-03
   7109.00  2.0528396E-02
   7109.20  1.0106007E-02
   7109.40  1.0887259E-02
   7109.60  8.3152159E-03
   7109.80  1.1579874E-02
   7110.00  1.3830047E-02
   7110.20  7.7426689E-03
   7110.40  1.6987504E-02
   7110.60  9.6278351E-03
   7110.80  6.5577220E-03
   7111.00  1.0239668E-02
   7111.20  1.4310477E-02
   7111.40  2.1110115E-02
   7111.60  4.1043409E-02
   7111.80  2.3605248E-02
   7112.00  1.5532782E-02
   7112.20  2.0325270E-02
   7112.40  2.2586118E-02
   7112.60  2.0756174E-02
   7112.80  2.3659377E-02
   7113.00  2.9000880E-02
   7113.20  2.8770143E-02
   7113.40  2.7208538E-02
   7113.60  3.1178055E-02
   7113.80  4.1145848E-02
   7114.00  4.7572505E-02
   7114.20  3.9172996E-02
   7114.40  2.9027692E-02
   7114.60  2.2664110E-02
   7114.80  1.9026606E-02
   7115.00  1.7178557E-02
   7115.20  1.6770624E-02
   7115.40  1.7763307E-02
   7115.60  1.9861061E-02
   7115.80  2.1570509E-02
   7116.00  2.1007265E-02
   7116.20  1.8770461E-02
   7116.40  1.6435083E-02
   7116.60  1.4667696E-02
   7116.80  1.3468150E-02
   7117.00  1.2619617E-02
   7117.20  1.1908730E-02
   7117.40  1.1274590E-02
   7117.60  1.0770477E-02
   7117.80  1.0418770E-02
   7118.00  1.0164266E-02
   7118.20  9.9147995E-03
   7118.40  9.6026557E-03
   7118.60  9.2094756E-03
   7118.80  8.7530136E-03
   7119.00  8.2770262E-03
   7119.20  7.8345180E-03
   7119.40  7.4546210E-03
   7119.60  7.1318019E-03
   7119.80  6.8460394E-03
   7120.00  6.5844106E-03
   7120.20  6.3486992E-03
   7120.40  6.1490910E-03
   7120.60  5.9946547E-03
   7120.80  5.8935174E-03
   7121.00  5.8516653E-03
   7121.20  5.8548619E-03
   7121.40  5.8812208E-03
   7121.60  5.9507632E-03
   7121.80  6.0739571E-03
   7122.00  6.2247319E-03
   7122.20  6.3813461E-03
   7122.40  6.5358260E-03
   7122.60  6.6924020E-03
   7122.80  6.8595603E-03
   7123.00  7.0502923E-03
   7123.20  7.2665613E-03
   7123.40  7.5213129E-03
   7123.60  7.8155832E-03
   7123.80  8.1612403E-03
   7124.00  8.5687133E-03
   7124.20  9.0499256E-03
   7124.40  9.6182233E-03
   7124.60  1.0287533E-02
   7124.80  1.1077510E-02
   7125.00  1.2001808E-02
   7125.20  1.3057862E-02
   7125.40  1.4206584E-02
   7125.60  1.5368379E-02
   7125.80  1.6472705E-02
   7126.00  1.7552031E-02
   7126.20  1.8614114E-02
   7126.40  1.9607841E-02
   7126.60  2.0393839E-02
   7126.80  2.1106171E-02
   7127.00  2.1969916E-02
   7127.20  2.3111339E-02
   7127.40  2.4432506E-02
   7127.60  2.5695297E-02
   7127.80  2.6678204E-02
   7128.00  2.7349186E-02
   7128.20  2.7886388E-02
   7128.40  2.8661757E-02
   7128.60  2.9635350E-02
   7128.80  3.0985266E-02
   7129.00  3.2708491E-02
   7129.20  3.4807582E-02
   7129.40  3.7086111E-02
   7129.60  3.9342778E-02
   7129.80  4.1429983E-02
   7130.00  4.3270301E-02
   7130.20  4.4831070E-02
   7130.40  4.6127345E-02
   7130.60  4.7217135E-02
   7130.80  4.8179711E-02
   7131.00  4.9094857E-02
   7131.20  5.0030430E-02
   7131.40  5.1035972E-02
   7131.60  5.2140119E-02
   7131.80  5.3351858E-02
   7132.00  5.4664975E-02
   7132.20  5.6066017E-02
   7132.40  5.7542984E-02
   7132.60  5.9091670E-02
   7132.80  6.0714712E-02
   7133.00  6.2410437E-02
