  7112.000   26  1  1  8.1881359E-03 -2.1856059E+00 -1.1917377E+00  1  1  7.2653979E+03  0.0000000E+00  0.0000000E+00  2.0728102E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  7.2458516E-05
   7097.20  1.6577328E-04
   7097.40  1.4809041E-03
   7097.60  1.0377887E-03
   7097.80  1.4991552E-04
   7098.00  6.9870212E-05
   7098.20  4.7789541E-05
   7098.40  3.9426163E-05
   7098.60  3.6517539E-05
   7098.80  3.7486385E-05
   7099.00  4.5077182E-05
   7099.20  8.2803461E-05
   7099.40  1.4737162E-03
   7099.60  1.7243701E-04
   7099.80  5.8593922E-05
   7100.00  4.7199551E-05
   7100.20  5.2398516E-05
   7100.40  8.1244659E-05
   7100.60  3.0938858E-04
   7100.80  3.9462410E-03
   7101.00  3.4728319E-04
   7101.20  3.1607985E-04
   7101.40  7.1092599E-05
   7101.60  5.1222413E-05
   7101.80  5.0920317E-05
   7102.00  7.1276446E-05
   7102.20  3.0974895E-04
   7102.40  4.9397742E-04
   7102.60  8.8122139E-05
   7102.80  8.3071696E-05
   7103.00  3.0038367E-04
   7103.20  4.2533865E-04
   7103.40  1.5103213E-03
   7103.60  3.0758332E-04
   7103.80  5.6421043E-04
   7104.00  6.1765853E-04
   7104.20  1.6045297E-04
   7104.40  7.2886013E-03
   7104.60  3.7402149E-04
   7104.80  1.0203623E-03
   7105.00  3.5574087E-04
   7105.20  9.7737192E-05
   7105.40  7.2995828E-05
   7105.60  7.5453019E-05
   7105.80  1.0188622E-04
   7106.00  2.6210234E-04
   7106.20  1.5664789E-03
   7106.40  7.8314258E-03
   7106.60  2.8489318E-03
   7106.80  7.0486423E-04
   7107.00  2.6767684E-04
   7107.20  4.5843501E-04
   7107.40  4.2063401E-02
   7107.60  5.0840788E-04
   7107.80  3.7866335E-03
   7108.00  4.4983883E-04
   7108.20  1.2296283E-03
   7108.40  7.9076216E-02
   7108.60  1.1285183E-03
   7108.80  1.0334511E-02
   7109.00  4.1929613E-03
   7109.20  2.4739509E-02
   7109.40  1.2343262E-03
   7109.60  1.9991441E-03
   7109.80  3.4426414E-03
   7110.00  5.5291323E-03
   7110.20  1.3802045E-03
   7110.40  4.7671429E-03
   7110.60  2.2012714E-02
   7110.80  1.1517351E-02
   7111.00  8.6445310E-03
   7111.20  1.5106152E-02
   7111.40  9.4492421E-03
   7111.60  1.6474679E-02
   7111.80  8.9088199E-03
   7112.00  1.0051461E-02
   7112.20  1.7116635E-02
   7112.40  3.8357462E-02
   7112.60  1.7165921E-02
   7112.80  3.1226748E-02
   7113.00  3.9980532E-02
   7113.20  3.5047095E-02
   7113.40  4.1858633E-02
   7113.60  4.1949715E-02
   7113.80  2.0376721E-02
   7114.00  1.0656515E-02
   7114.20  5.7828804E-03
   7114.40  3.6635094E-03
   7114.60  2.8292469E-03
   7114.80  2.7718671E-03
   7115.00  3.7891158E-03
   7115.20  8.6893762E-03
   7115.40  2.0082129E-02
   7115.60  1.1026872E-02
   7115.80  9.1686097E-03
   7116.00  1.0926958E-02
   7116.20  1.0859937E-02
   7116.40  9.4198177E-03
   7116.60  9.8254582E-03
   7116.80  1.2138411E-02
   7117.00  1.4387565E-02
   7117.20  1.3538139E-02
   7117.40  1.0963023E-02
   7117.60  8.7542318E-03
   7117.80  7.2656082E-03
   7118.00  6.3208029E-03
   7118.20  5.7587644E-03
   7118.40  5.4858972E-03
   7118.60  5.3232876E-03
   7118.80  5.0588331E-03
   7119.00  4.9355240E-03
   7119.20  5.0264728E-03
   7119.40  5.2014398E-03
   7119.60  5.3322012E-03
   7119.80  5.3403105E-03
   7120.00  5.2385393E-03
   7120.20  5.0966098E-03
   7120.40  4.9748950E-03
   7120.60  4.9025395E-03
   7120.80  4.8869100E-03
   7121.00  4.9251817E-03
   7121.20  5.0107553E-03
   7121.40  5.1369270E-03
   7121.60  5.3005939E-03
   7121.80  5.5065893E-03
   7122.00  5.7696709E-03
   7122.20  6.1182099E-03
   7122.40  6.5928531E-03
   7122.60  7.2234743E-03
   7122.80  7.9271484E-03
   7123.00  8.8186914E-03
   7123.20  9.9311743E-03
   7123.40  1.1225184E-02
   7123.60  1.2553885E-02
   7123.80  1.3762072E-02
   7124.00  1.4802321E-02
   7124.20  1.5721356E-02
   7124.40  1.6584086E-02
   7124.60  1.7397188E-02
   7124.80  1.8069229E-02
   7125.00  1.8519293E-02
   7125.20  1.8784481E-02
   7125.40  1.9068527E-02
   7125.60  1.9598265E-02
   7125.80  2.0406490E-02
   7126.00  2.1313197E-02
   7126.20  2.2029327E-02
   7126.40  2.2406153E-02
   7126.60  2.2521394E-02
   7126.80  2.2616807E-02
   7127.00  2.2771774E-02
   7127.20  2.3023599E-02
   7127.40  2.3264067E-02
   7127.60  2.3433895E-02
   7127.80  2.3540295E-02
   7128.00  2.3585425E-02
   7128.20  2.3527196E-02
   7128.40  2.3358011E-02
   7128.60  2.3140174E-02
   7128.80  2.3041149E-02
   7129.00  2.3120577E-02
   7129.20  2.3514797E-02
   7129.40  2.4311608E-02
   7129.60  2.5570579E-02
   7129.80  2.7302434E-02
   7130.00  2.9478722E-02
   7130.20  3.1896935E-02
   7130.40  3.4365795E-02
   7130.60  3.6678076E-02
   7130.80  3.8726396E-02
   7131.00  4.0547068E-02
   7131.20  4.2274349E-02
   7131.40  4.4042872E-02
   7131.60  4.5912931E-02
   7131.80  4.7858567E-02
   7132.00  4.9805241E-02
   7132.20  5.1683625E-02
   7132.40  5.3463792E-02
   7132.60  5.5158114E-02
   7132.80  5.6796573E-02
   7133.00  5.8396113E-02
   7133.20  5.9922582E-02
   7133.40  6.1296116E-02
   7133.60  6.2400100E-02
   7133.80  6.3124545E-02
   7134.00  6.3437774E-02
   7134.20  6.3453309E-02
   7134.40  6.3405992E-02
   7134.60  6.3506447E-02
   7134.80  6.3801867E-02
   7135.00  6.4172171E-02
   7135.20  6.4418548E-02
   7135.40  6.4370957E-02
   7135.60  6.3949020E-02
   7135.80  6.3155922E-02
   7136.00  6.2047192E-02
   7136.20  6.0704431E-02
   7136.40  5.9216993E-02
   7136.60  5.7668438E-02
   7136.80  5.6128647E-02
   7137.00  5.4650249E-02
   7137.20  5.3269271E-02
   7137.40  5.2007617E-02
   7137.60  5.0877010E-02
   7137.80  4.9881542E-02
   7138.00  4.9020214E-02
   7138.20  4.8288907E-02
   7138.40  4.7681278E-02
   7138.60  4.7189512E-02
   7138.80  4.6804837E-02
   7139.00  4.6520611E-02
