  7112.000   26  1  1  2.4297973E-02 -3.6062697E+00 -1.8125153E-01  1  1  7.2646679E+03  0.0000000E+00  0.0000000E+00  5.6711383E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.3660959E-05
   7097.20  3.0633068E-05
   7097.40  2.8724522E-05
   7097.60  2.7501126E-05
   7097.80  2.6738483E-05
   7098.00  2.6322757E-05
   7098.20  2.6217449E-05
   7098.40  2.6468033E-05
   7098.60  2.7296991E-05
   7098.80  3.3832184E-05
   7099.00  3.7854789E-05
   7099.20  1.7153414E-04
   7099.40  9.5107680E-05
   7099.60  3.7265551E-05
   7099.80  3.2174726E-05
   7100.00  3.2094077E-05
   7100.20  3.3914856E-05
   7100.40  3.7827729E-05
   7100.60  4.6073812E-05
   7100.80  6.8600897E-05
   7101.00  1.9644833E-04
   7101.20  7.5368077E-03
   7101.40  1.7320369E-04
   7101.60  4.7381764E-04
   7101.80  2.8491613E-04
   7102.00  1.3254780E-04
   7102.20  5.5971975E-04
   7102.40  1.0136304E-03
   7102.60  3.6780830E-03
   7102.80  3.7757184E-04
   7103.00  1.3304392E-04
   7103.20  1.1133234E-04
   7103.40  2.6539179E-04
   7103.60  1.4029224E-03
   7103.80  1.2029779E-04
   7104.00  1.0497066E-04
   7104.20  7.7341316E-05
   7104.40  9.1331323E-05
   7104.60  1.2429190E-03
   7104.80  2.0977967E-03
   7105.00  1.9128662E-03
   7105.20  2.2925523E-04
   7105.40  1.4273788E-04
   7105.60  9.9598174E-04
   7105.80  4.9640999E-03
   7106.00  3.0467434E-03
   7106.20  3.8138421E-04
   7106.40  7.0301744E-04
   7106.60  1.9373521E-02
   7106.80  3.9952007E-03
   7107.00  7.6258646E-03
   7107.20  2.1266573E-01
   7107.40  1.0982227E-03
   7107.60  2.5752023E-03
   7107.80  1.1452628E-02
   7108.00  4.9600517E-04
   7108.20  3.6348450E-04
   7108.40  5.5751478E-04
   7108.60  4.9824176E-02
   7108.80  5.2789727E-04
   7109.00  5.7345664E-04
   7109.20  3.4472651E-03
   7109.40  5.6954003E-03
   7109.60  1.0684273E-02
   7109.80  1.6075639E-02
   7110.00  2.6753153E-02
   7110.20  1.9391196E-02
   7110.40  4.8233272E-02
   7110.60  5.7258988E-02
   7110.80  1.5342356E-02
   7111.00  1.5268511E-02
   7111.20  1.7751959E-02
   7111.40  1.3627863E-02
   7111.60  1.6448072E-02
   7111.80  4.2310949E-02
   7112.00  2.4032278E-02
   7112.20  1.2358433E-02
   7112.40  1.0507002E-02
   7112.60  9.6765887E-03
   7112.80  9.5320097E-03
   7113.00  1.0337161E-02
   7113.20  1.1577835E-02
   7113.40  1.2451383E-02
   7113.60  1.1334850E-02
   7113.80  9.4256897E-03
   7114.00  7.6636416E-03
   7114.20  6.4485328E-03
   7114.40  7.3983729E-03
   7114.60  4.9895733E-03
   7114.80  4.0581129E-03
   7115.00  3.5357480E-03
   7115.20  3.1334285E-03
   7115.40  2.8342478E-03
   7115.60  2.5544517E-03
   7115.80  2.1732160E-03
   7116.00  1.8225371E-03
   7116.20  1.5709801E-03
   7116.40  1.3959037E-03
   7116.60  1.2729822E-03
   7116.80  1.1873315E-03
   7117.00  1.1315919E-03
   7117.20  1.1035710E-03
   7117.40  1.1058928E-03
   7117.60  1.1479397E-03
   7117.80  1.2503898E-03
   7118.00  1.4515045E-03
   7118.20  1.8097557E-03
   7118.40  2.3789067E-03
   7118.60  3.1316423E-03
   7118.80  3.9508444E-03
   7119.00  4.8084972E-03
   7119.20  5.7903264E-03
   7119.40  6.7592767E-03
   7119.60  7.1904753E-03
   7119.80  6.8969303E-03
   7120.00  6.3217954E-03
   7120.20  5.8621650E-03
   7120.40  5.6606856E-03
   7120.60  5.6738174E-03
   7120.80  5.6314163E-03
   7121.00  5.3394483E-03
   7121.20  4.9657140E-03
   7121.40  4.8013542E-03
   7121.60  4.8269285E-03
   7121.80  5.0425909E-03
   7122.00  5.4924095E-03
   7122.20  6.2242437E-03
   7122.40  7.2869517E-03
   7122.60  8.7876837E-03
   7122.80  1.0777516E-02
   7123.00  1.3125705E-02
   7123.20  1.5438143E-02
   7123.40  1.7381888E-02
   7123.60  1.9025821E-02
   7123.80  2.0673856E-02
   7124.00  2.2668621E-02
   7124.20  2.5347458E-02
   7124.40  2.8959832E-02
   7124.60  3.3580320E-02
   7124.80  3.9031532E-02
   7125.00  4.4624054E-02
   7125.20  4.8789209E-02
   7125.40  5.0357867E-02
   7125.60  4.8980468E-02
   7125.80  4.5632864E-02
   7126.00  4.1694325E-02
   7126.20  3.8236118E-02
   7126.40  3.5445210E-02
   7126.60  3.3105851E-02
   7126.80  3.1050558E-02
   7127.00  2.9472994E-02
   7127.20  2.8799892E-02
   7127.40  2.9390318E-02
   7127.60  3.1452151E-02
   7127.80  3.5029917E-02
   7128.00  3.9755162E-02
