  7112.000   26  1  1  2.2435574E-02 -3.7872016E+00 -1.5530072E+00  1  1  7.2654893E+03  0.0000000E+00  0.0000000E+00  4.1322932E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.4468462E-05
   7097.20  2.4182333E-05
   7097.40  2.4187938E-05
   7097.60  2.4481149E-05
   7097.80  2.5131923E-05
   7098.00  2.6336876E-05
   7098.20  2.8602832E-05
   7098.40  3.3471898E-05
   7098.60  4.7731847E-05
   7098.80  1.4508180E-04
   7099.00  1.1769919E-03
   7099.20  8.8598252E-05
   7099.40  1.1115834E-04
   7099.60  3.1621268E-03
   7099.80  2.5802127E-04
   7100.00  9.6972664E-05
   7100.20  4.4411394E-05
   7100.40  3.6145869E-05
   7100.60  3.8993696E-05
   7100.80  5.6756793E-05
   7101.00  3.8483311E-05
   7101.20  3.8364528E-05
   7101.40  4.7908427E-05
   7101.60  1.0366928E-04
   7101.80  9.5411968E-04
   7102.00  1.6416648E-04
   7102.20  3.5472025E-04
   7102.40  3.7594135E-04
   7102.60  2.0877343E-03
   7102.80  1.7108722E-02
   7103.00  1.5972354E-04
   7103.20  3.4729204E-04
   7103.40  8.1321753E-04
   7103.60  7.1748291E-04
   7103.80  9.3815050E-05
   7104.00  1.0327849E-04
   7104.20  3.8686439E-04
   7104.40  1.0914287E-03
   7104.60  2.3035687E-04
   7104.80  1.3986427E-04
   7105.00  4.8759614E-04
   7105.20  5.9401072E-04
   7105.40  1.5152417E-02
   7105.60  5.4780854E-04
   7105.80  2.1132376E-02
   7106.00  2.1281541E-02
   7106.20  5.9392483E-04
   7106.40  9.7806450E-03
   7106.60  1.2082122E-02
   7106.80  8.9046142E-03
   7107.00  4.6951484E-03
   7107.20  2.4790473E-03
   7107.40  1.6070648E-03
   7107.60  8.8270718E-03
   7107.80  1.4529648E-03
   7108.00  1.4907376E-03
   7108.20  2.6359750E-02
   7108.40  1.8647381E-03
   7108.60  1.4023569E-02
   7108.80  4.0492305E-03
   7109.00  3.7044686E-03
   7109.20  9.6366504E-03
   7109.40  9.5016258E-03
   7109.60  1.3976247E-02
   7109.80  1.7819439E-02
   7110.00  1.5386568E-02
   7110.20  1.9074453E-02
   7110.40  2.0596464E-02
   7110.60  2.3780763E-02
   7110.80  3.4517091E-02
   7111.00  4.0424723E-02
   7111.20  2.5358513E-02
   7111.40  2.5474321E-02
   7111.60  3.2576284E-02
   7111.80  3.6831309E-02
   7112.00  2.8162989E-02
   7112.20  7.3370158E-02
   7112.40  3.1871593E-02
   7112.60  2.4950318E-02
   7112.80  2.2842852E-02
   7113.00  2.2088990E-02
   7113.20  2.1415350E-02
   7113.40  2.2013329E-02
   7113.60  2.7401415E-02
   7113.80  4.5679195E-02
   7114.00  6.6114031E-02
   7114.20  3.7430132E-02
   7114.40  1.7222021E-02
   7114.60  9.5617342E-03
   7114.80  6.1773619E-03
   7115.00  4.4802468E-03
   7115.20  3.4639456E-03
   7115.40  3.0191886E-03
   7115.60  2.9120508E-03
   7115.80  3.2274325E-03
   7116.00  4.3157157E-03
   7116.20  6.7991763E-03
   7116.40  9.5126310E-03
   7116.60  9.3417323E-03
   7116.80  8.7999556E-03
   7117.00  9.8429241E-03
   7117.20  1.1014244E-02
   7117.40  1.0088248E-02
   7117.60  8.5226647E-03
   7117.80  7.2260072E-03
   7118.00  6.1574614E-03
   7118.20  5.3031725E-03
   7118.40  4.7109792E-03
   7118.60  4.3658498E-03
   7118.80  4.1799098E-03
   7119.00  4.1236350E-03
   7119.20  3.9423153E-03
   7119.40  3.6872040E-03
   7119.60  3.6462654E-03
   7119.80  3.7566832E-03
   7120.00  4.0603149E-03
   7120.20  4.3922015E-03
   7120.40  4.4894607E-03
   7120.60  4.3709633E-03
   7120.80  4.2269418E-03
   7121.00  4.0165355E-03
   7121.20  3.7851734E-03
   7121.40  3.6990460E-03
   7121.60  3.7987564E-03
   7121.80  4.0786931E-03
   7122.00  4.5281033E-03
   7122.20  5.1214108E-03
   7122.40  5.8593787E-03
   7122.60  6.8878002E-03
   7122.80  8.2975977E-03
   7123.00  9.7617754E-03
   7123.20  1.0878360E-02
   7123.40  1.1981617E-02
   7123.60  1.3306830E-02
   7123.80  1.4452942E-02
   7124.00  1.5081171E-02
   7124.20  1.5234081E-02
