  7112.000   26  1  1  1.8102881E-02 -3.1022430E+00 -3.0367987E-01  1  1  7.2647784E+03  0.0000000E+00  0.0000000E+00  5.4536719E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.0546478E-04
   7097.20  4.4984332E-05
   7097.40  3.8357205E-05
   7097.60  3.0512187E-05
   7097.80  2.8147916E-05
   7098.00  2.7204107E-05
   7098.20  2.7275396E-05
   7098.40  3.0864145E-05
   7098.60  4.0784717E-05
   7098.80  4.3147177E-04
   7099.00  2.5318567E-04
   7099.20  5.6028662E-05
   7099.40  2.9257913E-05
   7099.60  2.7548062E-05
   7099.80  3.4660788E-05
   7100.00  3.2984524E-05
   7100.20  2.7880448E-05
   7100.40  2.8462859E-05
   7100.60  3.0421829E-05
   7100.80  4.1294353E-05
   7101.00  5.5767311E-05
   7101.20  5.2430385E-05
   7101.40  5.9609838E-05
   7101.60  6.9800724E-05
   7101.80  8.2562220E-04
   7102.00  3.6991143E-03
   7102.20  5.3662603E-04
   7102.40  3.3768676E-02
   7102.60  3.7985583E-03
   7102.80  4.8770073E-04
   7103.00  8.7442240E-05
   7103.20  7.1596503E-05
   7103.40  7.2525171E-05
   7103.60  5.8894295E-04
   7103.80  7.4404456E-05
   7104.00  8.6350709E-05
   7104.20  4.9394501E-05
   7104.40  7.7654184E-05
   7104.60  5.8234976E-04
   7104.80  8.7285236E-05
   7105.00  6.9803967E-05
   7105.20  1.3162204E-04
   7105.40  5.8105502E-04
   7105.60  7.3081641E-04
   7105.80  5.4357169E-03
   7106.00  1.2139496E-03
   7106.20  3.7649551E-04
   7106.40  7.1692983E-04
   7106.60  1.5716181E-03
   7106.80  3.3875541E-02
   7107.00  2.7783585E-03
   7107.20  4.3235552E-02
   7107.40  5.3881082E-03
   7107.60  1.3991461E-03
   7107.80  3.6189886E-02
   7108.00  6.2956438E-04
   7108.20  2.6047170E-02
   7108.40  2.9585037E-03
   7108.60  7.4456839E-04
   7108.80  5.7571293E-04
   7109.00  2.8610350E-03
